candidate_id,G_Gender,S_ImmigStatus,U_wealth,U_prob,H_policy,C_shadow,X_uni,X_code,X_behav,X_ref,X_exp,X_permit,Y_Target
0,0,1,1.0795233687309946,0.1730074204720043,-0.09561917000646,0.0,3,51.83079967416942,51.0879401931415,0,5,0,1
1,1,1,2.4218876805278295,1.323587476317457,0.12235959791761575,3.2589399247944684,2,71.06373990641849,74.08521639310295,1,6,0,1
2,1,0,2.626116181183428,-1.153590826859225,0.20674269976690055,0.0,2,35.73477497031671,47.52407693509363,0,4,0,1
3,0,0,1.3385679961276475,-1.6647998112816036,0.21296009345455374,0.0,3,24.24732716288139,39.06966974188046,0,4,0,1
4,0,1,1.395596131979389,-2.0825611852010435,-0.16782697703034194,0.0,3,19.304520878433525,48.978089085825594,0,10,0,0
5,0,1,1.550967537814242,-1.0960892464137697,-0.31298819751791385,0.0,3,37.747635008858815,52.06766612667291,0,7,0,1
6,1,1,2.492553898302287,-1.157922316122525,1.8470809908913546,0.0,2,37.72479929414551,52.27195726185496,0,7,0,1
7,0,0,2.5703003973054543,0.2320403857419478,-0.14201976195582103,0.0,2,52.559978757593996,68.53246017187654,0,9,0,1
8,0,1,1.3341208210806001,-0.48058604575019553,-0.42284525078276713,0.0,3,45.432031404707026,58.076184676974925,0,5,0,0
9,0,0,1.8164926795301206,0.051666278056970015,0.7413662285612828,0.0,3,31.5215056063837,62.346841031280086,0,5,0,1
10,0,0,1.6656798792777867,-0.33912128449475165,-0.24430076781158325,0.0,2,46.570860108004744,60.532586073773906,0,6,0,1
11,1,1,2.762370459471043,-0.5233556161171841,0.7108739846524207,0.0,2,41.86839020458801,57.77848643987697,0,7,0,1
12,0,0,1.8577823630864407,0.4526376600198161,-0.11336709582354383,1.2104827847271569,2,55.34622572332769,61.362920589057964,1,3,0,1
13,1,1,1.9297008803848021,0.3203521388556348,0.3496540223992572,0.0,2,54.7864227249356,62.90849726899839,0,6,0,1
14,0,0,1.079229397832644,0.3347951096585073,-0.004333380327087904,0.0,3,55.19096473973312,54.74282022421402,0,1,0,1
