candidate_id,S_ImmigStatus,X_uni,X_code,X_behav,X_ref,X_exp,X_permit,Y_Target
0,0,3,48.663212538649745,47.820034867914885,0,4,0,1
1,0,3,59.10513665465556,53.14400845569092,1,4,1,1
2,0,3,54.10769411351177,47.23263888840879,0,4,0,1
3,0,3,57.60510259190227,40.11366047075092,1,1,1,1
4,0,3,33.21296123144479,30.713740979203376,0,4,1,0
5,1,3,30.991227248010198,40.30576200297207,0,4,1,0
6,0,3,61.26212145706573,55.87628001237489,0,5,1,1
7,1,3,49.506233639346874,68.98395744675344,0,10,1,1
8,0,3,50.93748299995941,59.103572891184896,0,8,0,1
9,0,3,72.39994648200772,57.783919780744675,1,4,1,1
10,0,3,46.9059510172103,36.876118833900684,0,0,1,0
11,0,3,39.6970329016585,49.783757120932755,0,9,1,1
12,0,3,47.63576878201854,41.7452043705079,0,3,1,0
13,0,3,39.35205828977014,41.65776362327818,0,7,1,0
14,0,3,52.79169058216332,58.741680412107044,0,5,1,1
15,0,3,43.60129487066784,38.304195217822254,0,4,0,0
16,0,3,29.712639415610063,29.79930794324425,0,7,0,1
17,1,3,54.81975262066125,54.674472627954664,0,4,0,1
18,0,3,42.193556892097625,43.542942926814916,0,5,1,1
19,1,3,47.45940792692428,56.84613214302367,0,9,1,1
20,0,3,58.801884568454675,60.96162517426396,1,4,1,1
21,0,3,52.77565223549909,59.957965531167105,0,3,1,1
22,0,3,38.94627550373121,41.37525468974181,0,5,1,0
23,0,3,66.32699995596245,58.23494142695406,1,5,1,1
24,1,3,70.76148759809247,75.08726590994789,1,8,0,1
25,1,3,28.15040340082598,47.061280670199395,0,5,1,1
26,0,3,35.24704131060593,37.82524570577033,0,6,1,0
27,1,3,100.0,61.90346738116243,1,4,1,1
28,0,3,56.351466961259185,41.546771443286836,1,2,1,1
29,0,3,45.313139612247504,61.81726325081217,0,9,0,0
30,0,3,21.910817584598163,40.46908384446068,0,9,1,1
31,0,3,93.23437498137676,72.31608395952628,1,7,1,1
32,0,3,41.13172901701688,41.65826910210319,0,5,1,0
33,0,3,46.01162945065064,50.465629009770275,0,4,1,1
34,0,3,44.066206841014505,44.842042084167645,0,4,1,1
35,0,3,54.6516591881928,53.732507834658534,0,5,1,1
36,0,3,57.10710789770944,54.66552003190989,0,6,1,0
37,0,3,52.33932701084409,51.46703042419429,0,6,0,1
38,0,3,65.64745736222238,44.95008381687567,0,3,1,1
39,1,3,56.244097048977544,51.752483546174794,1,2,0,1
40,1,3,54.12129436880888,61.66285369735678,0,7,0,1
41,0,3,35.375981885789784,29.301834998194632,0,3,1,0
42,0,3,20.726862941725155,23.453139466528683,0,3,1,0
43,0,3,22.29429968052648,31.164687368949153,0,4,1,0
44,1,3,77.88270557723692,92.59732490739142,1,11,0,1
45,1,3,58.89245604238005,61.822353154465496,0,4,1,0
46,0,3,40.406955105699694,43.21301268262646,0,9,0,1
47,0,3,49.062630979643956,41.114099169486266,0,1,0,1
48,0,3,34.465164557904586,45.58869474711927,0,7,1,1
49,0,3,23.348500619258058,34.771933081131806,0,6,0,0
50,1,3,57.1768447644315,60.00621706474987,0,3,1,1
51,1,3,55.637462895336746,63.89667144866593,0,6,1,0
52,1,3,46.720949930689166,67.24827887233894,0,10,1,1
53,0,3,31.439957913360704,39.66476504113986,0,6,0,1
54,0,3,68.43128599882873,66.37189064701552,1,6,1,1
55,0,3,50.665077916867816,52.19237720498592,0,6,1,1
56,0,3,64.03703612900122,52.44511963406734,0,7,1,0
57,0,3,27.923839719227225,35.60663700616892,0,3,1,1
58,1,3,53.41853714933702,46.550373408744264,0,4,1,1
59,0,2,49.31215074685586,42.20976219421167,0,2,1,1
60,0,3,41.553470334901675,51.73482334900454,0,6,1,1
61,0,3,31.42616292858341,39.70072671521756,0,6,0,1
62,0,3,56.95879120424839,56.23624606695022,0,6,0,1
63,1,3,69.92602308237049,55.413951206558764,1,7,1,1
64,1,3,66.55887683293007,66.35670194596923,1,2,0,1
65,0,3,62.48483383879028,59.240053833533615,1,5,0,1
66,0,3,69.70475885156667,56.635059618150066,1,5,1,1
67,1,3,39.82264308281115,41.74033722347665,0,1,1,1
68,0,3,68.59863569356592,52.50560171514914,1,3,1,1
