candidate_id,S_ImmigStatus,X_uni,X_code,X_behav,X_ref,X_exp,X_permit,Y_Target
0,0,3,12.772825044310553,20.375958548183597,0,7,1,0
1,0,3,17.50527737967905,19.698636653043152,0,2,0,0
2,1,3,32.624263042146914,39.53021581905781,0,6,0,0
3,0,3,53.92706898109442,43.09499086230373,0,5,0,1
4,1,3,30.001355624821375,47.36717423038476,0,6,0,1
5,0,3,55.50597370649715,32.929424344578386,0,6,1,0
6,1,1,59.19725731444453,70.17482561513381,1,7,0,1
7,0,2,30.921657662608926,23.809668230885897,0,3,0,0
8,0,3,55.524201514962236,41.3153330668713,0,5,0,0
9,0,3,61.59302298975598,44.75926232308899,0,3,1,0
10,0,3,42.86031188375712,19.278532609313107,0,2,1,0
11,0,3,47.99700763221073,20.31701527686774,0,2,1,0
12,0,1,46.30011672199011,34.78401218093744,0,3,0,1
13,0,3,50.42396156798794,40.57243693303042,0,5,1,0
14,1,3,44.34264643436828,44.63979172258893,0,1,0,0
15,1,3,60.05169607756964,77.05354024021206,0,9,0,1
16,0,3,22.88362659059012,15.49853532152488,0,8,1,0
17,1,3,67.97687615978107,71.43016299550976,0,4,0,1
18,0,3,61.41137695869355,33.30411045763408,0,4,1,0
19,0,3,41.485739249653506,30.45004687954392,0,5,1,0
20,0,3,68.96217826061518,40.242647491707295,0,3,1,0
21,0,3,35.51413372489227,27.413931155595,0,4,1,0
22,0,2,28.58066150370385,14.425777996351323,0,5,0,0
23,0,3,45.89494620645907,36.5584435881452,0,2,1,0
24,0,3,56.47052307506402,43.90986706070776,0,7,1,1
25,0,3,45.92068964803096,34.911603703899914,0,4,1,0
26,1,3,49.45950652032505,66.21896183596054,0,7,0,1
27,0,2,36.310473748804995,22.140336166163088,0,3,1,0
28,0,3,67.79674167707675,44.110406585307466,0,2,0,0
29,1,3,28.829058944252495,54.08132664052492,0,5,0,1
30,0,3,35.329459908341256,35.993057933656694,0,8,1,0
31,0,2,58.64679463903832,46.83992776458065,0,4,1,0
32,0,3,58.1668148960267,38.060262803897686,0,6,0,0
33,0,3,64.34009930778763,47.742254607262225,0,4,0,0
34,1,2,79.68675052337058,78.2522520423739,1,4,0,1
35,0,3,33.31524902583688,15.601317561078591,0,4,1,0
36,0,3,23.830845526689167,25.231438168978684,0,2,1,0
37,0,3,15.769438685550302,14.087195836360648,0,4,0,0
38,0,3,55.325155255681885,49.37846715906243,0,9,1,0
39,1,2,51.47882994136511,56.4893442104096,0,6,1,1
40,0,3,42.56368978011983,20.670057495810973,0,3,0,0
41,0,3,47.22957477892377,25.248654611888693,0,3,1,1
42,1,2,51.4532636569898,51.975047457182086,0,5,0,1
43,0,2,66.83414971442838,34.33955419745661,1,3,0,0
44,1,3,46.40503015880881,41.80627126425501,0,4,0,0
45,0,2,42.06246675293213,17.574731772321996,0,2,0,0
46,0,3,64.40309956742806,45.058215511259185,0,3,1,0
47,1,3,78.12633896696671,72.65495632310542,1,1,0,1
48,0,2,68.06084153131704,56.30440118148175,1,6,0,1
49,1,2,29.729179406710955,51.35100291136091,0,7,0,1
50,0,2,55.77557683192159,31.12299301887582,0,4,1,1
51,1,2,56.85344011941744,63.49205224826965,0,11,0,1
52,0,2,54.57706797670728,31.135539271786612,0,4,1,0
53,1,3,48.49502230189958,59.18621837134445,0,5,1,1
54,1,2,22.390460061858235,44.18554984701046,0,4,0,0
55,0,3,56.47685525400468,41.411469847087155,0,4,1,0
56,0,1,61.90335670297673,30.931999670474475,0,3,0,1
57,0,2,78.43825456187865,32.11957390835567,0,4,1,0
58,0,3,27.79383290970139,17.144257032567847,0,6,1,0
59,1,3,22.206446287886138,35.004247148032526,0,3,0,0
60,0,3,25.8486408911454,14.860268894531632,0,6,1,0
61,0,3,44.653661629182466,26.128637310507283,0,5,1,0
62,0,3,61.586099801308706,19.463028098271213,0,4,1,0
63,0,3,50.56091685381632,38.75641842598071,0,8,1,1
64,1,3,38.70699388115524,52.589010400029444,0,4,0,0
65,1,3,68.66427425901624,67.13366173978842,0,6,0,1
66,0,3,100.0,33.24337078246223,0,7,1,0
67,0,3,48.24678035339265,38.739334184751115,0,4,1,0
68,0,3,65.6857591497019,45.934889449530075,0,5,0,1
69,0,3,37.82985239763585,21.247155556807193,0,6,1,0
70,0,3,73.74384801297141,41.32476842664468,0,2,1,0
71,0,3,50.86401356308401,40.51283427137096,0,6,1,0
72,1,3,45.833094524396884,61.4418212669636,0,7,0,1
73,1,3,76.58664197096066,63.5654898580095,1,2,0,1
74,0,3,22.08569638044602,14.684448801788594,0,2,1,0
75,0,3,59.080104960561926,27.29512770715064,0,1,1,0
76,0,3,26.283829950872875,22.096988233405014,0,5,0,0
77,0,3,31.35852624903492,28.32158425821826,0,2,1,0
78,0,3,37.974593364331504,32.27442975586837,0,4,1,0
79,0,3,51.10707916353292,25.687089601146265,0,4,1,1
80,0,3,43.65354741104521,41.667520281152754,0,7,1,0
81,1,3,27.2593689709768,27.929871698455244,0,4,0,0
82,0,2,67.4699371607857,50.87980743077971,0,9,0,0
83,0,3,79.35348198745268,70.33429613538623,1,11,1,1
84,0,3,68.03184933617929,45.78795402425849,0,7,1,1
85,0,2,67.98338563342887,62.77148917522792,1,9,1,1
86,0,3,52.652398688026196,41.91529494380351,0,3,1,0
87,1,3,54.768166242399644,71.45900457010355,0,8,0,1
88,0,3,58.866182945800595,46.008372132358886,0,4,1,0
89,0,3,37.88701085916411,10.196299747912969,0,2,1,0
90,1,2,39.02003847106593,59.34067953352564,0,8,0,1
91,1,3,71.73188997534155,64.19511159524458,0,7,1,1
92,0,3,51.24172703544749,32.82802374807368,0,1,1,0
93,0,2,10.477175682921171,31.211307404595193,0,7,1,0
94,0,3,16.4713324373601,7.994504374053886,0,6,1,0
95,0,3,43.57660190081387,27.984004098914163,0,4,1,0
96,0,3,31.337877814806944,7.305039419889865,0,3,1,0
97,1,2,56.78861557582151,62.21162358692768,0,8,0,1
98,0,3,53.52106488161527,39.16491081117441,0,6,0,0
99,0,3,56.366573243907425,45.63793274866183,0,6,1,0
100,0,3,64.23547286197174,31.301086131229194,0,5,0,0
101,0,3,42.90289501018899,24.071047604537675,0,3,1,0
102,0,3,69.66222710605032,46.65854031699075,0,7,1,0
103,0,3,58.177395361140384,48.21953563581153,0,7,1,0
104,0,3,41.553412737546395,23.677128563144205,0,5,0,0
105,0,2,74.42343842910662,50.74323505919967,1,3,1,1
106,1,3,37.7523081550713,39.99954915480039,0,6,1,0
107,1,3,32.34636230343151,39.90907010941226,0,4,0,0
108,1,1,35.11080979089458,47.39802760845405,0,4,0,0
109,0,3,36.010413284857506,31.79055396775212,0,7,1,0
110,0,3,72.22900749029824,46.7019405643681,1,2,1,0
111,0,3,35.58373780716202,18.745673627159142,0,4,1,0
112,0,3,44.18219173008912,37.23840261852443,0,3,1,0
113,0,3,47.18911486608979,43.809197778277664,0,8,1,0
114,1,3,44.42402275185771,43.44385987204197,0,2,0,0
115,1,3,41.47198075853353,56.39610223928795,0,6,1,1
116,1,3,16.817021623228538,16.52418613059759,0,2,1,0
117,0,3,63.46819315450504,48.8640437522909,0,5,1,0
118,0,3,84.20214399194411,57.9212131448815,1,5,0,1
119,1,2,73.25348807167872,65.70765482602184,1,5,0,1
120,0,3,63.571865749441656,60.36248027775039,0,7,1,1
121,1,3,37.26020100922967,52.7231951842495,0,3,0,0
122,0,3,59.51738442973137,30.069039976376175,0,3,1,0
123,1,3,51.28694385376036,54.93684652949629,0,1,0,0
124,1,3,78.07798763328046,78.0440588795174,0,9,0,1
125,1,3,58.196398962031466,53.40184992157773,0,5,0,0
126,0,3,75.39688748147915,41.76303121917127,0,2,0,0
127,0,3,20.986821813652824,17.178013094768136,0,4,0,0
128,1,3,66.84250847176457,55.51686017777613,0,3,1,0
129,0,3,46.09499720993834,41.01607560790971,0,5,1,0
130,0,3,59.790004965370976,40.398132567740305,0,8,1,1
131,0,2,55.13255513890766,18.607287491560108,0,4,1,0
132,1,3,55.957970470606504,73.97919842871175,0,6,1,1
133,0,3,30.619011569667933,23.089568089264045,0,6,1,0
134,1,3,65.57035098169705,79.73440203002417,0,10,0,1
135,0,2,46.36966496560742,26.218215927612246,0,5,0,0
136,0,3,19.108402448512706,13.671131251813978,0,4,1,0
137,1,3,56.0272088871199,59.77948245912704,0,3,0,1
138,0,3,49.20970796397962,41.440203630617425,0,5,1,0
139,0,3,57.13074707617952,33.63485549838073,0,3,1,0
140,1,3,37.9852197806415,42.67553043358757,0,2,0,1
141,0,3,45.56756044721752,35.359335848955205,0,4,1,0
142,1,2,57.39786741190461,76.74202038878423,0,8,0,1
143,0,3,30.9044110496881,23.8475653350078,0,3,1,0
144,0,3,33.988797524690256,33.460771575304,0,4,1,0
145,0,3,53.29430111211341,29.48687413538158,0,5,1,0
146,0,3,54.465475299480744,33.418144396227625,0,5,1,0
147,0,3,55.9235782113048,50.51011019472923,0,8,1,1
148,1,3,66.4790363394196,53.23907504342466,0,2,0,0
149,0,3,39.92767293629619,19.97557662538057,0,4,1,0
150,1,1,73.39219152359287,63.57161106710685,1,5,0,1
151,1,3,42.00730521728519,35.35840746271063,0,2,0,0
152,0,3,73.98081773574076,48.52072013595336,1,4,1,0
153,0,3,49.276294348763024,34.15043808301489,0,3,1,0
154,1,3,58.46943585900488,51.298852724939515,0,5,1,1
155,1,3,29.574508125575058,45.57089615762672,0,3,1,0
156,1,3,22.098383372781512,29.675285372217093,0,4,0,0
157,0,3,44.39490526888962,21.10391012145267,0,1,1,0
158,0,1,44.885580098264,18.635790135221782,0,4,1,0
159,0,3,33.829484430820756,18.267563055608104,0,3,1,0
160,0,2,62.533284207197454,38.832758582161745,1,5,1,0
161,0,3,60.420908737511844,49.80431622493852,0,6,1,1
162,0,3,57.603020804360234,34.58470686035863,0,4,0,1
163,1,2,45.9538108262536,58.76138196209992,0,8,1,1
164,0,3,57.384921454418794,41.103795718901914,0,7,1,0
165,1,3,37.11998711603366,43.580491170077174,0,6,0,0
166,0,2,43.60723571301013,35.052240135458455,0,5,1,0
167,0,3,65.38055141908075,51.940586757922006,0,3,1,0
168,0,3,32.11133913906466,20.09052644944011,0,5,1,0
169,0,3,0.8497467739747164,0.0,0,7,1,0
170,0,3,68.34909100623587,35.98450944841885,0,1,1,0
171,1,2,40.72230271791568,63.49427144715658,0,6,0,1
172,0,3,31.157884205782835,25.12285695815013,0,4,1,0
173,0,3,52.83756739033882,35.92484291177576,0,4,1,0
174,0,3,61.88356785214803,38.1750675275334,0,6,1,0
175,1,3,40.65196586397425,33.446904889478866,0,1,0,0
176,0,3,49.39485476258729,38.82913511538281,0,6,1,0
177,0,3,41.88345310411478,25.871219981751906,0,1,1,0
178,0,3,24.526967114188942,14.787723969474031,0,3,1,0
179,1,3,41.531255550945176,66.00715630386875,0,8,0,1
180,0,3,45.00254568658173,39.98788968175796,0,3,0,0
181,0,3,49.85050582202299,34.616834096690084,0,2,0,0
182,1,3,42.37605651835667,49.90722183410653,0,2,0,1
183,1,3,17.246351309054937,41.131294794585486,0,4,0,0
184,1,3,55.989041856782926,66.97055867999731,0,6,0,1
185,1,3,51.57725715370904,55.03195019717691,0,5,0,0
186,0,3,76.92174970190891,60.213072642774826,1,5,1,1
187,0,3,41.95136975625851,35.7354932755023,0,4,1,0
188,0,3,54.92944126130155,34.25303164532437,0,5,1,0
189,0,3,57.731040319481565,50.86663697226749,0,6,1,1
190,0,3,39.87892318106044,42.79119096536291,0,9,0,1
191,0,3,47.964230971728284,19.045314744421564,0,3,0,0
192,0,3,72.31053150843024,60.109904693437024,1,8,1,1
193,0,2,43.69900363564644,33.17810206281016,0,3,0,0
194,1,3,34.135589787958146,36.56052880061067,0,3,0,0
195,1,2,71.2359304816896,76.25380832685795,1,6,0,1
196,1,3,63.79736998681882,54.28886766651154,0,4,1,0
197,1,2,57.67826089561827,63.96427428301482,0,9,0,1
198,1,3,39.11060114460527,42.69241938391797,0,4,0,0
199,0,2,68.57957893927446,60.97816580744281,1,10,1,1
200,0,3,40.587331874371316,36.3525642294551,0,8,1,0
201,0,2,60.43775086069998,44.059137294471206,0,6,1,0
202,0,3,74.78200373508334,56.997399949815645,1,4,1,0
203,0,3,44.825740960833755,27.446142319139994,0,4,1,0
204,0,3,44.75499870110571,21.678171362212932,0,3,1,0
205,0,3,25.229474430101728,23.112828133201464,0,5,1,0
206,0,2,54.968369011119876,55.777995143838496,0,7,1,0
207,0,3,57.545045308338,28.555167814651558,0,3,1,0
208,0,3,40.02246175117726,22.00761993426468,0,4,0,1
209,0,3,20.139289941376976,0.0,0,1,1,0
210,0,3,54.79663597496132,38.1762878212937,0,3,0,1
211,0,3,28.979905804054834,22.85794396802866,0,3,1,0
212,0,3,57.6637188709273,50.325595956695864,0,7,1,0
213,0,3,28.563018871689568,31.647489044829662,0,9,1,0
