S0,S1,S2,X3,X4,X5,X6,X7,X8,Y
1,1,-0.6821928242860955,0.7567031275374055,52.417422753151186,2,1,35.607467040081644,-4.9790979429837146,0
0,0,1.1986970012121796,2.507315424622144,38.125721160345485,1,1,16.866434181083246,-5.3072188525782416,1
0,0,-0.18020363884183574,2.3479028426557114,28.549637179351848,2,1,18.282254125708153,9.239333765822252,0
1,0,0.503256703752674,1.2619920775070024,37.04122184134762,1,1,16.017770069660752,-5.751432346345701,1
1,0,0.7119273577476981,5.365381865646862,50.41730595421969,0,0,8.089266974182694,-9.903283580210033,1
1,1,0.764933605131856,4.047137785082555,32.481091749576954,0,0,9.468634031664436,-1.4432985224387966,0
0,0,0.1696802330889495,5.6725684120382205,68.07980334947037,0,1,33.03994639242813,-2.73937048541913,1
0,2,-0.03716332725937614,3.4963239880117114,55.35373105365194,0,1,31.729576345627002,4.781510154667812,0
0,0,-1.1385939383342176,1.6488662605636404,37.419778646335885,1,0,8.480619018195828,1.5093942301968895,0
1,0,0.1246069844929958,2.496729817146898,35.100042606689826,0,0,10.941285671143728,0.2968977081973385,1
0,0,1.2101603495834707,6.344328962626254,63.09482939603725,1,1,38.95488267483293,-6.351536911031721,1
1,0,0.9720030071550799,2.920656780514471,51.67170552397908,0,0,9.867725465178317,-3.433320707963362,1
1,1,0.312882450756624,2.53329532041896,31.681098668850673,0,0,7.699728466478959,-4.424602560940891,0
0,1,2.417749779172431,8.982278099971726,62.16116210539982,0,0,5.850567626220123,9.921797917761968,1
1,0,-0.5928098099411641,0.8998998710961227,41.57121408804949,2,1,29.60575743134898,9.020312766354294,0
1,0,-0.8955797051249871,1.7423229425177553,25.56905861608023,1,0,8.436071861429129,9.840286473688945,0
0,0,-0.71860248805389,3.7649299240547878,45.298613159080666,0,0,12.223068831929433,8.069148532880604,0
1,2,-1.2076727248708095,0.8239249063182001,32.04391260040047,2,1,22.983450313604806,-4.442013364000363,0
1,0,-0.020969612784824253,2.067989650601614,46.45389407130336,0,0,6.271459299348125,6.242569559647674,0
0,0,-0.08695443047173756,4.885631941254916,46.3494969991127,0,0,8.836194917322942,-0.7656413460607965,1
0,0,1.2883923567778397,7.097631397927017,66.1051471629157,0,1,29.489944086650027,3.2105222691238016,1
0,1,0.6085380084541908,3.213583986020742,24.894830550464008,1,1,25.418378672007567,3.2952847654715907,1
1,0,-0.9797628087371233,1.1605649019520181,30.827036261660293,1,1,19.146669221476003,-3.315482500438809,0
0,0,-0.6330750093009935,1.5194477618962374,41.8976342961819,2,1,36.77612926191678,-0.8421109244576215,0
0,1,-0.10365113673490524,2.336433922212592,31.32035910655386,0,0,7.824191403065875,4.221474542590865,0
0,0,-0.1275527285904041,2.128252894690849,36.48798921289985,1,1,10.342298490569926,-7.486402183864877,0
1,0,0.9129978874203073,2.1447047378190485,39.575177435481095,0,0,5.944811787944603,1.3612831176303501,0
0,0,-1.564258137674936,1.0767319574763792,46.520078849329835,2,1,38.94414122985737,6.161154498232122,0
0,1,-0.3383506068344862,2.8417184972504983,56.66208878594854,2,1,33.90625893777934,0.05049256294326909,0
1,0,0.2477346694918341,1.2295430112286068,32.11418569780052,0,0,6.390020520386173,0.20664198311915527,0
0,0,-0.5787737833513569,2.358650101996251,53.08043157445392,2,1,39.59078484385205,-9.446521083519425,0
0,2,0.9942567723237233,4.3008184732925745,40.216062709712034,0,1,21.09791966385338,0.9197846011230943,1
0,0,-0.010024143443516662,4.072388980349591,54.00250199055113,0,0,11.964322202588606,2.4339445727867677,1
