S0,S1,S2,X3,Y,X5,X6,X7,X8,X9,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9
0,1,0.10114445985727999,1,1,2,32.58208239933468,7.1551742106111105,64.23577282148487,0.00977111175326913,1,13.539072121631822,0,-1.9978962342871078,8.516011986710376,25.367768035656493,0.7447532547826448,-2.4982159774190134,0.45780614681093845,3
1,1,-0.06707786952529363,1,1,1,57.735114890428434,24.65450252421048,53.577083738260285,0.17416116605084778,1,22.968842314870315,0,-5.157822212201555,12.440199695135213,35.60506750252554,1.6929079128807423,-5.750505310955556,0.12281154305081382,0
0,2,-0.1684424982242959,0,1,1,24.570386112482822,16.006538717201085,25.457673029349653,0.20003895073041156,0,22.372142803959363,0,-6.062005240915566,90.4390752830365,30.758316298384255,2.5347415100676236,5.483394988356448,0.39031356750385404,0
1,0,-0.10919461183825631,0,0,0,67.99118587598579,39.657016515106974,9.373620936789777,-0.6256117389381606,1,46.35952492821695,1,-2.102376302772999,98.20832646453454,64.65166888387229,6.682002286452056,-4.5922928194891615,0.5588422313694906,0
0,0,-0.3396956018555825,1,1,1,36.95169819407682,17.475211127364044,46.968894473302015,-0.22164738329316294,1,31.402320610655426,0,3.088937991118197,79.16156777965699,32.06049959788858,2.730301696370557,-3.572139204006117,0.6845333497394135,1
0,0,0.4646292644914608,0,0,0,50.26736794493714,18.73054976705251,32.49886148480875,-0.11230933811083191,0,43.273164888698936,0,0.8645379049979454,72.66948463849997,45.13350931165478,2.151935930793386,-9.67495781079656,0.5295009131513865,1
0,2,-0.009099895546210589,0,1,0,29.346056147011893,20.52412400254437,36.018242345691014,1.6363264945759268,1,21.46584467631518,1,4.711103950293211,51.55345989988896,28.945546964864704,1.7219942768048817,2.6596857746593283,0.4751269570490075,0
1,2,0.04235943222696115,0,1,2,55.6589995656868,36.679323214946464,25.963002976538267,-0.8035649268818904,1,20.124345774652426,1,6.67844145834059,7.556434455220673,33.13667858175061,1.0971600973776343,-2.739388332419068,0.6168359098470941,2
1,0,0.19812061157687386,0,1,2,64.9652853231716,39.465537244401105,12.62925651282487,1.2352934360628176,1,14.647007816718736,1,-9.771949437783793,6.810270219358911,27.690984986617803,3.8826884449785752,-6.732542955537188,0.990682622044836,1
1,2,-0.09324312547286734,0,1,2,39.19833341203419,37.940705711999186,21.89188448809353,-0.7517244458690076,1,15.58936734366653,1,1.1314586344383102,80.59405526275003,30.004589666802012,2.731908572427705,7.797615210714113,0.9935260832186223,1
0,1,-0.13231264405138743,1,1,1,29.61168883977853,7.723974151752941,29.81619573118315,0.5614413068275439,0,24.044511054348693,1,-2.8873513790903127,63.22545791274946,27.013888110306105,1.239189494431848,-0.9736470206974648,0.8733921389216104,1
1,1,-0.03068644013447202,0,0,0,40.46698526155858,22.780251535580113,14.550924945754904,-1.9218124685389268,0,22.969578672314075,1,7.467700266015335,53.66381995573404,33.979566761364666,3.337514264014326,3.039306906832657,0.7611909726922511,1
1,2,-0.02169652292253145,1,1,2,44.60092134595707,32.67289243391015,35.10046960192309,1.5534584879450029,1,16.149233632321764,1,0.5637008450251972,82.51804077097638,27.532974560805577,0.881275243683408,-2.941099948753175,0.6783977143357465,0
1,0,-0.3187287098796137,1,0,0,67.03290580139108,10.060217911992924,76.24546284957742,-0.3528611070687484,1,52.69845831072442,0,1.9336389233582718,25.28218634594242,61.72587795439283,1.1679342817633391,1.6308500398616275,0.6771252677927904,0
0,0,-0.3022194919931068,0,1,1,29.727321246617304,19.512214431845397,27.949966308173543,0.12187477454238609,1,18.789400837584992,1,2.851290434438706,66.80191279039222,27.623166920648046,4.503530766617045,0.655449793426591,0.7263462760202009,1
1,0,1.203058047833008,1,0,1,64.776362846458,7.397259580470381,75.11037614197303,0.38587414766848604,1,79.9935543113786,0,-6.65020925822143,68.74478308624633,69.99880852194156,10.58173996840451,-4.869611169170579,0.07323111543581085,0
0,1,-0.2254350384985854,0,1,0,38.306945128877864,18.98480202130286,39.12951389269029,0.3244412138812562,0,21.509475100549167,1,9.030704411899531,37.20315987937391,27.913251755908313,2.7473666125184595,-5.329449970831583,0.4375995214825614,1
