S0,S1,S2,X3,Y,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19
0,0,-0.9559918515498366,1,0,49.88588204912246,-0.610890373384516,0,34.15280600134041,2,0.37457218799499575,28.507792295764062,80.49760080403136,1,0,1.6208191919176573,0.4340277244680331,-4.751187665774019,25.689025062299354,0.5335399974249133,76.85095246689941,-8.496376975883207,2.206658732192759,20.662985851915625,2,43.49370147809677,2.3745767884010798,1.1235333298898216,10.921669568174845,0.5306216407450896,1,9.956883617938876,7.5325815089039905,0,7.515358485753958,7.27281306354822,44.59023717427853,0,0,1
1,0,-0.6254471425694015,0,1,35.057027915992606,0.34434708216245336,1,52.96856702568336,0,0.7574977867470571,37.96000242244829,28.67655454464058,3,1,4.58014526042407,0.2566698930538016,-3.727894266802955,24.777699350343294,0.5554050627031702,25.919558353535667,-0.3956338897498455,2.2983147346901927,29.477634055637488,1,43.57958180569139,3.187429154961601,-0.6051127959821595,15.911387621691958,0.8864425433497147,0,13.591772554422374,12.143896634081592,1,3.342699511804835,14.286058571999384,35.37767150703755,0,1,2
0,1,0.10502065886847232,1,1,65.17143925548157,-0.457936240976529,1,30.83036811655863,0,0.28925945824818733,48.27170989724658,63.889641316699134,0,1,1.5976885890404473,0.6102502921383304,0.3443098238017388,42.9957452667486,-0.2736857461049272,23.812643348594342,6.264444609984775,1.6474782064093247,55.86362167187275,0,30.073688976231484,3.645586251711794,-0.222797234301944,29.8445727255515,0.215108081315875,0,30.082376682050082,23.603226755571484,1,1.530630221864221,29.097353097700545,14.39814265565368,1,0,0
0,1,-1.1586849328097406,1,1,52.12937271975019,-0.6092903567852598,0,39.47694786789405,1,0.36239641153100255,34.603108897426054,70.7774930973209,1,1,1.7944794277355682,0.4968114330637982,-2.5236143869338425,38.95362125858541,0.27106193099484505,46.84264055668162,-4.062230868871297,1.2279484271239287,28.982665708551515,0,41.624174603987456,2.8543694498990466,-0.4996177893682366,18.33198439465105,0.2444462473411555,1,18.021643146512268,5.970084521955272,1,3.0071976655713937,31.939405542921307,23.999299501980254,0,0,1
1,1,1.8942004058625583,0,0,52.43122109708375,0.37584921759136736,0,48.307559850237986,1,0.7572753821329954,29.682285231388036,47.916187309312456,3,0,2.426754822521184,0.24489649731617963,-5.932922909998615,17.865616617284452,0.8322218336027132,20.959419807900492,-5.409555232516095,-7.7548337763914565,79.81597922591305,2,69.97246685440925,3.237628882273915,0.20092919250563182,8.225575006495093,0.7808362050177771,1,16.160183062588086,38.77744536955711,0,5.175751863021304,21.935302045727788,23.759059867645984,1,1,1
0,1,-0.2569230932566153,1,0,43.07476686271444,-0.631903331205158,0,35.17382643599818,0,0.5447931215975033,26.592046333450533,59.377757286682844,3,0,3.053882880621638,0.2480614896720123,-6.838281052983103,16.761770090034585,0.9165545667999873,41.11270156409077,-4.761160401027307,-1.4679289670623117,41.5659634956797,0,69.4891654052629,5.241248812895259,-0.2515156260227396,12.746410960171222,0.15810703848012492,1,12.889226918719615,20.756857060223425,1,3.942726872409454,28.962176119808714,28.370766067404432,1,1,0
0,2,-1.108521770577588,1,1,78.39594831643501,-0.4997033615884284,1,26.34961243475595,0,0.06533406043592033,68.48044605850222,59.04270456362424,0,2,1.7761915338556051,0.9687910531114912,9.14736185279795,76.7081377112026,-2.021415490292972,56.0045263729205,9.764293328940326,9.496550585345286,58.19037862220046,0,48.02124978820771,10.069297177601612,-0.04465707328885099,39.83783832768668,0.22523119241246714,0,39.572515375166745,6.525532654478252,1,0.5484103602537228,30.930640177015583,16.56390384109684,0,0,1
1,2,-1.6237400459218838,0,1,59.33545350585207,1.1906465915655426,0,60.59119778881876,0,0.8457432741092892,49.204928497787854,6.1267566358188645,1,2,4.5385674190436225,0.24430675796026824,0.028360834153986048,36.30501809595765,-0.1287241407841401,59.33722993999828,-2.595909811023076,-2.3776946634375715,78.23976032470244,0,32.009723893702144,2.3470310688029556,0.2808684248873405,23.659433365677984,0.08420162595594693,0,27.973835750412405,4.975980892695402,1,3.091873926911447,13.369558088537863,30.59277556041415,0,1,1
1,1,-0.9211602995599507,0,0,89.08973724755806,0.7884447916750379,0,46.61152818871374,0,0.7187899344073181,42.81448919538563,29.89975052514916,1,1,1.65390036198726,0.24448767826186135,-2.870734590600774,17.869592274558684,0.08363076181647353,67.16484980289859,-3.7409061717395886,-0.958066962104585,32.891127873674584,0,49.03308199877515,3.3932351190605625,-0.3462661013975093,14.53547416474418,0.3078045340515659,1,19.377523952717105,9.060430879397575,1,3.664512151402276,15.663835365397599,37.73328410476612,0,1,0
1,0,-1.0305355773487836,0,1,23.377556825937752,-0.29868212302862335,1,47.071918356422174,0,0.5286431585928536,34.75230583718488,55.95417259758928,2,1,2.4945673505991057,0.29769586849827373,-3.0538736573511134,23.637247015051845,0.4706571938360116,45.97715471578243,-2.038546573114102,-1.6143305965383306,2.916076152626279,0,40.72833364376373,2.449447955135683,0.4617668298581636,19.289767243764743,0.6198720353291478,0,12.271911587773046,9.27175964702567,1,3.084882057530555,10.903860565638709,42.22326498895667,1,0,0
