S0,S1,S2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y,X14,X15,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19
1,1,0.5607869562503283,-6.5987893564549545,1,23.147451674757114,0.7975803936429416,51.75493399560042,2,1,5.94779898064084,0.7393120070440435,1.6203524509590435,0,1.07491244943623,0.1675406797724407,0,46.3681480332033,0,15.416243105983991,-0.4483260005389619,2.0823517935239857,2,30.587457269707812,5.598038163634232,24.823231305716188,1,30.16422812963941,49.06133456658178,1,0.3875566549688363,0,23.33346640976282,57.874266157925796,0.7025295803135366,9.630636847050583,40.14505183759401,1,85.02761112048054,1
0,0,-0.47397458467923187,-4.358728180287512,2,25.373798365465166,-0.5048130952728371,30.80349206416969,2,1,3.85102961650054,0.7803678313500175,1.630000554353271,0,2.3457131708958516,0.28420130148359557,0,85.81807524887792,0,57.52514190479395,-1.924992731426551,1.444494733790455,0,30.932370980001384,5.344313920704691,25.0818184153251,1,30.106727482324104,38.209518489076636,1,0.7330496598950057,0,23.40412266048378,58.30417133677663,0.44444649556164995,20.030029945363697,56.38204863587642,1,31.94439127297134,1
1,0,-1.3473209379641884,-2.4099596502525813,0,50.99527821168219,1.319364646105077,35.78749772108949,0,1,-1.808580461257712,0.8229616120811581,3.381733311484507,1,1.885848120030266,0.8348470329948117,2,60.14049338848725,1,17.09587568939893,-0.7973100673072581,2.0264399266301276,1,17.117952602574668,-1.1269474823663206,35.32915715847266,0,46.878943205438325,55.728971581410974,0,0.7921613189543016,0,19.45093331759671,40.20710432671362,-0.8180410547713114,1.2157936132177138,35.855221248844565,0,81.0849865638423,1
0,0,-1.2788738228491097,-3.996802601516758,3,22.280901452431127,-1.4208083994254797,32.37818633461912,1,1,-1.3931069413609247,0.7680457987668319,1.5610219116142892,1,4.824678350423303,0.5940551667263945,0,90.98420993247179,0,9.403655215449653,-0.2185433007704258,2.4244840183030623,0,23.30154201764307,1.0382911937101191,16.62248606887108,0,40.09109424041095,78.49267289409786,0,0.9882518193837518,0,21.280644960727457,48.40580308251094,-0.16971748837034342,58.40015527861946,36.48836244854575,1,26.016043805053418,1
1,2,-0.7853239939384228,1.6751809770972859,0,78.97828768628916,-0.3595242399106063,27.54672574001383,0,0,-4.853496363345364,0.6192667323641196,4.69718186461521,1,6.28734625242533,0.8939288285007566,0,80.58739235209814,1,18.021620726273994,1.2321573640743326,2.1672160267286267,1,10.896551935078111,-4.1657960165589,35.49478495567299,0,55.90405437909982,9.09040004831699,0,0.7698932127748639,1,20.726604515831472,32.28329449153068,-0.10426437303053765,6.0770636170571155,45.7862988639323,0,70.86082396163303,0
0,1,0.16528372562990815,-5.623695998695608,0,24.399854308839906,-0.2402140377326843,31.73671473893188,3,1,6.242301965175031,0.8888415422426454,1.6024983797685974,0,1.8044925685787545,0.24093996805893697,0,88.78040810076666,0,33.35361948138387,-0.4007773449842254,1.824380916384478,0,30.580497084989744,5.6171708202743,0.11229868983922087,1,30.04057758672256,30.659939661663643,1,0.436640537382488,0,19.505776729363784,57.88046526532884,-1.3755350683660135,33.842793914200165,37.6345998727445,0,94.85252904749603,1
1,1,-0.2382042268212569,3.656936215173694,0,92.6533817734273,0.2643776838253711,31.537429878597518,0,0,-5.649129191035657,0.36494585721521855,7.235201377035979,1,4.794456177623262,0.8682090965631231,1,56.77516681866543,1,48.959089191872,0.9071843954500098,6.602156080938674,2,8.283457594925714,-5.401752942549982,12.877983785084524,0,59.57683499641759,4.875086669926487,0,0.5493630847318972,1,15.396030013927426,28.81488962895172,-1.3686535592194573,40.472964159999414,42.39397468925485,0,49.56484522249991,0
0,2,-0.7431362803461643,-5.13473085400352,0,17.741383142479233,0.4530327704297281,66.98281011491828,2,0,6.744224474754425,0.23024460791502194,1.6412079807064255,0,0.978195651126379,0.2049095368501534,0,27.40781703589906,0,1.9733764053216918,-0.22308133374776046,1.7181194988881112,1,30.539915612543147,5.544985318658831,21.760966184284115,1,30.567002453711126,15.908260495312154,1,0.5518728816184859,0,18.5994226555269,57.57925625881716,-0.03379016663483694,72.55474131787606,36.75364204973279,0,53.12918763411475,0
0,2,1.5376297817629185,-4.558365269744495,3,32.304684379185446,0.08194011101226131,67.38510333542636,2,0,6.23314404865091,0.09079604094645527,1.6500933785331409,0,1.260946403238625,0.2355649621868554,0,5.356383764722422,0,26.449112466122067,-0.018000785349093953,3.9424768980023432,0,30.95168183447223,5.278950883917792,23.458252923302496,1,30.25313734529174,4.806976124897804,1,0.035762035657963764,1,6.917135633189737,58.23420481654468,-0.15910093490949542,43.38998413691751,50.880424479400375,1,31.142589614530603,0
0,0,-2.1596282053181732,-4.301284147822142,0,49.55136467924643,-0.9526298270378958,32.12322239001608,0,0,-0.31405422187644483,0.5786787706802704,2.4436302385187343,1,4.696027707116641,0.711636327483953,0,89.5456287905976,0,79.82805308010637,1.4312779336419084,1.7981434279637196,0,22.642961981877377,1.3647263807487242,23.323886086256778,0,39.87682919791604,49.99916165626321,0,0.9676272065006919,0,17.676635018299283,47.44721526925004,-0.10194241893464646,92.21643820628952,27.11650025718569,1,6.1030004654820225,0
0,1,0.3606664251779254,-3.8883009871584857,0,28.6805746218878,1.6391104192848005,32.08105123399689,1,1,4.065087555820515,0.8538687788074342,1.8338142863596683,0,1.1058765552538978,0.30987682961188634,0,52.21532285445429,1,45.27658892752672,-0.7346300920462299,1.4302795703752875,1,28.316884912797388,4.503637965054047,38.613593041710274,1,32.2558555128504,10.080625678229644,1,0.2249198904109162,1,35.859453483789075,54.94984146911662,0.94485423902452,73.23636805103524,40.45886858978072,0,21.104082976549314,0
1,0,-1.8171127648610763,4.4209201031893475,0,83.08748225187365,-1.0027958684042553,63.105531150043184,0,0,-8.102144896290374,0.15839508343112113,6.016761032626698,1,7.52858797524933,0.9073894261596562,1,61.1811753550081,2,19.194745788794386,1.254553748045174,0.8883974733731091,1,5.169478179350621,-7.366274771932694,18.77853792863496,0,63.260401866485914,10.92979297770861,0,0.9986716081901241,1,4.443310995807872,24.632149678190586,-0.13640712117218579,87.80560996760465,42.15401389378674,1,56.29753201327523,0
0,0,1.3703468241125387,-4.442590392945828,2,28.602765412531696,0.06221006844114188,41.62945223281712,2,0,4.508911035814291,0.5132810454270427,1.6083031251753925,0,1.641986248902597,0.2588933073956042,0,31.623662832473997,0,50.07905058217406,-0.7817136210423488,2.7429690893466203,0,30.871220127045873,5.175267473058414,16.640295210525203,1,30.114043194558278,64.79216474234413,1,0.0840797829893073,0,19.60900413370156,58.01679354661184,-2.5676255985141734,52.22966849506212,46.967430043162736,1,1.8995592831140495,0
0,1,-0.5283901908959799,-1.8761239711736177,1,34.797585017802064,-0.1856973004555517,51.65552456240363,1,0,5.020969454966021,0.46919950983683256,1.6584166434646466,0,2.075548531112897,0.22618501482418446,0,59.83236756716834,0,59.82168925524513,-0.6152479328623629,1.9921085888587644,1,30.892094893534,5.651653032211632,7.380908698799602,1,30.44264519512958,35.78472467858632,1,0.5296003322226162,0,15.657427542265445,58.10851362212297,-0.5731524851538282,53.494652288502074,36.48928787724082,0,50.4355510447781,0
0,1,-0.08655364639872414,-3.886303881783091,2,28.099883960529294,-1.205360903371395,32.621338426925064,3,1,6.187526698827565,0.39701879566658116,1.70401833708012,0,2.8436865209070197,0.3043298357759352,0,65.14511078963012,0,12.93408402517536,-0.5662835978002457,3.072264084401641,0,31.093770654486086,5.07153662232643,11.600592588492407,1,30.40911710142397,39.075713444014234,1,0.42966793266180564,0,0.6800380750385471,58.44683968723044,-0.938859643142841,43.6560435009616,6.298110482126136,0,4.462664337831857,1
0,0,1.0418719235049074,-3.0142928844940347,3,23.49108354268776,0.06879536273819116,38.164600283099716,2,0,4.187182902489679,0.5216538520892315,1.6599597539820097,0,1.9075504068681284,0.22223706162868323,1,25.769234566651072,0,63.90335381919564,-1.1232055100430811,3.94444617952562,0,29.827286749831625,3.8016404878748755,18.543347555091763,1,31.610122373701948,79.02051613871463,1,0.06238339657482056,1,21.91806223565294,56.87292460979461,0.25028873014181363,95.34244927077008,14.937624598848611,1,24.43185496556332,1
1,1,0.9384939339185782,-5.266407686129753,1,25.710332877875175,1.0957362437729208,53.06753483603897,3,1,7.6298771303424076,0.6323761718375541,1.6028045806705649,0,0.7684169627546102,0.295512356948202,0,28.720941520346432,0,35.53675422140636,0.12679314711317277,1.6868103166184831,1,29.973213120283923,5.430020316826749,0.5673240841790927,1,30.376703494164346,46.46767364636395,0,0.06677668321873276,1,17.37041219061372,57.2631987249239,-0.6691216165506274,68.24222600329115,11.924532774394642,0,23.314028037836515,0
0,1,-1.2359575246495011,-4.03156694169999,4,38.258034544014286,-2.178744657148118,43.76533273857744,1,1,-0.321921809345044,0.3997246624914649,1.9281982075034725,1,8.30761481544537,0.3881022660040824,0,76.81556659028617,0,79.66999328706457,-0.21597326153283125,11.071085213474786,2,19.111445279642986,-1.2242241360399948,12.662260418808398,0,45.09177068410052,46.48083437791403,0,0.9693135195253366,0,22.12287853194597,42.94999479305075,2.471597392284131,43.37615492497476,49.60923086936239,1,48.384578708715985,0
1,1,-0.17887829901491473,-7.782951602454025,2,22.016099381249155,0.4270770936762899,22.10686191189047,2,0,6.8784697484204855,0.9445284726669712,1.643835908065386,0,1.7320814198170014,0.3383969801442691,0,80.23374020840225,0,30.680880643198883,-0.18496856385790486,2.267420001097326,1,30.972194676984152,5.532262936448101,17.52398398720524,1,30.434949988462904,45.63603616007872,1,0.30686500654872495,0,1.3961115331746643,58.24818744977645,-0.08801150888290608,44.05070836378724,29.542428164844353,1,4.20847407816014,0
1,0,0.3584160729129838,-1.148120223381456,1,43.984760438427564,1.5608686727989565,44.73329616014421,0,1,1.559927277140055,0.625401431275562,2.533518098112402,1,1.2495729441863697,0.43298570337299885,1,25.387222657236546,1,20.783215441712688,0.9772954107469797,1.3625250346678066,0,24.127704198476422,2.465562856598053,29.083836736696504,0,38.642600093202645,45.684207650209665,0,0.40505617361579815,1,12.111880569419142,49.278500024992155,-0.02118039698552416,37.49987557162267,33.073389678688365,0,94.29460012514896,0
