S0,S1,S2,X3,X4,X5,X6,X7,X8,X9,X10,Y,X12,X13,X14,X15,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19
0,0,0.19522471886516843,0.07092525426886692,34.37962992102159,5.2688979949944414,17.97511509483842,0.9859593148167044,0.7021400044972236,4.569007042000732,1,1,-0.38396858216291596,14.527113471941856,0.5369664387775908,0,0.31679815790316207,1,1,1,34.60485404464036,2,48.67082185398267,9.51558746110635,0.11492721919165266,25.893819982242626,58.981286566796484,2.296067771376924,1.1156478233375027,-4.057838156519696,0,14.960242825807445,0,1,33.17015727977265,0,20.373362790196822,63.82486342282488,0.9729638000406773,2
0,2,0.007238327207586592,0.18681017988269938,62.25564984175837,-7.61701231322532,90.67457387872864,-0.674749288615383,-0.5554749014163994,1.5971280517293824,0,0,0.6849826510422353,16.877099384511737,0.43642562965158715,1,0.4317765890088636,0,0,1,51.350544916603674,1,39.13502329646628,14.20030175352915,0.42604130624504677,58.88502128244073,10.991170335450118,3.0617427047468464,1.6263025555589572,-3.755215473755551,0,24.536377488296424,0,1,74.28348855464901,2,36.898035878918705,35.99431265048222,-5.554831578148426,2
0,0,0.48889752755116556,0.3961360313874508,46.67773862248426,2.159913767420507,39.43412018450429,-0.13372445231102015,0.5630055575436096,1.998160191694218,1,1,-0.34122496274802033,30.43616883480211,0.7123452260341119,0,0.32210293859591516,1,1,0,50.277221354830374,0,69.2867603295924,54.45646902680061,0.21591380662225457,49.801742854992234,66.4421945081954,2.2241143629880606,2.4635183467013286,-3.0570634130181595,1,20.963798691904394,0,0,22.80673109398328,0,19.389399804261437,42.83657771408753,-1.6988979989571042,1
1,0,-1.3193682757967655,0.336619726338533,53.71706048243941,-4.805785892150939,65.11909762421757,-0.5882534217938261,-0.619671029382581,1.6559764844073914,0,1,-0.534081144044121,23.44627513007151,0.08485831517630515,1,0.3641587334453918,0,0,1,43.37620498651601,1,21.173081990059686,71.72294456028725,0.352877970855005,57.53304736810966,88.10486957056393,1.8569812234549987,0.6576233296183974,-5.8071790932270755,1,35.72531025420812,0,0,57.10188873532347,0,25.45049179700728,50.017519302202004,0.8681349739613076,0
0,2,0.09244594715207287,0.39366811114942596,37.65983855651196,2.8908297511522605,29.476291842410312,0.1644117507194829,0.10939801361696014,3.0592265319553187,1,1,-0.23693651477719077,26.116921587881063,0.7825554268149797,0,0.2943013235166555,1,1,0,47.84553219419277,1,39.67599597427361,13.5813198724514,0.981916366619191,38.28714803651332,58.29547773545137,2.2360456564327396,1.197113186922263,-3.354751029408476,0,8.645537104708884,0,1,40.05988381487737,0,17.06983108398822,43.74875045436691,0.7995863634366209,2
1,1,-0.3775430906634907,0.9279314123047593,34.91520368207241,0.3868983540021631,40.33911796821421,-0.35712848313502765,-0.4522447236646155,1.8468019450239517,1,0,0.4045699947639071,32.99652284464807,0.413546833126385,1,0.2730950099430829,1,1,0,56.189809722836436,0,20.58441917728547,34.91612521487871,0.22781908574770177,55.03184475135811,66.42789601266088,2.646481526182546,0.9719716306610787,2.617610111681863,1,17.740172968488473,2,0,61.53791082025792,2,13.155455878872493,26.2724399464976,-0.8386897119791321,2
0,0,0.6187428074192014,0.049754777704711095,60.20086185574775,0.07180038748570361,54.52975014140718,-0.7028699827524755,0.9980492757829786,1.6125752481243152,0,0,3.6663778946818493,32.014211385581,0.8541654418354837,1,0.9998906882455529,1,1,0,50.20108649569674,0,68.11863579728353,54.500797363390575,0.6702295898450069,57.21595574088788,91.43400865248579,16.327059749452,8.720514609244562,-4.265787645124623,1,22.322664204852778,0,1,20.91676701417041,2,13.23308479141554,50.628358436988016,0.08646938891150668,0
1,1,0.1567009427197074,0.8298844865002771,25.760583445705592,4.520300229814067,26.220269667512525,0.4162247326537602,-0.41516812825803484,4.431999676069251,1,0,-0.3547027325340558,21.794693190877496,0.48266321335932794,1,0.3391171949367886,1,1,1,58.49672760199265,0,48.98874761218181,25.729224438717324,0.9723439777160685,28.65838550186876,26.564201621387323,2.104890764239444,2.5030038197994724,8.317211440173786,1,0.9844269323481236,2,1,21.442575430274566,3,11.049524769329025,23.905240822673278,-0.5498852942328423,1
0,0,0.2428624852734725,0.278781147966803,49.317375754449145,2.5852318018670424,38.75950150305695,-0.2557431535875005,0.5972105509938713,2.243138875420745,1,1,-0.24306058348251494,26.03421258567238,0.5144005538052197,0,0.3403299967128792,1,1,0,29.37279913162235,2,22.766741758070086,52.38579912274412,0.719698192102949,42.57805155887026,63.21575142917133,1.5209069229536816,2.8960746858939355,-8.877630264093627,1,37.35671349143354,0,1,15.32428560688652,0,6.798651880651372,73.24704641350365,-0.9517984376737552,0
0,2,-0.15708881550674075,0.19873250165416395,31.60791339363771,1.7573452835312064,26.696926218925743,0.30332500748264346,-0.7512922651664933,2.1760072756348645,1,1,-0.5784720658131661,30.651552208305304,0.8421233046893873,1,0.38143239055173705,1,1,0,49.614906607441895,0,44.75727128404007,1.3653484967999985,0.7194065079011251,46.78551881910398,68.84210924427103,1.810629286810072,1.6610459352128655,-5.0309289208550805,1,19.35692319924085,0,0,68.23651169308178,0,6.176913814509144,42.05101459885032,1.545052009139237,3
