S0,S1,S2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y,X13,X14,X15,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39
1,1,-0.8835578982768652,55.694275162495174,45.75813871664405,1,1,2.8396731572500427,0.6655190258103598,41.89161725851876,0,0.3302988169829728,1,1,0,32.19210917187063,73.04072140798442,0.705000105555377,2.271792706938638,7.603368660804608,26.3307011693227,23.563184102543158,32.82100279466444,42.09441126842374,0.3659133916234693,-0.5429827625454636,37.480980124713604,34.11725360393444,32.62705947613259,0,1,19.58638274229059,0.20575383580070306,2.0409596677765025,0,0.31517815432018526,-0.7061864163260836,1,0.5235088212553192,6.922255141757105,12.462325482993922,0,1.4467649576195711,1,1,10.678097784058027,1,1,0.9630708069397169,-0.8061589051189979,4.430316753994045,0,0,0.3408711123702661,4.033969245713279,24.63333789500998,0,2.021773133167578,0.6285503480662002,46.62686420254773
0,0,4.646204442900194,43.90012498696558,69.9815177589343,0,0,0.16900590868296805,-9.998915212891662,79.8030719601692,3,0.8384311745290174,0,0,1,69.999999999236,40.47745658157405,6.256464235576686e-10,1.1047664800888564,39.99964265045214,63.77911303925373,0.001862083963839467,2.082975418220605,99.99706805664043,0.3370875811351195,-1.0637205956227158,18.68545998020362,14.648874275679024,69.99999999995364,1,0,99.99999556319167,-3.9410731466477937,2.0494965800403264,1,-0.12174445804829322,9.997891722516531,1,-0.36577546327265686,49.75155190546674,9.53587683254856,1,-9.999535832712315,1,1,30.378945286259125,2,0,0.7216144264117847,-3.409080492378334,-5.293451776057396,1,1,0.981631073223601,0.1353352832366127,43.191104221706716,1,6.159412718094671,0.316714600762396,0.003841577943686225
1,1,-0.06229660981564396,64.90192539298906,31.727656651889664,1,1,6.2905158489543895,7.509940718365762,15.820283634740498,0,0.8320438709823068,1,2,0,31.39126538788179,49.47469256441982,0.8016599970306126,3.1583675700780773,23.889174936162455,5.411809894726827,36.90531307581037,26.89988014500117,8.299908340162187,0.8140664814476098,0.5142356865158991,75.60809259718101,2.364714257453744,33.79066458388226,2,1,48.340005340730855,1.3821999980384712,0.7812193713189974,0,0.5003080525376237,5.0195282315727745,1,0.3122624049909845,77.52255943984498,39.71711431950037,0,8.03588377764067,1,0,22.30571632686461,0,2,7.2915645692424,0.21711189961936453,9.621675446385222,0,0,0.3708980732434064,4.219994968813232,28.62830447300847,1,2.54894831289103,0.9784581631600577,73.50197646365676
1,0,5.304661361043294,46.15223605785299,69.91915602307733,0,0,0.2372175006965833,-9.977542529012197,79.09910573050362,3,0.7599995064798158,0,0,1,69.99999999995674,0.9266130326510524,3.157385197738449e-08,1.0845032424332048,39.983296622148615,56.875671103413225,0.012157164167307943,10.172915316469002,99.97885300867748,0.267288564322703,-0.4920825458141442,18.499497966850743,43.88818577053218,69.99999998528978,0,0,99.99999974986251,-3.4707656697079643,3.1244442456053902,1,-0.5346166507607656,9.999214975153123,0,-0.628512326987039,20.189341843254567,9.20158816200802,1,-9.997262868338192,0,1,3.757978165930773,0,0,-0.6408539726716622,-3.5055735612749177,-2.195679063882464,0,0,0.7651845011639179,0.1353352832366127,25.226904619886955,1,2.6002306881251656,0.37190904494088295,0.025449626653699653
1,0,-0.30694611091803325,39.55853610199409,57.91356518039488,0,0,1.9624782011631166,-3.153417368260164,60.94186477877358,1,0.24513755725793107,0,0,1,44.558951466624954,70.54066315998524,0.4574468300374928,1.5118605510462375,9.956016152613394,71.64127744295149,14.289158676885085,24.745503220245332,61.497089012966995,0.23518676627726082,0.46132849624765077,18.32169398467192,9.277480326058726,36.46077443620058,0,0,50.45409628446536,-0.33868729487296756,2.737416674619603,0,-1.008365681800849,7.182871350088146,1,0.18794335677463447,26.237816057382098,11.982481472397,1,-2.7718207063331146,0,0,21.080712960587825,0,0,1.8231189637139913,0.2799754555503209,-3.772170831590901,1,1,0.9370336636079812,2.0466290947997385,67.31981226244054,1,1.3984398691146032,0.4156759142759328,29.50053829389492
0,0,-0.5016489504229126,31.17001756205689,33.95334108096071,1,1,3.0011353908547087,-0.8382923870594325,25.309348747312306,1,0.2975203272763881,1,1,0,34.939921176610994,67.46046202959123,0.6565973550145823,5.75964213221516,12.928580622038556,73.18033945840567,19.650178085207564,9.458615672740187,48.32571297347323,0.4900278475909664,0.3616752726272158,29.39004998061734,46.76776133984645,32.81028868114383,0,1,29.895127695826723,0.006650407322001525,9.451914487142849,1,0.07797995228536175,-8.35185440370476,0,-0.009704335672704976,57.74303962263005,8.456503210741651,1,0.5961093489269906,0,0,36.71303241110197,2,1,-0.9245878052428864,2.4851679883060993,-5.364315367384983,2,1,0.9795200857964674,3.5244304577795553,36.1506539777522,1,2.8535415000472626,0.26442137236906915,39.34074572361141
1,2,-0.7462238560681799,47.67209101565334,30.75074705671394,1,2,3.633292156040904,0.06280356230490014,28.481858694343217,1,0.4577069991243326,1,1,0,34.88172464627563,76.19049160810643,0.7118904180177758,5.472583238901948,17.0437671061105,69.59701651866055,23.497446739611036,27.553576069955604,42.24481870872066,0.6123573339222941,0.7894017856998977,37.5631303191088,37.83543561986335,33.87377117609803,2,1,36.711409070905695,0.2223984918481716,2.852591032468649,0,-0.6290954040461239,-0.9505217505517081,0,-1.1222775777579133,61.43372520223597,8.965602562623179,0,1.8304420378624293,0,1,31.759228312519294,3,1,0.1869190239808951,0.9451153896513781,-8.656652990264185,0,0,0.27091046164523175,4.802546824024699,41.78612028415627,0,2.662137002064587,0.3417193244015848,46.97570743069798
0,2,-1.8503115114330688,29.546499072027878,18.206178825368497,1,2,8.861256996919467,5.9755000308055894,1.3595162047738274,0,0.9482805382147955,1,2,1,36.17549966206199,65.40952475237374,0.7780024257575024,26.40896382794342,38.56028940292112,80.69169612368721,33.46902074428266,39.90279899924648,19.066207246470697,0.9892769852009274,0.5592216847084689,67.8998438035132,20.706934776676054,34.13690709029193,2,2,31.951124983131518,0.9990167089502379,4.348450985897703,0,-0.36843317988336766,-7.467733200346563,1,-1.459814802631976,75.26610720561001,11.463562502743878,0,7.114026890785318,1,1,21.603500649187104,0,2,-1.3457365357717848,1.0078686442246774,-8.411980240173696,0,1,0.34866487006513713,11.144773105947111,28.183159445232192,0,11.056581644871533,0.2770730610782568,66.97367870721827
0,1,-0.3443622799734851,31.203506673695955,48.546056140413995,0,0,1.9817530257665328,0.050970051868707955,53.22587273139501,1,0.28285477340485604,0,0,1,41.39041424761266,5.784190779260767,0.5555311651637492,1.6269827536152974,6.562456486616517,75.41714308600838,13.190638910110623,21.039148486467695,69.39195326392004,0.30116181482352067,-0.8974381018253292,18.775707350073013,46.18252486028213,42.823794580084325,0,0,34.117371731210596,-0.43279433403658757,5.219909438310777,1,0.42452877640304093,-3.7988933637356634,0,0.4184595900865631,20.707523521911668,8.190464078171509,0,-2.9380841256584596,1,1,21.03442879244343,0,0,-0.3485566399619593,0.06054969081739561,-7.7623628565580844,0,0,0.34312436744875185,2.1605448063623545,67.42041124563765,1,2.5300779224937773,0.33241823781352753,26.289518658725363
0,1,-0.1976475392986712,33.49747674797077,57.306583178837684,0,0,1.3398647147367404,-7.7647780275037634,66.25099085626518,2,0.35324054915642045,0,0,1,65.74635396270621,43.0368681415579,0.09829652798084076,2.259874125662868,26.947652319295166,89.86338863326246,3.7648130497603205,17.41369644038516,90.82508490497231,0.21229222914962131,-0.49022230960681223,19.129451913246914,41.81051167806815,67.30280051270546,1,0,98.30675607764704,-1.318056662223657,5.035532527870433,0,0.4463087229409126,6.162733947120714,0,-0.13683459416185276,56.17773594452801,10.468910317652389,1,-8.029735994547355,1,0,4.822341296279163,2,0,-7.991950145334982,-0.00692782914782516,-3.068460624149136,2,1,0.5081517562488868,1.2449943270006005,40.81306753670529,0,2.6776666213051397,0.3478506069646504,7.445032309982813
1,2,1.1446804695539186,33.55633673659662,22.456507494794614,1,2,9.761347205551957,9.26654119882513,5.311312747496877,0,0.9674949547231296,1,2,0,34.19604992084304,5.782977155996161,0.8197862731954173,4.052480449763204,37.59316711452271,49.59724965574765,36.96763177859743,29.356095994043407,6.897656433211003,0.9019038749208563,0.05377440360890856,76.34412451261653,61.936095911101546,33.71134747325403,1,2,37.719558641383365,1.4410478010042052,2.848739997915865,1,-0.6026565581691095,8.983569095833658,1,0.8115066791165847,69.42756988642938,37.57728924642915,0,8.719410282687559,0,1,16.842425120738614,0,2,0.1351076592286482,-0.35903360936219914,5.754999083426284,1,0,0.43295781407395983,6.19649245745077,64.3935764046534,1,53.42552569848719,0.455891778196028,73.8830634200921
1,1,0.6132735417430364,54.11877528009237,62.752839230108584,0,0,1.6509962944305197,-1.8813692052748294,67.75799457411578,2,0.2678282604836281,0,0,1,47.30153603414152,64.20261224532202,0.428389052244488,0.9384295633357777,8.434577637577167,25.442969129565178,15.646455598101817,9.158097208177923,59.95763828976204,0.26292936718265164,0.32097453209040583,17.639486230801552,22.65172757314492,37.69096551103925,1,0,61.74630046300011,-0.3062030940757604,1.807192630698091,1,-0.18383862580180127,6.982933078230946,1,-0.2518306215268665,19.50711366724095,16.557638543484668,1,-2.9514136067034222,1,1,30.075160742174365,1,0,-2.0797412876231895,-0.09054965845697024,2.5993397286919713,1,0,0.3312099505185062,1.7228202812550995,30.163357255205106,1,0.9862078114241296,0.6634754234371458,31.418631463937086
0,2,-0.7250470167688925,40.444783754061575,21.016801794307348,1,2,6.600267066641528,6.860747922552978,7.5132958012816875,1,0.902728498381143,1,2,0,32.778729934147194,46.46643182269313,0.788358947600474,7.8255765217977835,34.974225175521816,73.39735146643424,33.28844651917689,34.90315285793639,17.289669695032583,0.9464967508921076,-1.5482350281642763,67.79168426233109,21.212284994029066,32.40264215954873,0,2,35.47743976106556,0.9813409776042838,3.5558732883060795,1,-0.9226783334672719,-8.900991665016779,0,-0.2967510752130813,38.68575370743075,21.659353559077452,0,7.1661061887034165,1,0,14.601015162735948,1,2,8.161804223029442,1.175977544305142,1.7834001003470323,0,0,0.1440521507274115,7.020493090277089,40.3670331307825,0,2.620360847433395,0.20344554993310576,66.77210679588939
0,0,-0.7300831156544706,27.643026271556366,62.251799734435686,0,0,1.431750361725938,-5.2106252180687225,71.81972624737767,2,0.3620955633169104,0,0,1,58.557529479888935,33.54862244241532,0.22747669598549758,0.9352642184314806,19.737648704701552,80.26700298427396,7.32249310815307,13.914831885908779,80.71295591435029,0.29489930541299647,-1.6057433861535557,18.66560160368084,20.103105748569643,59.62557136063716,0,0,43.86168223594467,-0.9288790623974886,4.475388949867788,1,0.5487513827378305,-5.062361333862798,0,1.6404100900288319,18.821265504375937,8.412782413627397,1,-6.383146379411663,1,1,19.71206673991666,2,0,0.2138675221601556,0.020415384110554165,2.143398963100193,2,1,0.4114761977992204,1.759004020078688,62.666572228763435,1,2.882753120749165,0.08616059283937649,13.397274462666289
0,0,1.30328413640417,25.9149542903061,65.09469217897458,0,0,0.710762071584135,-9.382927980959334,64.1291247637394,3,0.504476781628345,0,0,1,66.91768623913282,93.13414977210716,0.010772105542100507,2.736976117316906,36.93088298265424,85.20078460621664,2.354063451378361,2.0437604970012013,94.09708408981021,0.22246930604078008,-1.0240089892792317,18.349435107642545,35.596481559132975,69.10051209192827,1,0,87.20346076666718,-1.5790312118956586,4.0110201269020545,1,-1.244646193718806,-4.2322961247894515,0,-0.5672423919099706,75.90858776880137,8.323053070460142,1,-8.930568636060398,0,1,39.98731107907073,0,0,1.3962623773825165,-1.3383225324984547,1.1842652135235259,0,1,0.9136200903282934,0.9745712444222616,32.77198799195699,1,1.5788392635366795,0.45117354309994034,4.698058995779997
1,0,-0.05767967829993196,61.89145681504967,47.5705829733102,1,1,3.8399696289901617,5.053188358884103,41.39936553816699,0,0.5455498277754972,1,1,0,35.144418360003904,67.70793192004665,0.7649955536964715,1.4742095834928555,8.38424664085159,8.045702597252118,31.892337850071808,15.188520590285597,17.691900284669337,0.457620517132335,0.6897938790821578,63.52027779144439,19.389303299588185,32.888287688838716,0,0,41.75369116555194,0.8333667436566347,1.0154093424835051,0,-0.32799419593815476,-2.469908759265314,1,0.7580671788661478,66.42894091434013,37.95180782846007,0,5.594446936723614,1,1,4.344459006602738,3,1,-0.02619278801875069,-0.9753331729319571,8.54737370404385,2,0,0.33443332512147306,3.1546513893933583,25.88289515348918,0,2.717638487317107,0.979443431299504,64.47271394552162
