S0,S1,S2,X3,X4,X5,X6,X7,Y,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39
1,1,-0.12765941119185611,-0.7243674054176974,23.70733954387708,30.112477411718743,0.3664498629308808,41.96966838723698,1,0.7269964719099574,1,23.57432564243255,11.074585272148646,1,0,1,42.46734112831861,1.8133456800364876,0,0.6456299575123658,0,3.279830545200194,24.006717237068695,6.424061600584042,63.711637621659136,1,0.4474710880906784,2.476976920170185,0.07645506863273699,0.590733986246363,21.38568524577361,-1.8038369396046479,2,1,-0.41612865024501355,15.586074571162488,36.674470567211344,2,1,1,36.49594669891971,0.7179628147288816,30.811988888840354,2,32.53467748180025,1,3.7315380421366915,0,1.16878280542476,30.889319826319188,1.155147481935127,53.50279070805168,0,1,77.0701938387874,46.52093833957289,41.094350228139824,1.4120690670007363,0.6502493439276078,3.1924817402781493
0,2,0.04620931939251063,-0.6625948466355129,10.16796884301562,33.84166615282106,0.5086080084133167,46.1114175284827,0,0.38957538465092056,0,57.562234736442555,12.375220838765095,0,1,1,65.3954996222752,1.9335404565519845,1,7.050147376037522,0,1.6035669258338838,31.49688622208049,2.4006801031550884,64.72175944145202,1,0.7217817650030877,3.6153289244935887,30.620406109645568,0.5444310030769943,47.11567895019411,-1.2450217093612626,1,0,0.445142876327187,19.022867962195583,14.778888820045545,2,0,1,27.39903564782101,0.9976496593642168,34.97278172084732,1,56.1342714949228,0,2.0660944309011877,0,-9.575000537551727,33.99691788755682,-0.2640788061343055,30.978327436514576,1,0,27.320638086529314,22.42090540331408,51.67231851308095,4.750458107266475,0.3279588610452464,2.969106869453948
0,0,-0.015850934776420036,-0.6623766492939837,28.154186391256317,21.806981321513657,0.34773341314013406,58.79901949276515,0,0.4693589606744183,0,51.516393118171614,11.336706798453903,0,1,0,43.65445505103373,-4.430527379074238,0,2.9472771627330054,1,10.911631915414302,60.584497146870675,2.2832678611536426,47.05503797024625,0,0.4882093735219761,3.414307211747415,15.933652515135142,0.9188774875533237,37.04060414332241,0.8481503945457377,0,0,-0.20823631707473042,25.026105920118336,9.62441871297499,1,0,0,17.425479137570736,0.5541773593544318,42.87545659379944,2,56.398080829595614,0,2.3856397898033532,1,2.6553014727367454,28.736450977911986,0.176256845766051,61.309705439064885,0,1,29.206000190088428,20.903250246619393,32.30222895394911,9.99762550566096,0.492346634344558,2.059271283758544
1,2,-2.43371884352799,0.9438701716905264,36.17710717595758,12.632164199040707,0.24640072997647972,37.301276359143344,1,0.9941457347012228,1,0.4130867527267601,10.780274667697123,4,0,1,28.1191643267416,8.405715684037393,0,-4.735367163428116,1,4.0261564904190745,45.086017841062656,17.156682706802407,43.11725038085498,0,0.9281729351941065,0.37561960685539253,33.24600784306507,0.00010961697101552481,92.60505156714565,0.4667303626454294,2,0,2.1463933767145105,28.39206303860746,38.97784619251412,1,1,1,88.42399507510804,0.3336272087612493,52.11052613429742,1,18.009407150788526,1,17.751885346351198,0,-6.2558675433761035,8.314695718994273,-0.7410058117889475,69.19271873590252,1,0,99.97047673037535,79.99011986365593,52.36532638915336,6.433361881672475,-1.4167560715561969,2.5244073325218346
1,1,0.4548886668598198,-0.4906396689897937,32.25821061181474,19.62878441626581,0.21523569768191864,48.19847571643153,1,0.9153797434393043,1,7.703050300881037,11.456625526218428,3,0,1,22.33435294950607,1.2320154749198267,0,-4.618434390971271,0,2.127391001658307,40.27842176308076,10.827472275182203,20.93190922633251,1,0.2052492921071557,1.2477801638147599,32.93832416985386,0.35367736224420765,59.595891607467486,-0.819745985238342,2,0,0.575171971976422,39.99988048950476,37.399413466438475,0,0,1,23.868691486054605,0.08389855412032804,44.178323790858926,1,20.147494934547723,1,7.150598578664986,0,-5.568714675377011,25.034306125160427,-0.5512439975712878,45.087962400556634,0,1,96.2734587074234,74.46858747413285,74.96877310292629,4.94221674815331,1.5465425294325976,1.9844198272991218
1,1,0.045143588468808823,-0.6773514654407933,7.348348530424236,20.71395151704973,0.20849485044452387,49.46234463609622,1,0.9579661946164038,1,3.474570622937706,11.592704147275237,3,0,0,20.568769427148197,2.070708067206727,0,-4.8788675600361175,1,6.86039489587803,55.355816257447515,11.675137072969072,44.411167198672715,1,0.5978008769437472,1.7393239850532574,30.78337141837311,0.5048352813882494,0.7084151562444019,0.0512284690935082,2,2,-0.2882010568247851,21.81071580787851,39.20036655703193,1,1,1,21.267374189777644,0.34830293087683883,49.01819717343861,1,19.034842486219556,0,9.016958247290578,0,-8.68308912144662,29.64406655194749,-0.19482435639540113,68.18586796889952,1,1,98.00492031082955,78.14087263092534,67.19793580471249,-1.6154242307493956,0.5863807988957849,2.776016924040184
0,0,0.038917577623228394,0.37175479515869947,27.913393865893937,79.87968132019138,0.7855706063875469,15.684886719847388,0,0.17683382247876317,0,82.03915033149528,32.23064043364808,1,1,2,35.40992203888946,0.3178972499037016,2,-2.512481799077502,0,2.122935591293334,69.26664495809383,3.3117406389783173,60.18333860994616,1,0.382003453126903,3.646188770542938,33.07433476213194,0.5132618153449939,94.57187983636217,-0.6659025401125016,0,0,-1.3171705500559685,26.592023583753743,27.39332344532787,2,1,1,59.45168188556313,0.09247233040800168,50.93978452280638,2,55.39473891067848,1,1.4532856474803442,1,9.471867681624932,13.161319559309186,0.4624832423581613,30.291193586233664,1,0,31.90443426863817,21.212257058263546,15.749849344412175,-6.274580707793849,-0.5402564238133801,3.097523501751082
0,1,0.4985800946904764,0.1232393797451662,44.53012934015912,77.9771766362688,0.9700678141044125,2.493219101145794,0,0.12410975896974813,0,79.68933516206093,19.264864726739084,1,1,2,79.98437309609862,9.980558493705725,2,9.99133766355795,1,0.34190167776265495,55.10172695282474,1.7764632965122904,37.36860548445485,1,0.6211268989898449,3.900924678941696,37.906627979048785,0.9964671086165682,51.951771380991055,-0.5024723686450595,0,0,-0.15407737897780205,22.725360857560354,9.69255905170771,0,1,1,49.42459050042433,0.0022075797960859345,45.663011006683014,0,57.04692741022417,1,0.8712963376066865,1,-2.1108998595473283,17.679936374179434,-0.018129273527597363,20.718792825280644,0,0,23.364797582562215,20.703704302274307,48.99699685457236,-3.1386430734131014,0.1565408347061027,0.9210396446226263
1,1,0.006757874193918254,-0.5800327624104659,20.881573044162522,38.281375007543375,0.1990154747379148,51.89561478956158,1,0.9473862773953909,1,5.319200425569659,11.048517295045073,3,0,0,23.16359774091923,1.8772604135959234,0,-4.757688782644973,0,1.87156269029882,50.428284058738,7.282901562841433,18.647022139667165,0,0.48041738428848846,3.5806751995984127,36.82205140388132,0.4555445740279694,32.46720028277143,-0.8190205086832446,2,1,-0.17475352032747882,33.40631084602803,37.92288781121787,0,1,0,41.235232415966586,0.7467813413826084,47.22959689269823,0,19.555708837028675,0,8.586168401499958,1,7.068991851517804,32.6751150630606,0.31740268330477983,60.48562721547166,0,0,97.15107299191821,77.6461272813439,67.1738003700531,8.348960781989994,0.40027185227776735,5.35279031799728
0,1,-0.13401525225630892,-0.0968683134157239,47.66694140901741,95.95152397613992,0.9598156585735175,4.344366225802352,0,0.12035690645335784,0,84.11775214737135,29.1415784155829,1,1,2,76.40700115363116,9.09996576227639,2,8.503957500331815,1,1.914596933450123,61.36576379453383,1.7300284579074912,63.32363927604629,0,0.2867750316637998,2.7797717701387463,32.3432692557253,0.3613143982812924,21.908941756216706,-0.9982636964312765,0,0,-0.398937400836617,33.078908975203795,13.340264401793952,0,1,1,45.6527142180122,0.07842968239795373,28.23560007048136,0,55.97748825904515,0,0.9894641532636625,1,-4.704504040168434,22.29494977142771,-0.15487679869039958,25.95853006895078,1,1,29.771689819307024,20.91072242256375,26.449136613510255,8.198022223435082,0.1754456653318755,1.6800654576238372
