S0,S1,S2,Y,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39
1,0,1.085880590852163,0,0,35.62808047116532,5.555877896266256,29.51945242511946,5.511726964288268,0.9189781665379135,3,70.97279108980612,10.274851730988441,83.56626011793573,7.93245398952071,0,0,90.76551258638088,0,7.202918510936964,-0.5137490838876959,62.289415921675385,0.22312655229912282,1,0.4120879536725824,1,63.9982818606451,2,0.4385486361821094,0.8772962373488844,29.75464816650327,25.466151619433305,9.331348036459872,70.88203329687136,66.24228829652644,-0.6064912470393621,0,39.27670816623764,-1.0241218257902662,0.06219041608932019,1,49.76688639661377,55.35003870922135,-0.03911079857900582,65.9100282653994,1.2563672637481242,1,1.7975723872514409,0,41.43306387071671,2.1358771214138095,86.83572388271897,1,2,2,6.796645746456605,0,1,-8.380275715832159,-4.597910493117922
0,0,-0.2966744738766068,0,0,25.051819950020064,3.345085697184029,39.277319907150535,3.5105511142738943,0.6488936628220061,2,43.44942073234495,10.674663795555656,51.621508228344815,-0.3711919117575331,0,0,59.005051021575674,0,-0.5281965545307017,-0.8535535614963085,34.42978469624167,0.2276989437531463,1,0.6705332066862968,0,49.46214601073494,1,0.3243283944736244,-0.03331704293934742,32.27056870255521,7.202975442247719,11.562299816393688,50.764524311926984,45.0103797892655,-0.6679229372144356,1,32.8297848691013,1.357291944363116,0.6944423532233799,1,97.86686311381052,32.69810971563246,0.04058445877404549,20.098381787588025,2.32021383418109,0,1.6097977290846979,1,53.49861126005745,1.5077973083695255,63.0378483772302,0,2,1,2.940079203574604,1,0,-1.7771484949139769,-6.132876740709538
0,0,-0.11573897292678355,0,1,31.014538810367902,5.039052485328748,26.680855341600335,5.361259558969183,0.669331719526229,3,62.93146338212282,10.415495370218482,82.32371868807911,5.525980270493871,0,0,72.80453125437728,0,6.0945871518275325,0.25620866609100007,37.03907482727099,0.24165584203634305,0,0.589075152055843,1,59.62883325947493,2,0.4891935785408848,1.0289428873192252,6.83897460423027,26.33605440857827,10.71677851967993,64.7899875061415,49.28304723229207,-0.6772752390481412,1,27.273931078482573,-0.3313972892950725,0.5558626203623781,1,72.00966147192514,15.611155654652237,0.8234370545830172,18.21688750540405,1.221041298750637,1,1.7164057944146236,2,59.976715652504346,-1.6487601572805346,81.72816466216635,0,2,2,5.232528450154478,2,1,-5.530487278643208,-0.4625444064666553
0,2,1.0723606073080727,1,1,15.482655809698409,2.2264635970887285,46.69110662290029,2.054604478298494,0.2477984628964633,1,20.269593724166903,19.26512826073397,24.586492835429414,-5.094672847232825,1,1,45.038751138945486,1,-5.0960808248725495,-0.4828134128304047,30.106959105179612,0.2460229634802183,1,0.12383957828081577,1,46.48624799127814,0,0.38622966616717624,-0.5237700336575304,34.382926398800464,24.60844123669137,26.873229634445526,37.08478037555035,51.35796438247843,-0.27817454815189574,0,62.86340275808173,0.4687327863596994,0.14208401195101866,0,5.197810823892867,23.29440774253385,-0.7684149016223386,72.39084182612386,3.180662163732026,1,1.789978691752918,0,11.509843706977696,-0.41500804973513006,40.683221576366776,0,1,1,1.4157362900746364,1,1,-0.9669148076622989,-5.2080517480261275
0,0,-0.08268506056867635,0,0,28.290254008529626,3.787370847068529,33.4373436305751,4.12006942091552,0.6596194173030511,2,50.91127614558523,10.836570563191012,62.85429795840835,2.479370308228596,0,0,68.80496709792511,0,2.315807336143699,1.8945824297290275,22.462817447127573,0.376151638765903,0,0.6053988166474726,1,58.01075110821787,1,0.36498023037793625,0.6695866252060053,16.855505266086432,3.1701338109478883,9.794620135038745,60.029048150480044,49.49402582827149,-0.6691171690016703,0,40.81700385936762,0.39888755402182363,0.31450006716131285,1,14.540563925101225,16.772887710297887,-0.2455520491809854,29.701052643451614,1.510824087496552,0,1.7726373166998595,1,59.67742292171269,2.814278090530536,72.11431333232832,0,2,1,2.8915785108061414,3,0,-5.534219143604137,-1.2167660689434996
1,2,2.1935048998008853,0,0,22.978633048573673,2.107746935440557,54.01105412039019,2.1403404413204736,0.7299266982043472,1,19.19545967505836,11.006408162754987,24.245229200546998,-5.428348554563039,0,1,66.7031440985528,1,-5.043578919114319,-0.8295889264795436,55.337155523494374,0.33729349374655326,1,0.23820199925815605,1,55.849976274821444,1,0.02352974018450632,-0.5473986592346125,29.60263203875586,15.196779110229846,10.44029758064465,47.10460490389217,58.47482399889152,-0.6446054109411782,0,60.286260068209856,-0.30980603480204844,0.011810898711367757,1,64.1192888881251,63.302791699245404,-0.6022221241248362,79.24285328559475,2.7050495357802102,1,1.5409391165466988,0,21.302752465805863,0.09928798714655862,55.89859187453371,0,1,1,2.3560170645183542,0,1,-3.800974566138926,0.10771614131604501
1,1,2.8274153594147067,0,0,36.81594302772634,4.442257532959178,39.851124504564794,4.250652185291171,0.990201258514827,2,69.97011452624196,10.18380239628323,63.28287928183657,7.835834664919098,0,1,96.24697978237053,0,5.405763564590991,-1.4412155971026541,69.95984204762411,0.42654939277151965,0,0.2748943215236176,1,67.45694560601267,2,1.8787533034858583e-07,0.4847075201138809,39.98843719590078,5.177492087377384,8.479797831597855,70.4544707628802,36.16443897822478,-0.563287112731999,1,55.45821383040061,-0.5949619132544813,0.0015710879191797034,1,23.26006365640233,79.61684245460924,-0.4067051967057534,78.40445801283721,1.305424230344049,0,1.6136705340571227,0,25.143229027391783,-8.364622471851115,86.39529733152727,0,0,1,3.189651801095437,0,1,-9.041104346544326,-6.967188261240224
1,1,-1.3902467410374089,1,1,4.769889137892129,1.3332647822499772,60.703599361942345,1.340932481220486,0.1556478491205665,0,19.22796590697997,35.34848921600778,24.53618742650071,-5.247734983665025,2,1,9.748549468796586,2,-5.019889766482601,-1.2889050298335256,47.00985535630932,0.9435801116967772,0,0.47263309105750445,0,21.828965184755393,0,0.7004513865860196,-0.658961521355274,35.26124419029219,21.172888639836323,32.89990183639535,8.73861554858804,51.06871667519333,1.6562070827084108,1,42.52376880391012,0.037127622201266815,0.9063499427927871,0,36.203950024222486,58.629062405349615,-0.7776090663387867,20.337527950814863,6.051033415367064,0,8.85936378478289,0,52.223142173068915,-6.55530882207561,11.392699694357178,1,1,0,1.301080828975909,0,1,8.392648046585329,9.979501693167858
1,0,-1.2452249191071854,1,0,20.95535246950389,3.0802786447963713,43.75615731384143,3.002569646761455,0.6690982826906632,1,24.919860416512563,10.160593842934212,37.440351346968995,-3.583041655027399,0,0,45.429032152221026,0,-3.3675586542160874,-1.0800217671080314,61.24494019262744,0.7044344830787349,0,0.5448414049311041,0,35.474708994432625,0,0.755356368066948,-0.6523231938799272,39.45914901562845,28.84357083568828,15.515338037290094,31.334664044367983,42.8579834847149,-0.6456816554552027,1,35.60473461899434,-1.2849335270064,0.8235920768997612,0,60.587189777882536,62.558371556579644,-0.22001474624896936,23.88702901903454,2.743789515792816,0,2.420637818882036,0,52.83993469252536,2.691033231678599,37.54462787189936,1,1,0,5.385695222859897,0,0,3.023027117327077,6.401903596153659
0,1,-0.8224370230580045,1,1,11.940219968664977,1.8158920128586975,52.16545094676015,2.0016158343294923,0.2673728887752547,0,19.11283049591754,25.016760542456346,24.45819637086915,-5.112295575521685,1,1,25.602473682851034,1,-5.065028990582338,1.725993792272873,29.49902972751786,0.20611639525403147,1,0.43290970132291995,0,36.25928191655784,0,0.7694067506659001,-0.6816070447977312,13.458398743662736,28.758831220430608,22.121902370891902,29.975995431372322,34.90197496614883,0.20931127009418754,1,47.641118051892775,-0.3603625315452401,0.7048859604773867,0,78.5764321398195,15.059590660671741,-0.9278699805351647,69.3931778695969,3.737786783070216,0,2.6852866193674494,2,34.219914616789396,-5.200769015559957,36.90661795811719,1,1,0,3.210804722375176,1,0,2.195137234618464,8.279179690329354
