S0,S1,S2,X3,X4,X5,X6,X7,X8,X9,X10,Y,X12,X13,X14,X15,X16,X17,X18,X19,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39
1,1,0.5563490285279009,-4.399453545463139,1,1.4978653464512144,0,-0.5286499754591598,53.286107488394535,19.133826375702434,-4.704336845677942,0,31.02722126427917,-5.439496305064907,0,0,1,-3.0630689231203974,57.40765568082659,2.389081063353686,13.7440864428235,-1.4074345482290418,1,2.4104733219757155,29.855310548065482,0.6176269142635542,1,21.042330852726636,11.135371822379554,-1.4308763583318116,1,-4.748168853720918,0,0.5388751832791805,0,0,0.1711178440946463,-0.7003925021112041,10.136857253672641,0,27.10630455292201,0,19.938352646662345,0,0,0.5314219436293376,35.17782255695782,24.727329974439012,0,65.9331057743876,53.48215895384374,-0.5917754041762135,30.814106905146502,19.325159177495486,0,14.266428002200824,39.213788187173705,2.3503284045885224,4.349815021154117,0.5435134355154243
1,1,0.9651563467286775,-9.4466377607084,0,2.334211261181358,0,1.0889841815144214,67.9267901218325,28.75641867124713,-3.4686318669084333,0,68.33399058381147,-5.616228224312696,1,0,1,-6.013441174196933,58.558415829067016,1.9855376107593514,11.19003158271003,-0.6992261359396187,0,2.080802363982323,29.997492800840263,0.6809563050267007,1,21.984351721149274,16.855809578482717,-1.016934317851253,0,2.7079847472046215,0,0.09306997534176487,0,0,0.17294641853281784,-0.2624067444616123,3.4944874551695415,0,14.82516557405848,0,14.65074302223619,0,1,0.9374653608623056,58.841175366079796,31.631301341239148,1,39.784111325527284,45.945731152982724,0.5149645118272882,19.133639965519937,84.91473422291591,0,19.79619062931711,28.41810302485011,2.929261873009963,2.1447005104170067,0.7307550608511386
0,0,0.08965320759153497,3.9630461876984135,0,2.5312780956451912,0,-0.5442388652635802,31.654363487757742,71.33387599421866,-0.4825973157315442,0,23.665045147244534,-2.315663952350472,0,1,1,0.7421669161902216,47.04968679936873,2.9674610386031217,22.402434633251094,-0.17610309321478046,1,2.7564933611871236,38.38029371822128,0.8769189582877286,0,64.9319736740004,27.051488375068867,-0.13221957804290604,0,-0.4569417966462783,0,0.42110858885479274,0,1,0.2571740379769162,-0.29619743409339794,25.708719509700735,0,5.539914581991638,1,18.393474952014483,1,2,0.20909598789910283,20.02443557343384,28.087921546915425,2,74.28678506451062,31.997235216738517,-1.5239762227733118,27.65412506933028,90.27422254437751,0,56.369684402530524,13.495550325213923,3.7606805172409414,1.8307151386322678,0.46034190272713016
1,1,-0.13392844869749557,-0.6940232900943872,1,1.6066710216940254,0,-0.68283821738154,36.25248123790105,37.45567881054303,-3.6378859352712665,0,26.967293767074153,-5.362839709792193,0,1,1,-1.8524621491593773,54.30453845443303,2.2711178979142717,18.05243458348904,-0.9896734212436931,1,2.46013189955231,30.08158696280234,0.41903171567218667,0,39.84730329671059,20.133287459703663,-0.8024238978068698,1,-4.676841891553996,0,0.6712795146668662,0,1,0.16799258464925831,-0.7034532721356787,17.220505541446048,0,11.47817314630968,0,37.4852230659679,0,1,0.6564911093793645,41.717251008734664,27.31059404385018,0,70.4164880165029,53.75226595171089,0.9803298057462477,17.05792687653932,18.02599494159784,0,31.03516554750152,52.33688221856135,3.1816887279524866,4.4873884896070715,0.5041553552192097
0,1,-1.3780330646505696,0.10138194437398163,0,1.6376741038644669,0,-0.23840270337577538,28.115242938341215,24.59295594326277,-3.827752599254584,1,40.61947757275423,-5.439455625839781,0,0,1,-1.9274903051149508,54.21464264749291,1.744110888165393,48.26693969503133,0.15286735051746939,0,2.4464362777156516,29.946303645777384,0.5533981867871964,1,34.53520470465858,15.164144012812402,-0.19263117285521963,1,-7.999807378256728,1,0.575346395215486,1,2,0.2942110576657916,-0.5314308700282231,29.525447391939935,1,8.577814586535554,1,21.239740607664274,1,1,0.315551987769336,37.89148233813631,42.01660157896463,2,43.16956147508883,47.23892897840727,-0.21053869020608482,27.76664417461056,75.8335069707783,0,24.091247682652547,42.653611931175845,2.127793233073836,1.167328631809163,0.8254371510023708
1,0,-0.726807148915475,-1.4627966914062025,0,1.4066518793249772,0,0.501415293705746,40.659023051387,34.687044158845204,-6.258549908285277,1,70.8191921253346,-5.469828928924603,1,0,1,-5.546521754830417,65.36326911291411,1.2870651843719763,54.28485750399703,-0.5384201856107623,0,2.467771774845428,29.556573434305463,0.60256852763935,0,30.82042467436087,20.00589981844914,0.46010320380930464,2,-6.397065484731438,1,0.7413076034432546,0,0,0.23061761288172972,-0.8025208819943114,11.717389641215883,1,23.104212716936097,1,15.460244816083119,1,2,0.624644005607088,13.641473552910451,49.632145943263,2,22.911188746062823,46.04928825728258,0.5371048698605545,21.413669952976925,40.416349371735166,0,34.247732803687825,35.595845312636825,3.198561148161489,1.3721521116267446,0.4690129212650512
0,1,0.7523010355783495,3.163840263761003,2,4.743197727848114,1,-0.5392186339194006,32.133080022731264,96.21395437819629,5.823522924180411,0,25.35212996706032,5.472779958175376,0,1,0,6.071499051402526,12.312946516949935,5.916574169419523,20.88088890834687,-0.35084912530125856,1,2.5046142358883947,55.65819340075545,0.3539683038747188,0,88.26153022775607,16.15946955875706,0.1702144616692436,0,5.963864122917325,0,0.1467627293478167,0,0,0.6884110559801402,1.1315690667237286,28.052402446728507,1,0.4710472234051988,0,19.853834013055163,0,0,0.2723696191086725,3.3822869695875823,33.05678340499461,0,80.7864687788036,35.59072282997993,-1.7559031603489106,22.553538439577167,14.999638090164963,1,75.49560595820894,39.91511625077963,1.3926503954814842,3.9848278402393356,0.6365600003571464
0,2,0.6982303227346568,2.56262251758538,2,5.833087828861067,1,-0.5819080397615931,31.65724774486352,40.133718278736985,5.259466084832541,0,25.685610475857466,5.152706001994227,0,1,0,3.6837984260860814,14.883709878332674,5.288057781767883,24.360019654517323,-0.673590336683576,1,2.7867497990126036,55.02897735602195,0.3183276260955459,0,42.21637936472587,6.302125666341658,-0.6150855994694796,0,5.564964256749702,0,0.9030543126585531,0,0,0.7094469670008989,0.7992759416533265,16.878530938137626,0,30.15929127280124,1,18.56857391385381,1,0,0.39247390141380867,30.595310135759828,41.630731485251005,0,68.68075077087151,43.879986245682446,0.4808161601588966,21.689358999242675,30.797626259069126,1,33.11410033719491,40.13525154735849,1.6573050505726439,3.1243075420401554,0.6988888340463473
0,0,-0.3913371500186325,2.256864496212728,0,3.0787734133330797,1,-0.6797431639528337,32.865502118218465,86.21396045355137,3.379646093279561,0,32.10260880367347,2.458638455491755,1,0,0,2.298122360585083,32.60269182618134,3.4522527998281216,23.374304006061184,-0.5823647535967224,0,3.690880579005767,49.13426741851393,0.381355478365235,1,27.402881042078352,39.6404535294952,0.5455416349179687,1,-0.7466980686553306,0,0.6511886036400156,1,0,0.6108096695555821,0.01894577800896814,23.22674349801951,0,16.63789873276794,1,20.50198292479684,1,0,0.37001293761468834,16.282034350322235,34.21709496603519,1,76.16486787482151,52.84928268691028,0.8944184180650536,15.711036273072935,94.9428672089541,0,67.43698256359511,39.8322916269787,9.911314682571382,1.8616663834038196,0.999780690901281
0,1,0.3590474623649746,3.417526360989413,1,1.7146181956879343,0,-0.4537403469044063,30.96414421918694,46.18469022452468,-2.6799014799627763,0,30.172854066228304,-5.179857238362432,0,1,1,-1.49391389958787,51.39103047538897,2.081126250804698,22.251422579492505,-0.7611077998566652,1,2.8644664711548127,28.68781269188605,0.5241254117246004,0,16.95704961582508,13.973241567779016,-0.5318712390585538,0,-2.219177612642957,0,0.5697097436154694,1,1,0.18304676646216406,-0.46106377576128926,18.80534060514895,0,8.034914223528403,2,21.080829632607117,0,2,0.6529284761680075,72.38566924668609,27.125231065557713,0,59.61944434938281,45.07069075036358,1.0499381377002066,20.063039028348104,52.08902763041499,0,39.11836245314971,34.27485799057916,2.8118193447129736,5.308214778953351,0.536103209526043
