model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1000_BIASED_ALL.csv,9000,4,1741,7259,0.3631,0.0334,0.5877,0.0125,0.3756
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1000_FAIR_ALL.csv,9000,4,7445,1555,0.0047,1.0047,0.003,1.0,0.9953
CFFair,HR_N10000_HighBias_Thresh1.0_Seed100_BIASED_ALL.csv,9000,4,1837,7163,0.395,0.0589,0.6019,0.0247,0.4197
CFFair,HR_N10000_HighBias_Thresh1.0_Seed100_FAIR_ALL.csv,9000,4,7318,1682,0.004,1.004,0.0034,1.0,0.996
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1100_BIASED_ALL.csv,9000,4,7299,1701,0.3807,24.546,0.5298,0.3968,0.0162
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1100_FAIR_ALL.csv,9000,4,7533,1467,0.0092,1.0092,0.007,1.0,0.9908
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1200_BIASED_ALL.csv,9000,4,1779,7221,0.3147,0.0365,0.4936,0.0119,0.3266
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1200_FAIR_ALL.csv,9000,4,1692,7308,0.009,0.991,0.0053,0.991,1.0
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1300_BIASED_ALL.csv,9000,4,1786,7214,0.2629,0.0135,0.5401,0.0036,0.2665
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1300_FAIR_ALL.csv,9000,4,7334,1666,0.0079,1.008,0.0045,0.9988,0.9909
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1400_BIASED_ALL.csv,9000,4,1773,7227,0.3309,0.0413,0.5575,0.0143,0.3452
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1400_FAIR_ALL.csv,9000,4,7384,1616,0.0032,1.0032,0.0027,0.9994,0.9962
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1500_BIASED_ALL.csv,9000,4,7322,1678,0.337,30.0313,0.5462,0.3486,0.0116
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1500_FAIR_ALL.csv,9000,4,7435,1565,0.0003,1.0003,0.0003,1.0,0.9997
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1600_BIASED_ALL.csv,9000,4,7204,1796,0.3053,47.7923,0.5246,0.3118,0.0065
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1600_FAIR_ALL.csv,9000,4,7417,1583,0.0079,1.008,0.0054,0.9987,0.9908
