model_name,name_dataset,bias_level,threshold,data_type,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1000_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.9437,0.9338,0.7087,0.5821,0.6392,0.0062,0.9276999831199646,0.2398,0.0797,0.0859
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1000_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.8637,0.9102,0.6025,0.3208,0.4187,0.0033,0.9391999840736388,0.4885,0.0513,0.0546
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1000_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7111,0.9129,0.9148,0.9976,0.9544,0.0011,1.001099944114685,0.0015,0.9967,0.9956
CFFair,HR_N10000_HighBias_Thresh1.0_Seed100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.9369,0.9222,0.6002,0.6393,0.6192,0.0001,0.9991000294685364,0.1726,0.1053,0.1054
CFFair,HR_N10000_HighBias_Thresh1.0_Seed100_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.8739,0.9117,0.6435,0.2393,0.3489,0.0015,1.0413999557495115,0.3999,0.0378,0.0363
CFFair,HR_N10000_HighBias_Thresh1.0_Seed100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7193,0.9129,0.9151,0.9973,0.9544,0.0016,0.9983999729156494,0.0025,0.996,0.9976
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.9374,0.9269,0.6885,0.5705,0.624,0.0001,1.000599980354309,0.2736,0.0881,0.0881
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1100_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.8737,0.904,0.5812,0.348,0.4353,0.0005,0.992900013923645,0.4305,0.0634,0.0638
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7072,0.9181,0.9229,0.9942,0.9572,0.0013,0.9987000226974488,0.0001,0.9917,0.993
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1200_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.9419,0.9347,0.7151,0.5451,0.6187,0.0008,1.011299967765808,0.27,0.0745,0.0737
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1200_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.8927,0.9166,0.5864,0.4811,0.5286,0.0213,1.2908999919891355,0.3913,0.0947,0.0734
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1200_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7501,0.9187,0.922,0.9958,0.9575,0.0013,1.0012999773025513,0.0011,0.9933,0.992
