model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_0_8_nodes_full_data.csv,9000,5,4323,4677,0.3153,2.3924,0.0054,0.5418,0.2265
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_1_8_nodes_full_data.csv,9000,5,4794,4206,0.5332,0.2834,0.4538,0.2109,0.7441
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_2_8_nodes_full_data.csv,9000,5,2304,6696,0.6227,40.8507,0.8938,0.6383,0.0156
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_3_8_nodes_full_data.csv,9000,5,4917,4083,0.6695,0.166,0.083,0.1332,0.8027
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_4_8_nodes_full_data.csv,9000,5,4503,4497,0.6303,0.1647,0.4914,0.1243,0.7546
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_5_8_nodes_full_data.csv,9000,5,5922,3078,0.6892,0.0569,0.0236,0.0416,0.7308
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_6_8_nodes_full_data.csv,9000,5,4524,4476,0.3227,1.9431,0.3658,0.6649,0.3422
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_7_8_nodes_full_data.csv,9000,5,4645,4355,0.5609,3.7308,0.1749,0.7662,0.2054
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_8_8_nodes_full_data.csv,9000,5,4675,4325,0.519,2.67,0.2532,0.8298,0.3108
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_9_8_nodes_full_data.csv,9000,5,2860,6140,0.071,1.1702,0.0765,0.4881,0.4171
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_0_8_nodes_full_data.csv,9000,10,4289,4711,0.1874,0.6485,0.0924,0.3458,0.5332
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_1_8_nodes_full_data.csv,9000,10,5735,3265,0.5913,0.1215,0.0071,0.0818,0.6731
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_2_8_nodes_full_data.csv,9000,10,3946,5054,0.511,3.7966,0.1495,0.6937,0.1827
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_3_8_nodes_full_data.csv,9000,10,3367,5633,0.6608,0.2647,0.2682,0.2379,0.8987
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_4_8_nodes_full_data.csv,9000,10,4332,4668,0.832,0.1032,0.1635,0.0958,0.9277
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_5_8_nodes_full_data.csv,9000,10,4403,4597,0.3961,0.4219,0.3092,0.2891,0.6852
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_6_8_nodes_full_data.csv,9000,10,3895,5105,0.2783,0.58,0.0178,0.3843,0.6626
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_7_8_nodes_full_data.csv,9000,10,3657,5343,0.6971,0.2137,0.2235,0.1894,0.8865
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_8_8_nodes_full_data.csv,9000,10,3781,5219,0.5337,4.5589,0.5868,0.6837,0.15
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_9_8_nodes_full_data.csv,9000,10,5292,3708,0.5325,0.2584,0.0559,0.1855,0.7181
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_0_8_nodes_full_data.csv,9000,20,5203,3797,0.0116,0.9798,0.0388,0.5644,0.576
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_1_8_nodes_full_data.csv,9000,20,6449,2551,0.4593,2.5036,0.4057,0.7648,0.3055
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_2_8_nodes_full_data.csv,9000,20,3910,5090,0.1729,1.4777,0.2148,0.5348,0.3619
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_3_8_nodes_full_data.csv,9000,20,4130,4870,0.2103,0.6356,0.0482,0.3667,0.577
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_4_8_nodes_full_data.csv,9000,20,3244,5756,0.7802,0.2116,0.2072,0.2093,0.9895
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_5_8_nodes_full_data.csv,9000,20,6029,2971,0.697,0.0245,0.3165,0.0175,0.7145
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_6_8_nodes_full_data.csv,9000,20,3413,5587,0.2013,0.6975,0.0061,0.4641,0.6654
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_7_8_nodes_full_data.csv,9000,20,2765,6235,0.7388,0.2583,0.2355,0.2573,0.996
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_8_8_nodes_full_data.csv,9000,20,2816,6184,0.2953,2.2637,0.2644,0.5289,0.2337
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_9_8_nodes_full_data.csv,9000,20,6139,2861,0.7622,4.6075,0.3771,0.9734,0.2113
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_0_18_nodes_full_data.csv,19000,10,10802,8198,0.7421,5.9946,0.3522,0.8907,0.1486
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_1_18_nodes_full_data.csv,19000,10,6824,12176,0.7432,0.2257,0.2857,0.2167,0.9598
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_2_18_nodes_full_data.csv,19000,10,8846,10154,0.7746,0.1587,0.1321,0.1461,0.9208
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_3_18_nodes_full_data.csv,19000,10,10072,8928,0.6503,4.5598,0.0715,0.833,0.1827
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_4_18_nodes_full_data.csv,19000,10,11543,7457,0.0979,0.8068,0.049,0.4089,0.5068
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_5_18_nodes_full_data.csv,19000,10,5765,13235,0.663,0.2818,0.4148,0.2601,0.9232
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_6_18_nodes_full_data.csv,19000,10,13000,6000,0.7012,0.012,0.2671,0.0085,0.7097
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_7_18_nodes_full_data.csv,19000,10,10116,8884,0.8329,7.9119,0.2948,0.9534,0.1205
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_8_18_nodes_full_data.csv,19000,10,10300,8700,0.7842,6.9919,0.2099,0.9151,0.1309
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_9_18_nodes_full_data.csv,19000,10,9090,9910,0.7997,0.1304,0.2915,0.1199,0.9196
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_0_18_nodes_full_data.csv,19000,20,11494,7506,0.5504,0.2686,0.1436,0.2021,0.7525
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_1_18_nodes_full_data.csv,19000,20,12218,6782,0.6973,4.1323,0.3742,0.9199,0.2226
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_2_18_nodes_full_data.csv,19000,20,12758,6242,0.6582,3.3102,0.3458,0.9431,0.2849
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_3_18_nodes_full_data.csv,19000,20,11681,7319,0.7493,4.6851,0.3076,0.9526,0.2033
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_4_18_nodes_full_data.csv,19000,20,7471,11529,0.7932,0.198,0.1763,0.1959,0.989
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_5_18_nodes_full_data.csv,19000,20,7752,11248,0.7129,0.2097,0.13,0.1892,0.9021
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_6_18_nodes_full_data.csv,19000,20,9300,9700,0.7307,6.9823,0.2865,0.8529,0.1222
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_7_18_nodes_full_data.csv,19000,20,10236,8764,0.7607,0.1,0.258,0.0846,0.8453
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_8_18_nodes_full_data.csv,19000,20,8958,10042,0.8076,13.4948,0.2889,0.8722,0.0646
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_9_18_nodes_full_data.csv,19000,20,14608,4392,0.6823,3.2033,0.3276,0.992,0.3097
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_0_18_nodes_full_data.csv,19000,40,13079,5921,0.6882,3.5806,0.4795,0.9549,0.2667
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_1_18_nodes_full_data.csv,19000,40,8186,10814,0.0898,0.8668,0.0764,0.5846,0.6744
