model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_0_8_nodes_full_data.csv,3,6,0,10000,0.9211,0.8358,0.8545,0.8093,0.8313,0.0326,0.9334,0.0171,0.4573,0.4899
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_1_8_nodes_full_data.csv,3,6,0,10000,0.7304,0.684,0.7413,0.5653,0.6415,0.0702,1.2026,0.1019,0.4166,0.3464
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_2_8_nodes_full_data.csv,3,6,0,10000,0.9554,0.8937,0.8911,0.8969,0.894,0.0342,0.9343,0.0165,0.4861,0.5203
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_3_8_nodes_full_data.csv,3,6,0,10000,0.9115,0.831,0.8251,0.84,0.8325,0.0016,0.9969,0.1095,0.5082,0.5098
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_4_8_nodes_full_data.csv,3,6,0,10000,0.9574,0.8823,0.8872,0.876,0.8816,0.1929,1.4858,0.096,0.59,0.3971
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_5_8_nodes_full_data.csv,3,6,0,10000,0.9381,0.8849,0.878,0.894,0.8859,0.0342,1.0695,0.0532,0.5262,0.492
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_6_8_nodes_full_data.csv,3,6,0,10000,0.9043,0.8207,0.8752,0.748,0.8066,0.0717,0.8451,0.0038,0.3914,0.4632
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_7_8_nodes_full_data.csv,3,6,0,10000,0.9098,0.8111,0.8413,0.7669,0.8024,0.1208,1.3056,0.2864,0.5161,0.3953
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_8_8_nodes_full_data.csv,3,6,0,10000,0.7827,0.715,0.7195,0.7047,0.712,0.1292,0.7669,0.0325,0.4249,0.5541
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_9_8_nodes_full_data.csv,3,6,0,10000,0.8914,0.8008,0.806,0.7922,0.7991,0.0278,0.945,0.0522,0.4776,0.5053
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_0_8_nodes_full_data.csv,3,6,5,10000,0.7795,0.7097,0.7686,0.6,0.6739,0.6,7.6493,0.5585,0.6903,0.0902
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_1_8_nodes_full_data.csv,3,6,5,10000,0.8383,0.7638,0.7665,0.7587,0.7626,0.5648,3.6336,0.5316,0.7793,0.2145
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_2_8_nodes_full_data.csv,3,6,5,10000,0.9752,0.9149,0.9332,0.8938,0.9131,0.3897,2.3709,0.0935,0.674,0.2843
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_3_8_nodes_full_data.csv,3,6,5,10000,0.9753,0.9179,0.9187,0.9169,0.9178,0.6178,0.2368,0.0615,0.1917,0.8095
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_4_8_nodes_full_data.csv,3,6,5,10000,0.946,0.8854,0.9383,0.8251,0.8781,0.0037,1.0086,0.0084,0.4415,0.4378
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_5_8_nodes_full_data.csv,3,6,5,10000,0.9688,0.9044,0.9084,0.8996,0.904,0.5053,0.3248,0.051,0.2431,0.7484
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_6_8_nodes_full_data.csv,3,6,5,10000,0.6147,0.578,0.5776,0.5807,0.5791,0.068,1.1451,0.1101,0.5366,0.4686
