model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1000_BIASED_ALL.csv,9000,4,1741,7259,0.2118,0.0345,0.3934,0.0076,0.2194
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1000_FAIR_ALL.csv,9000,4,7445,1555,0.0064,1.0065,0.0042,1.0,0.9936
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed100_BIASED_ALL.csv,9000,4,1837,7163,0.154,0.0178,0.303,0.0028,0.1568
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed100_FAIR_ALL.csv,9000,4,7318,1682,0.0,1.0,0.0,1.0,1.0
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1100_BIASED_ALL.csv,9000,4,7299,1701,0.2966,22.4322,0.4455,0.3104,0.0138
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1100_FAIR_ALL.csv,9000,4,7533,1467,0.0,1.0,0.0,1.0,1.0
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1200_BIASED_ALL.csv,9000,4,1779,7221,0.3349,0.0875,0.3699,0.0321,0.3671
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1200_FAIR_ALL.csv,9000,4,1692,7308,0.0019,0.9981,0.0008,0.9981,1.0
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1300_BIASED_ALL.csv,9000,4,1786,7214,0.1068,0.0265,0.2086,0.0029,0.1097
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1300_FAIR_ALL.csv,9000,4,7334,1666,0.0015,1.0015,0.0012,1.0,0.9985
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1400_BIASED_ALL.csv,9000,4,1773,7227,0.2031,0.0213,0.3866,0.0044,0.2076
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1400_FAIR_ALL.csv,9000,4,7384,1616,0.0001,1.0001,0.0,1.0,0.9999
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1500_BIASED_ALL.csv,9000,4,7322,1678,0.3302,20.19,0.4645,0.3474,0.0172
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1500_FAIR_ALL.csv,9000,4,7435,1565,0.0,1.0,0.0,1.0,1.0
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1600_BIASED_ALL.csv,9000,4,7204,1796,0.3391,22.8133,0.5078,0.3547,0.0155
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1600_FAIR_ALL.csv,9000,4,7417,1583,0.0025,1.0025,0.0002,0.9949,0.9924
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1700_BIASED_ALL.csv,9000,4,7068,1932,0.3162,11.3478,0.3954,0.3468,0.0306
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1700_FAIR_ALL.csv,9000,4,7424,1576,0.0059,1.006,0.0036,1.0,0.9941
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1800_BIASED_ALL.csv,9000,4,7136,1864,0.3123,21.825,0.4903,0.3273,0.015
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1800_FAIR_ALL.csv,9000,4,1715,7285,0.0,1.0,0.0,1.0,1.0
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1900_BIASED_ALL.csv,9000,4,1748,7252,0.1415,0.0068,0.3073,0.001,0.1424
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1900_FAIR_ALL.csv,9000,4,1602,7398,0.0,1.0,0.0,1.0,1.0
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed2000_BIASED_ALL.csv,9000,4,1859,7141,0.2333,0.0593,0.3389,0.0147,0.248
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed2000_FAIR_ALL.csv,9000,4,7373,1627,0.0003,1.0003,0.0002,1.0,0.9997
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed200_BIASED_ALL.csv,9000,4,7288,1712,0.2546,26.4168,0.4445,0.2646,0.01
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed200_FAIR_ALL.csv,9000,4,1613,7387,0.0012,0.9988,0.0009,0.9988,1.0
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed300_BIASED_ALL.csv,9000,4,7280,1720,0.288,22.8382,0.4613,0.3012,0.0132
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed300_FAIR_ALL.csv,9000,4,7382,1618,0.0007,0.9993,0.0009,0.9988,0.9995
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed400_BIASED_ALL.csv,9000,4,7184,1816,0.4149,12.6901,0.4877,0.4504,0.0355
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed400_FAIR_ALL.csv,9000,4,7346,1654,0.0018,1.0018,0.0015,1.0,0.9982
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed500_BIASED_ALL.csv,9000,4,7085,1915,0.1314,12.7852,0.1627,0.1426,0.0112
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed500_FAIR_ALL.csv,9000,4,1530,7470,0.0,1.0,0.0,1.0,1.0
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed600_BIASED_ALL.csv,9000,4,1771,7229,0.248,0.0261,0.4815,0.0066,0.2547
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed600_FAIR_ALL.csv,9000,4,1685,7315,0.0,1.0,0.0,1.0,1.0
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed700_BIASED_ALL.csv,9000,4,7310,1690,0.2705,9.9878,0.3105,0.3006,0.0301
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed700_FAIR_ALL.csv,9000,4,1452,7548,0.0001,0.9999,0.0,0.9999,1.0
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed800_BIASED_ALL.csv,9000,4,1813,7187,0.3399,0.0476,0.5522,0.017,0.3569
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed800_FAIR_ALL.csv,9000,4,7425,1575,0.0024,1.0024,0.0012,1.0,0.9976
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed900_BIASED_ALL.csv,9000,4,1927,7073,0.2335,0.0155,0.4583,0.0037,0.2372
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed900_FAIR_ALL.csv,9000,4,1601,7399,0.0004,0.9996,0.0003,0.9996,1.0
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1000_BIASED_ALL.csv,9000,4,566,8434,0.1959,0.1198,0.1215,0.0267,0.2226
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1000_FAIR_ALL.csv,9000,4,559,8441,0.0024,0.9976,0.0017,0.9976,1.0
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed100_BIASED_ALL.csv,9000,4,8427,573,0.1698,18.0333,0.2597,0.1798,0.01
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed100_FAIR_ALL.csv,9000,4,8481,519,0.0037,1.0037,0.0025,0.9961,0.9925
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1100_BIASED_ALL.csv,9000,4,585,8415,0.1981,0.0501,0.3128,0.0105,0.2085
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1100_FAIR_ALL.csv,9000,4,550,8450,0.0001,0.9999,0.0,0.9999,1.0
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1200_BIASED_ALL.csv,9000,4,692,8308,0.208,0.0405,0.3723,0.0088,0.2168
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1200_FAIR_ALL.csv,9000,4,8379,621,0.0,1.0,0.0,1.0,1.0
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1300_BIASED_ALL.csv,9000,4,605,8395,0.2334,0.0711,0.3017,0.0179,0.2512
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1300_FAIR_ALL.csv,9000,4,548,8452,0.001,1.001,0.0012,0.9992,0.9982
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1400_BIASED_ALL.csv,9000,4,8349,651,0.1739,20.6238,0.2514,0.1828,0.0089
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1400_FAIR_ALL.csv,9000,4,8354,646,0.0,1.0,0.0,1.0,1.0
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1500_BIASED_ALL.csv,9000,4,8366,634,0.374,11.8258,0.426,0.4085,0.0345
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1500_FAIR_ALL.csv,9000,4,8386,614,0.0082,1.0083,0.0066,1.0,0.9918
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1600_BIASED_ALL.csv,9000,4,573,8427,0.2062,0.0472,0.285,0.0102,0.2164
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1600_FAIR_ALL.csv,9000,4,8428,572,0.0005,1.0005,0.0005,1.0,0.9995
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1700_BIASED_ALL.csv,9000,4,604,8396,0.2788,0.0996,0.246,0.0308,0.3096
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1700_FAIR_ALL.csv,9000,4,8439,561,0.0008,0.9992,0.0013,0.9982,0.9991
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1800_BIASED_ALL.csv,9000,4,5315,3685,0.0535,inf,0.2284,0.0535,0.0
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1800_FAIR_ALL.csv,9000,4,8470,530,0.0009,1.0009,0.0008,1.0,0.9991
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1900_BIASED_ALL.csv,9000,4,8399,601,0.3041,23.2107,0.4504,0.3178,0.0137
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed1900_FAIR_ALL.csv,9000,4,586,8414,0.0,1.0,0.0,1.0,1.0
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed2000_BIASED_ALL.csv,9000,4,8417,583,0.0623,53.4184,0.1446,0.0635,0.0012
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed2000_FAIR_ALL.csv,9000,4,8483,517,0.0,1.0,0.0,1.0,1.0
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed200_BIASED_ALL.csv,9000,4,8349,651,0.4009,6.4333,0.272,0.4747,0.0738
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed200_FAIR_ALL.csv,9000,4,585,8415,0.0002,0.9998,0.0003,0.9998,1.0
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed300_BIASED_ALL.csv,9000,4,569,8431,0.175,0.0605,0.2184,0.0113,0.1863
CLAIRE,HR_N10000_HighBias_Thresh2.5_Seed300_FAIR_ALL.csv,9000,4,8487,513,0.0001,1.0001,0.0001,1.0,0.9999
