model_name,name_dataset,bias_level,threshold,data_type,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1000_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.9264,0.9309,0.8261,0.398,0.5372,0.0594,0.2440000027418136,0.1747,0.0192,0.0785
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1000_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9321,0.9349,0.8452,0.4333,0.5729,0.1525,23.51650047302246,0.368,0.1592,0.0068
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1000_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7424,0.9126,0.9152,0.9966,0.9542,0.0013,1.0012999773025513,0.0015,0.9953,0.994
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.9403,0.9267,0.8734,0.3022,0.4491,0.0504,0.1503999978303909,0.2435,0.0089,0.0593
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed100_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9339,0.9338,0.7241,0.5337,0.6145,0.2204,36.46910095214844,0.5064,0.2266,0.0062
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7393,0.9146,0.9146,1.0,0.9554,0.0,1.0,0.0,1.0,1.0
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.9236,0.9264,0.7345,0.4828,0.5826,0.0621,0.3833000063896179,0.0382,0.0386,0.1006
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1100_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9322,0.9292,0.7395,0.5162,0.608,0.2007,15.666099548339844,0.413,0.2144,0.0137
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7452,0.9211,0.9211,1.0,0.9589,0.0,1.0,0.0,1.0,1.0
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1200_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.9338,0.9298,0.6373,0.6446,0.6409,0.0727,0.4607000052928924,0.0241,0.0621,0.1349
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1200_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9202,0.9249,0.8419,0.28,0.4202,0.104,94.5166015625,0.3465,0.1051,0.0011
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1200_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7658,0.9196,0.92,0.9994,0.958,0.0013,1.0012999773025513,0.0012,0.9991,0.9978
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1300_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.938,0.9209,0.8848,0.2184,0.3504,0.0346,0.1588000059127807,0.1646,0.0065,0.0412
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1300_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9435,0.9283,0.6324,0.6359,0.6341,0.256,12.421199798583984,0.3944,0.2784,0.0224
CLAIRE,HR_N10000_HighBias_Thresh1.0_Seed1300_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7459,0.9188,0.9196,0.999,0.9577,0.0007,0.9993000030517578,0.0005,0.9984,0.9991
