model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_0_8_nodes_full_data.csv,9000,5,4323,4677,0.3175,2.1104,0.0396,0.6034,0.2859
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_1_8_nodes_full_data.csv,9000,5,4794,4206,0.5438,0.3514,0.147,0.2946,0.8383
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_2_8_nodes_full_data.csv,9000,5,2304,6696,0.6449,inf,0.9491,0.6449,0.0
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_3_8_nodes_full_data.csv,9000,5,4917,4083,0.7183,0.0897,0.2408,0.0708,0.7891
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_4_8_nodes_full_data.csv,9000,5,4503,4497,0.6427,0.1545,0.4986,0.1174,0.7602
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_5_8_nodes_full_data.csv,9000,5,5922,3078,0.729,0.0141,0.0163,0.0104,0.7394
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_6_8_nodes_full_data.csv,9000,5,4524,4476,0.2513,2.5041,0.3168,0.4185,0.1671
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_7_8_nodes_full_data.csv,9000,5,4645,4355,0.6518,5.4522,0.3334,0.7982,0.1464
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_8_8_nodes_full_data.csv,9000,5,4675,4325,0.492,3.2438,0.1397,0.7112,0.2193
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_9_8_nodes_full_data.csv,9000,5,2860,6140,0.0756,1.1985,0.065,0.4564,0.3808
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_0_8_nodes_full_data.csv,9000,10,4289,4711,0.289,0.5053,0.3164,0.2953,0.5843
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_1_8_nodes_full_data.csv,9000,10,5735,3265,0.7251,0.0475,0.3942,0.0361,0.7613
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_2_8_nodes_full_data.csv,9000,10,3946,5054,0.5428,3.0673,0.1258,0.8053,0.2625
