model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_0_8_nodes_full_data.csv,3,6,0,10000,0.9288,0.8407,0.8291,0.8582,0.8434,0.1287,0.7788,0.0752,0.4533,0.582
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_1_8_nodes_full_data.csv,3,6,0,10000,0.7352,0.6633,0.6585,0.6787,0.6684,0.4006,2.2682,0.3482,0.7164,0.3158
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_2_8_nodes_full_data.csv,3,6,0,10000,0.9584,0.8973,0.902,0.8916,0.8967,0.0158,0.9685,0.0006,0.4863,0.5021
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_3_8_nodes_full_data.csv,3,6,0,10000,0.891,0.8056,0.8564,0.7342,0.7906,0.0218,0.9503,0.0876,0.4178,0.4396
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_4_8_nodes_full_data.csv,3,6,0,10000,0.9876,0.9324,0.9611,0.9013,0.9303,0.3461,2.1705,0.0645,0.6417,0.2957
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_5_8_nodes_full_data.csv,3,6,0,10000,0.932,0.8671,0.8782,0.8524,0.8651,0.052,1.1133,0.0824,0.5113,0.4593
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_6_8_nodes_full_data.csv,3,6,0,10000,0.9176,0.8261,0.8009,0.868,0.8331,0.1299,0.7859,0.059,0.4769,0.6067
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_7_8_nodes_full_data.csv,3,6,0,10000,0.987,0.941,0.93,0.9538,0.9417,0.4315,2.4545,0.0089,0.7282,0.2967
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_8_8_nodes_full_data.csv,3,6,0,10000,0.8861,0.8107,0.8359,0.7731,0.8033,0.5326,0.2684,0.47,0.1954,0.7281
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_9_8_nodes_full_data.csv,3,6,0,10000,0.909,0.8219,0.8291,0.8109,0.8199,0.3482,0.4749,0.26,0.3149,0.6631
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_0_8_nodes_full_data.csv,3,6,5,10000,0.7753,0.6931,0.7141,0.644,0.6773,0.4722,3.1994,0.3203,0.687,0.2147
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_1_8_nodes_full_data.csv,3,6,5,10000,0.8519,0.7769,0.737,0.8611,0.7942,0.4466,2.2318,0.0739,0.8091,0.3625
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_2_8_nodes_full_data.csv,3,6,5,10000,0.9978,0.9693,0.9891,0.9491,0.9687,0.5391,3.5595,0.1144,0.7497,0.2106
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_3_8_nodes_full_data.csv,3,6,5,10000,0.9955,0.9523,0.9882,0.9156,0.9505,0.6939,0.1454,0.1771,0.1181,0.8119
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_4_8_nodes_full_data.csv,3,6,5,10000,0.9467,0.8926,0.9471,0.8316,0.8856,0.0277,1.0653,0.021,0.4529,0.4251
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_5_8_nodes_full_data.csv,3,6,5,10000,0.9916,0.9492,0.9583,0.9393,0.9487,0.5748,0.2614,0.0874,0.2035,0.7783
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_6_8_nodes_full_data.csv,3,6,5,10000,0.6209,0.5923,0.658,0.3844,0.4853,0.0593,1.226,0.0992,0.3217,0.2624
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_7_8_nodes_full_data.csv,3,6,5,10000,0.9701,0.9133,0.9475,0.8751,0.9099,0.5757,4.2912,0.2792,0.7507,0.1749
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_8_8_nodes_full_data.csv,3,6,5,10000,0.94,0.8641,0.8995,0.8198,0.8578,0.4485,2.936,0.1967,0.6802,0.2317
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_9_8_nodes_full_data.csv,3,6,5,10000,0.9281,0.8454,0.8995,0.7778,0.8342,0.0086,0.9803,0.0592,0.428,0.4366
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_0_8_nodes_full_data.csv,3,6,10,10000,0.6523,0.6094,0.6264,0.5424,0.5814,0.1992,0.6258,0.2192,0.333,0.5322
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_1_8_nodes_full_data.csv,3,6,10,10000,0.9675,0.8951,0.8965,0.8933,0.8949,0.4478,0.3787,0.1237,0.273,0.7208
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_2_8_nodes_full_data.csv,3,6,10,10000,0.917,0.8278,0.7889,0.8951,0.8386,0.2671,0.6184,0.0576,0.4329,0.6999
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_3_8_nodes_full_data.csv,3,6,10,10000,0.9532,0.8738,0.9125,0.8269,0.8676,0.1015,1.2524,0.038,0.5038,0.4022
