model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1000_BIASED_ALL.csv,9000,4,1741,7259,0.2936,0.0037,0.5008,0.0011,0.2947
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1000_FAIR_ALL.csv,9000,4,7445,1555,0.0004,1.0004,0.0003,1.0,0.9996
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed100_BIASED_ALL.csv,9000,4,1837,7163,0.3006,0.0155,0.5144,0.0047,0.3054
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed100_FAIR_ALL.csv,9000,4,7318,1682,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1100_BIASED_ALL.csv,9000,4,7299,1701,0.4671,38.0594,0.6421,0.4797,0.0126
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1100_FAIR_ALL.csv,9000,4,7533,1467,0.0011,1.0011,0.0004,1.0,0.9989
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1200_BIASED_ALL.csv,9000,4,1779,7221,0.3178,0.0184,0.5227,0.006,0.3238
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1200_FAIR_ALL.csv,9000,4,1692,7308,0.0029,0.9971,0.0011,0.9971,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1300_BIASED_ALL.csv,9000,4,1786,7214,0.3479,0.0138,0.562,0.0049,0.3527
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1300_FAIR_ALL.csv,9000,4,7334,1666,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1400_BIASED_ALL.csv,9000,4,1773,7227,0.3107,0.011,0.5356,0.0035,0.3142
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1400_FAIR_ALL.csv,9000,4,7384,1616,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1500_BIASED_ALL.csv,9000,4,7322,1678,0.2564,76.0999,0.436,0.2598,0.0034
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1500_FAIR_ALL.csv,9000,4,7435,1565,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1600_BIASED_ALL.csv,9000,4,7204,1796,0.3766,54.1897,0.5741,0.3836,0.0071
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1600_FAIR_ALL.csv,9000,4,7417,1583,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1700_BIASED_ALL.csv,9000,4,7068,1932,0.3632,50.3731,0.5624,0.3706,0.0074
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1700_FAIR_ALL.csv,9000,4,7424,1576,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1800_BIASED_ALL.csv,9000,4,7136,1864,0.3662,66.3258,0.5928,0.3718,0.0056
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1800_FAIR_ALL.csv,9000,4,1715,7285,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1900_BIASED_ALL.csv,9000,4,1748,7252,0.3895,0.0133,0.5989,0.0052,0.3947
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1900_FAIR_ALL.csv,9000,4,1602,7398,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed2000_BIASED_ALL.csv,9000,4,1859,7141,0.3316,0.0154,0.5885,0.0052,0.3367
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed2000_FAIR_ALL.csv,9000,4,7373,1627,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed200_BIASED_ALL.csv,9000,4,7288,1712,0.2933,74.7179,0.5303,0.2973,0.004
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed200_FAIR_ALL.csv,9000,4,1613,7387,0.0005,0.9995,0.0003,0.9995,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed300_BIASED_ALL.csv,9000,4,7280,1720,0.2699,60.5384,0.4714,0.2744,0.0045
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed300_FAIR_ALL.csv,9000,4,7382,1618,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed400_BIASED_ALL.csv,9000,4,7184,1816,0.3895,52.8192,0.5914,0.397,0.0075
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed400_FAIR_ALL.csv,9000,4,7346,1654,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed500_BIASED_ALL.csv,9000,4,7085,1915,0.271,64.9921,0.475,0.2752,0.0042
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed500_FAIR_ALL.csv,9000,4,1530,7470,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed600_BIASED_ALL.csv,9000,4,1771,7229,0.2013,0.0122,0.3735,0.0025,0.2038
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed600_FAIR_ALL.csv,9000,4,1685,7315,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed700_BIASED_ALL.csv,9000,4,7310,1690,0.3166,90.0025,0.5114,0.3201,0.0036
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed700_FAIR_ALL.csv,9000,4,1452,7548,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed800_BIASED_ALL.csv,9000,4,1813,7187,0.3736,0.0125,0.5854,0.0047,0.3784
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed800_FAIR_ALL.csv,9000,4,7425,1575,0.0005,1.0005,0.0005,1.0,0.9995
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed900_BIASED_ALL.csv,9000,4,1927,7073,0.3961,0.0203,0.6123,0.0082,0.4043
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed900_FAIR_ALL.csv,9000,4,1601,7399,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh2.5_Seed1000_BIASED_ALL.csv,9000,4,566,8434,0.3166,0.0209,0.4586,0.0068,0.3233
FairPFN,HR_N10000_HighBias_Thresh2.5_Seed1000_FAIR_ALL.csv,9000,4,559,8441,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh2.5_Seed100_BIASED_ALL.csv,9000,4,8427,573,0.3107,23.3801,0.4379,0.3246,0.0139
FairPFN,HR_N10000_HighBias_Thresh2.5_Seed100_FAIR_ALL.csv,9000,4,8481,519,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh2.5_Seed1100_BIASED_ALL.csv,9000,4,585,8415,0.4823,0.0338,0.5615,0.0169,0.4991
FairPFN,HR_N10000_HighBias_Thresh2.5_Seed1100_FAIR_ALL.csv,9000,4,550,8450,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh2.5_Seed1200_BIASED_ALL.csv,9000,4,692,8308,0.3742,0.041,0.4749,0.016,0.3902
FairPFN,HR_N10000_HighBias_Thresh2.5_Seed1200_FAIR_ALL.csv,9000,4,8379,621,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh2.5_Seed1300_BIASED_ALL.csv,9000,4,605,8395,0.2133,0.0298,0.3,0.0066,0.2198
FairPFN,HR_N10000_HighBias_Thresh2.5_Seed1300_FAIR_ALL.csv,9000,4,548,8452,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh2.5_Seed1400_BIASED_ALL.csv,9000,4,8349,651,0.2186,31.421,0.3086,0.2258,0.0072
FairPFN,HR_N10000_HighBias_Thresh2.5_Seed1400_FAIR_ALL.csv,9000,4,8354,646,0.0,1.0,0.0,1.0,1.0
