model_name,name_dataset,bias_level,threshold,data_type,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1000_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.8975,0.9176,0.6583,0.3782,0.4804,0.0233,1.457,0.3938,0.0743,0.051
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1000_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.8975,0.9176,0.6583,0.3782,0.4804,0.0233,1.457,0.3938,0.0743,0.051
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1000_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7408,0.9133,0.9135,0.9998,0.9547,0.0011,0.9989,0.0008,0.9989,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.9019,0.9201,0.6437,0.4303,0.5158,0.0447,1.8511,0.311,0.0973,0.0526
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed100_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9019,0.9201,0.6437,0.4303,0.5158,0.0447,1.8511,0.311,0.0973,0.0526
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7428,0.9146,0.9146,1.0,0.9554,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.8796,0.8999,0.5308,0.5037,0.5169,0.0148,1.1536,0.4122,0.1112,0.0964
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1100_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.8796,0.8999,0.5308,0.5037,0.5169,0.0148,1.1536,0.4122,0.1112,0.0964
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.744,0.9213,0.9216,0.9996,0.959,0.0014,0.9986,0.0001,0.9981,0.9995
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1200_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.905,0.9231,0.6478,0.4583,0.5368,0.0392,1.6872,0.3113,0.0962,0.057
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1200_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.905,0.9231,0.6478,0.4583,0.5368,0.0392,1.6872,0.3113,0.0962,0.057
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1200_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7644,0.9199,0.9205,0.9992,0.9582,0.0002,1.0002,0.0005,0.9978,0.9976
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1300_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.9071,0.92,0.6195,0.4687,0.5337,0.0406,1.6555,0.3266,0.1024,0.0619
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1300_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9071,0.92,0.6195,0.4687,0.5337,0.0406,1.6555,0.3266,0.1024,0.0619
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1300_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7565,0.9193,0.9193,1.0,0.958,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1400_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.888,0.9222,0.6907,0.436,0.5346,0.0406,1.777,0.3492,0.0929,0.0523
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1400_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.888,0.9222,0.6907,0.436,0.5346,0.0406,1.777,0.3492,0.0929,0.0523
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1400_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7359,0.916,0.916,1.0,0.9562,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1500_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.8954,0.9181,0.6725,0.346,0.4569,0.0175,1.3791,0.344,0.0635,0.046
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1500_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.8954,0.9181,0.6725,0.346,0.4569,0.0175,1.3791,0.344,0.0635,0.046
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1500_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7363,0.9142,0.9142,1.0,0.9552,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1600_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.9012,0.9131,0.5946,0.4772,0.5295,0.0407,1.581,0.339,0.1108,0.0701
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1600_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9012,0.9131,0.5946,0.4772,0.5295,0.0407,1.581,0.339,0.1108,0.0701
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1600_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7548,0.9126,0.9126,1.0,0.9543,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1700_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.8932,0.913,0.5859,0.4918,0.5348,0.0286,1.3725,0.4291,0.1052,0.0767
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1700_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.8932,0.913,0.5859,0.4918,0.5348,0.0286,1.3725,0.4291,0.1052,0.0767
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1700_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7377,0.9168,0.9168,1.0,0.9566,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1800_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.8873,0.9123,0.5825,0.4692,0.5198,0.0356,1.5042,0.3591,0.1062,0.0706
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1800_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.8873,0.9123,0.5825,0.4692,0.5198,0.0356,1.5042,0.3591,0.1062,0.0706
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1800_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.736,0.917,0.917,1.0,0.9567,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1900_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.8948,0.9167,0.6305,0.4883,0.5504,0.0332,1.4683,0.4035,0.104,0.0709
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1900_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.8948,0.9167,0.6305,0.4883,0.5504,0.0332,1.4683,0.4035,0.104,0.0709
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed1900_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7526,0.9203,0.9203,1.0,0.9585,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed2000_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.8963,0.9181,0.638,0.4598,0.5344,0.0397,1.6445,0.3676,0.1012,0.0616
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed2000_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.8963,0.9181,0.638,0.4598,0.5344,0.0397,1.6445,0.3676,0.1012,0.0616
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed2000_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7485,0.9178,0.9178,1.0,0.9571,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed200_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.906,0.9208,0.7063,0.4064,0.516,0.0503,2.1364,0.2452,0.0945,0.0442
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed200_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.906,0.9208,0.7063,0.4064,0.516,0.0503,2.1364,0.2452,0.0945,0.0442
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed200_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7383,0.9178,0.918,0.9998,0.9571,0.0001,1.0001,0.0002,0.9996,0.9995
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed300_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.8965,0.9156,0.6673,0.3628,0.47,0.0261,1.5422,0.3937,0.0743,0.0482
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed300_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.8965,0.9156,0.6673,0.3628,0.47,0.0261,1.5422,0.3937,0.0743,0.0482
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed300_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.737,0.9172,0.9172,1.0,0.9568,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed400_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.8849,0.9093,0.5665,0.4777,0.5183,0.0265,1.3382,0.3954,0.1047,0.0782
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed400_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.8849,0.9093,0.5665,0.4777,0.5183,0.0265,1.3382,0.3954,0.1047,0.0782
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed400_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7464,0.9134,0.9134,1.0,0.9548,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed500_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.9038,0.9183,0.6643,0.4031,0.5017,0.0267,1.4936,0.3951,0.0806,0.054
FairPFN,HR_N10000_HighBias_Thresh1.0_Seed500_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9038,0.9183,0.6643,0.4031,0.5017,0.0267,1.4936,0.3951,0.0806,0.054
