model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_0_8_nodes_full_data.csv,9000,5,4323,4677,0.1344,1.2591,0.0979,0.653,0.5186
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_1_8_nodes_full_data.csv,9000,5,4794,4206,0.2213,0.6282,0.3003,0.374,0.5953
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_2_8_nodes_full_data.csv,9000,5,2304,6696,0.7143,18.3235,0.8942,0.7555,0.0412
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_3_8_nodes_full_data.csv,9000,5,4917,4083,0.4789,0.2888,0.4703,0.1945,0.6734
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_4_8_nodes_full_data.csv,9000,5,4503,4497,0.6387,0.1704,0.4771,0.1312,0.7699
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_5_8_nodes_full_data.csv,9000,5,5922,3078,0.5724,0.1831,0.2331,0.1283,0.7008
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_6_8_nodes_full_data.csv,9000,5,4524,4476,0.4506,3.3928,0.4886,0.639,0.1883
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_7_8_nodes_full_data.csv,9000,5,4645,4355,0.074,1.1083,0.0533,0.7573,0.6833
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_8_8_nodes_full_data.csv,9000,5,4675,4325,0.4932,2.8716,0.2414,0.7568,0.2635
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_9_8_nodes_full_data.csv,9000,5,2860,6140,0.0607,1.1368,0.0745,0.5044,0.4437
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_0_8_nodes_full_data.csv,9000,10,4289,4711,0.2174,0.5855,0.137,0.3072,0.5246
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_1_8_nodes_full_data.csv,9000,10,5735,3265,0.5902,0.1636,0.0784,0.1155,0.7057
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_2_8_nodes_full_data.csv,9000,10,3946,5054,0.4722,3.0142,0.0891,0.7066,0.2344
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_3_8_nodes_full_data.csv,9000,10,3367,5633,0.6755,0.2677,0.2695,0.2469,0.9225
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_4_8_nodes_full_data.csv,9000,10,4332,4668,0.7587,0.1496,0.1544,0.1335,0.8922
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_5_8_nodes_full_data.csv,9000,10,4403,4597,0.2279,0.714,0.1636,0.5691,0.797
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_6_8_nodes_full_data.csv,9000,10,3895,5105,0.1856,0.693,0.0775,0.4188,0.6044
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_7_8_nodes_full_data.csv,9000,10,3657,5343,0.6776,0.2525,0.1646,0.2289,0.9065
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_8_8_nodes_full_data.csv,9000,10,3781,5219,0.5707,4.881,0.6436,0.7178,0.1471
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_9_8_nodes_full_data.csv,9000,10,5292,3708,0.5461,0.2347,0.0197,0.1675,0.7135
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_0_8_nodes_full_data.csv,9000,20,5203,3797,0.0141,0.9754,0.058,0.5602,0.5743
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_1_8_nodes_full_data.csv,9000,20,6449,2551,0.3729,1.9593,0.3962,0.7617,0.3887
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_2_8_nodes_full_data.csv,9000,20,3910,5090,0.0987,1.2347,0.1351,0.5194,0.4207
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_3_8_nodes_full_data.csv,9000,20,4130,4870,0.1162,0.805,0.041,0.4799,0.5961
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_4_8_nodes_full_data.csv,9000,20,3244,5756,0.7692,0.226,0.2191,0.2246,0.9938
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_5_8_nodes_full_data.csv,9000,20,6029,2971,0.7148,0.038,0.1975,0.0283,0.7431
