model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_0_8_nodes_full_data.csv,3,6,0,10000,0.9096,0.8252,0.8281,0.8209,0.8245,0.0178,0.9648,0.0237,0.4868,0.5046
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_1_8_nodes_full_data.csv,3,6,0,10000,0.7247,0.6727,0.6957,0.6138,0.6522,0.0378,1.0894,0.0894,0.4601,0.4223
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_2_8_nodes_full_data.csv,3,6,0,10000,0.9543,0.8926,0.894,0.8907,0.8924,0.0222,0.9563,0.006,0.487,0.5092
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_3_8_nodes_full_data.csv,3,6,0,10000,0.9169,0.8384,0.8534,0.8173,0.835,0.0243,0.9505,0.1075,0.4668,0.4911
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_4_8_nodes_full_data.csv,3,6,0,10000,0.96,0.8848,0.8632,0.9144,0.8881,0.1462,1.3202,0.1189,0.6027,0.4565
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_5_8_nodes_full_data.csv,3,6,0,10000,0.9401,0.8817,0.8774,0.8873,0.8823,0.0153,1.0308,0.0255,0.5133,0.498
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_6_8_nodes_full_data.csv,3,6,0,10000,0.8782,0.7931,0.8121,0.7627,0.7866,0.0334,0.9313,0.0243,0.4528,0.4862
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_7_8_nodes_full_data.csv,3,6,0,10000,0.893,0.7894,0.772,0.8216,0.796,0.0639,1.1278,0.2371,0.564,0.5001
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_8_8_nodes_full_data.csv,3,6,0,10000,0.7975,0.7151,0.6842,0.7991,0.7372,0.0347,0.9424,0.0031,0.5666,0.6013
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_9_8_nodes_full_data.csv,3,6,0,10000,0.8991,0.8154,0.8154,0.8156,0.8155,0.0722,0.8653,0.0197,0.464,0.5362
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_0_8_nodes_full_data.csv,3,6,5,10000,0.5824,0.5638,0.5542,0.6522,0.5992,0.0518,0.9157,0.2077,0.5625,0.6144
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_1_8_nodes_full_data.csv,3,6,5,10000,0.6958,0.6428,0.6451,0.6347,0.6399,0.009,1.0185,0.397,0.4964,0.4874
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_2_8_nodes_full_data.csv,3,6,5,10000,0.9306,0.8216,0.7808,0.8942,0.8336,0.1673,1.342,0.1392,0.6564,0.4891
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_3_8_nodes_full_data.csv,3,6,5,10000,0.7997,0.6923,0.7108,0.6484,0.6782,0.0911,0.8185,0.4115,0.4108,0.5019
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_4_8_nodes_full_data.csv,3,6,5,10000,0.9472,0.8917,0.9344,0.8424,0.8861,0.0056,0.9876,0.021,0.448,0.4536
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_5_8_nodes_full_data.csv,3,6,5,10000,0.8594,0.7659,0.7633,0.7709,0.7671,0.1287,0.774,0.2759,0.4408,0.5695
