model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1000_BIASED_ALL.csv,9000,4,1741,7259,0.0028,inf,0.0,0.0028,0.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1000_FAIR_ALL.csv,9000,4,7445,1555,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed100_BIASED_ALL.csv,9000,4,1837,7163,0.0671,0.1503,0.1782,0.0119,0.0789
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed100_FAIR_ALL.csv,9000,4,7318,1682,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1100_BIASED_ALL.csv,9000,4,7299,1701,0.0036,0.2452,0.0029,0.0012,0.0048
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1100_FAIR_ALL.csv,9000,4,7533,1467,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1200_BIASED_ALL.csv,9000,4,1779,7221,0.0188,0.0145,0.0364,0.0003,0.0191
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1200_FAIR_ALL.csv,9000,4,1692,7308,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1300_BIASED_ALL.csv,9000,4,1786,7214,0.0311,0.0261,0.0762,0.0008,0.0319
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1300_FAIR_ALL.csv,9000,4,7334,1666,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1400_BIASED_ALL.csv,9000,4,1773,7227,0.0116,0.4966,0.0463,0.0115,0.0231
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1400_FAIR_ALL.csv,9000,4,7384,1616,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1500_BIASED_ALL.csv,9000,4,7322,1678,0.0089,inf,0.0156,0.0089,0.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1500_FAIR_ALL.csv,9000,4,7435,1565,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1600_BIASED_ALL.csv,9000,4,7204,1796,0.0085,0.0,0.0,0.0,0.0085
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1600_FAIR_ALL.csv,9000,4,7417,1583,0.0037,1.0037,0.002,0.9987,0.995
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1700_BIASED_ALL.csv,9000,4,7068,1932,0.0059,2.7438,0.0253,0.0093,0.0034
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1700_FAIR_ALL.csv,9000,4,7424,1576,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1800_BIASED_ALL.csv,9000,4,7136,1864,0.0007,0.0,0.0,0.0,0.0007
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1800_FAIR_ALL.csv,9000,4,1715,7285,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1900_BIASED_ALL.csv,9000,4,1748,7252,0.1253,15.6031,0.0127,0.1339,0.0086
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed1900_FAIR_ALL.csv,9000,4,1602,7398,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed2000_BIASED_ALL.csv,9000,4,1859,7141,0.0141,2.0514,0.006,0.0276,0.0134
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed2000_FAIR_ALL.csv,9000,4,7373,1627,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed200_BIASED_ALL.csv,9000,4,7288,1712,0.0014,2.4326,0.0058,0.0023,0.001
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed200_FAIR_ALL.csv,9000,4,1613,7387,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed300_BIASED_ALL.csv,9000,4,7280,1720,0.0065,0.0,0.0,0.0,0.0065
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed300_FAIR_ALL.csv,9000,4,7382,1618,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed400_BIASED_ALL.csv,9000,4,7184,1816,0.1272,10.2295,0.2639,0.141,0.0138
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed400_FAIR_ALL.csv,9000,4,7346,1654,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed500_BIASED_ALL.csv,9000,4,7085,1915,0.0167,11.7719,0.0476,0.0183,0.0016
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed500_FAIR_ALL.csv,9000,4,1530,7470,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed600_BIASED_ALL.csv,9000,4,1771,7229,0.0,inf,0.0,0.0,0.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed600_FAIR_ALL.csv,9000,4,1685,7315,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed700_BIASED_ALL.csv,9000,4,7310,1690,0.1458,3.6312,0.3497,0.2012,0.0554
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed700_FAIR_ALL.csv,9000,4,1452,7548,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed800_BIASED_ALL.csv,9000,4,1813,7187,0.0306,0.0599,0.065,0.0019,0.0325
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed800_FAIR_ALL.csv,9000,4,7425,1575,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed900_BIASED_ALL.csv,9000,4,1927,7073,0.0221,2.5201,0.0382,0.0366,0.0145
SRCVAE,HR_N10000_HighBias_Thresh1.0_Seed900_FAIR_ALL.csv,9000,4,1601,7399,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1000_BIASED_ALL.csv,9000,4,566,8434,0.0018,0.0,0.0039,0.0,0.0018
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1000_FAIR_ALL.csv,9000,4,559,8441,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed100_BIASED_ALL.csv,9000,4,8427,573,0.1229,16.4628,0.2234,0.1309,0.008
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed100_FAIR_ALL.csv,9000,4,8481,519,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1100_BIASED_ALL.csv,9000,4,585,8415,0.0497,0.0628,0.092,0.0033,0.053
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1100_FAIR_ALL.csv,9000,4,550,8450,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1200_BIASED_ALL.csv,9000,4,692,8308,0.0963,0.0196,0.2093,0.0019,0.0983
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1200_FAIR_ALL.csv,9000,4,8379,621,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1300_BIASED_ALL.csv,9000,4,605,8395,0.008,0.0288,0.0181,0.0002,0.0083
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1300_FAIR_ALL.csv,9000,4,548,8452,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1400_BIASED_ALL.csv,9000,4,8349,651,0.0,inf,0.0,0.0,0.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1400_FAIR_ALL.csv,9000,4,8354,646,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1500_BIASED_ALL.csv,9000,4,8366,634,0.0,inf,0.0,0.0,0.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1500_FAIR_ALL.csv,9000,4,8386,614,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1600_BIASED_ALL.csv,9000,4,573,8427,0.0935,0.0076,0.173,0.0007,0.0942
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1600_FAIR_ALL.csv,9000,4,8428,572,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1700_BIASED_ALL.csv,9000,4,604,8396,0.0,inf,0.0,0.0,0.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1700_FAIR_ALL.csv,9000,4,8439,561,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1800_BIASED_ALL.csv,9000,4,5315,3685,0.0,inf,0.0,0.0,0.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1800_FAIR_ALL.csv,9000,4,8470,530,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1900_BIASED_ALL.csv,9000,4,8399,601,0.368,23.5638,0.5368,0.3844,0.0163
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed1900_FAIR_ALL.csv,9000,4,586,8414,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed2000_BIASED_ALL.csv,9000,4,8417,583,0.0017,0.7468,0.0,0.0051,0.0069
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed2000_FAIR_ALL.csv,9000,4,8483,517,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed200_BIASED_ALL.csv,9000,4,8349,651,0.024,41.0396,0.0457,0.0246,0.0006
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed200_FAIR_ALL.csv,9000,4,585,8415,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed300_BIASED_ALL.csv,9000,4,569,8431,0.0477,inf,0.0,0.0477,0.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed300_FAIR_ALL.csv,9000,4,8487,513,0.0303,0.9696,0.0299,0.9649,0.9952
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed400_BIASED_ALL.csv,9000,4,651,8349,0.0241,0.0195,0.0528,0.0005,0.0246
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed400_FAIR_ALL.csv,9000,4,8372,628,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed500_BIASED_ALL.csv,9000,4,564,8436,0.0289,1.8151,0.0043,0.0644,0.0355
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed500_FAIR_ALL.csv,9000,4,8479,521,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed600_BIASED_ALL.csv,9000,4,522,8478,0.1849,0.0628,0.2708,0.0124,0.1973
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed600_FAIR_ALL.csv,9000,4,8488,512,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed700_BIASED_ALL.csv,9000,4,614,8386,0.0109,1.1857,0.0771,0.0695,0.0586
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed700_FAIR_ALL.csv,9000,4,8441,559,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed800_BIASED_ALL.csv,9000,4,8355,645,0.0085,0.0,0.0,0.0,0.0085
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed800_FAIR_ALL.csv,9000,4,8407,593,0.0002,1.0002,0.0003,1.0,0.9998
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed900_BIASED_ALL.csv,9000,4,579,8421,0.1704,0.0231,0.2938,0.004,0.1744
SRCVAE,HR_N10000_HighBias_Thresh2.5_Seed900_FAIR_ALL.csv,9000,4,8457,543,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed1000_BIASED_ALL.csv,9000,4,7538,1462,0.0036,1.0036,0.0013,0.9959,0.9923
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed1000_FAIR_ALL.csv,9000,4,7512,1488,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed100_BIASED_ALL.csv,9000,4,1566,7434,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed100_FAIR_ALL.csv,9000,4,1522,7478,0.0,1.0,0.0,1.0,1.0
