model_name,name_dataset,bias_level,threshold,data_type,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed1000_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.63,0.89,0.0,0.0,0.0,0.0104000000283122,inf,0.0,0.0104000000283122,0.0
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed1000_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.4097,0.895,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed1000_BIASED_MASKED.csv,HighBias,1.0,BIASED_MASKED,0,6,0,1000,0.6829,0.895,0.0,0.0,0.0,,,,,
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed1000_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.4934,0.915,0.915,1.0,0.9556,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.6892,0.9,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed100_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.7419,0.88,0.0,0.0,0.0,0.0284000001847744,0.0,0.0,0.0,0.0284000001847744
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed100_BIASED_MASKED.csv,HighBias,1.0,BIASED_MASKED,0,6,0,1000,0.8522,0.9,0.5,0.05,0.0909,,,,,
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.6865,0.925,0.925,1.0,0.961,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed1100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.9505,0.895,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed1100_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.7763,0.895,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed1100_BIASED_MASKED.csv,HighBias,1.0,BIASED_MASKED,0,6,0,1000,0.7191,0.865,0.0,0.0,0.0,,,,,
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed1100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.5085,0.92,0.92,1.0,0.9583,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed1200_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.5434,0.89,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed1200_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.8726,0.91,0.625,0.4545,0.5263,0.2623000144958496,inf,0.5,0.2623000144958496,0.0
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed1200_BIASED_MASKED.csv,HighBias,1.0,BIASED_MASKED,0,6,0,1000,0.6869,0.89,0.0,0.0,0.0,,,,,
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed1200_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.5345,0.895,0.895,1.0,0.9446,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed1300_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.7433,0.905,1.0,0.0952,0.1739,0.0204000007361173,0.0,0.1333,0.0,0.0204000007361173
SRCVAE,HR_N1000_HighBias_Thresh1.0_Seed1300_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.8351,0.91,0.8,0.1905,0.3077,0.0522000007331371,7.940299987792969,0.2857,0.0597000010311603,0.0074999998323619
