model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_0_8_nodes_full_data.csv,9000,5,4323,4677,0.3149,1.6582,0.018,0.7932,0.4784
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_1_8_nodes_full_data.csv,9000,5,4794,4206,0.2308,0.6852,0.2199,0.5024,0.7332
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_2_8_nodes_full_data.csv,9000,5,2304,6696,0.0639,1.1422,0.6444,0.5136,0.4497
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_3_8_nodes_full_data.csv,9000,5,4917,4083,0.2591,0.3412,0.4847,0.1342,0.3933
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_4_8_nodes_full_data.csv,9000,5,4503,4497,0.1252,0.8156,0.1066,0.5537,0.6789
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_5_8_nodes_full_data.csv,9000,5,5922,3078,0.5237,0.0049,0.4563,0.0026,0.5263
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_6_8_nodes_full_data.csv,9000,5,4524,4476,0.279,1.4619,0.2706,0.8832,0.6041
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_7_8_nodes_full_data.csv,9000,5,4645,4355,0.1878,1.4625,0.1523,0.5938,0.406
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_8_8_nodes_full_data.csv,9000,5,4675,4325,0.5037,2.4893,0.1485,0.8418,0.3382
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_9_8_nodes_full_data.csv,9000,5,2860,6140,0.0747,0.8468,0.1993,0.413,0.4878
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_0_8_nodes_full_data.csv,9000,10,4289,4711,0.0284,1.0295,0.0294,0.9932,0.9648
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_1_8_nodes_full_data.csv,9000,10,5735,3265,0.3816,0.394,0.7481,0.2481,0.6296
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_2_8_nodes_full_data.csv,9000,10,3946,5054,0.5161,3.3876,0.1213,0.7323,0.2162
