model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_0_8_nodes_full_data.csv,3,6,0,10000,0.8142,0.738,0.7453,0.7231,0.734,0.0895,0.8311,0.0175,0.4404,0.5299
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_1_8_nodes_full_data.csv,3,6,0,10000,0.599,0.5811,0.5971,0.4987,0.5435,0.0598,0.8664,0.0562,0.3876,0.4473
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_2_8_nodes_full_data.csv,3,6,0,10000,0.7541,0.6759,0.649,0.7662,0.7027,0.0311,0.9486,0.1049,0.5747,0.6059
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_3_8_nodes_full_data.csv,3,6,0,10000,0.753,0.66,0.6214,0.8191,0.7067,0.0315,0.9533,0.0195,0.6434,0.6749
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_4_8_nodes_full_data.csv,3,6,0,10000,0.3489,0.4168,0.235,0.0738,0.1123,0.101,0.5133,0.0935,0.1065,0.2076
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_5_8_nodes_full_data.csv,3,6,0,10000,0.4293,0.4276,0.4413,0.5442,0.4874,0.1949,0.7271,0.2932,0.5193,0.7142
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_6_8_nodes_full_data.csv,3,6,0,10000,0.2138,0.4968,0.2456,0.0031,0.0061,0.0091,0.1637,0.0034,0.0018,0.0109
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_7_8_nodes_full_data.csv,3,6,0,10000,0.4456,0.4532,0.4625,0.5767,0.5133,0.0241,1.0394,0.0185,0.6355,0.6114
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_8_8_nodes_full_data.csv,3,6,0,10000,0.7844,0.7043,0.7764,0.574,0.66,0.488,0.2039,0.5217,0.125,0.613
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_9_8_nodes_full_data.csv,3,6,0,10000,0.8787,0.7856,0.7848,0.7869,0.7858,0.2031,0.6631,0.1178,0.3998,0.6029
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_0_8_nodes_full_data.csv,3,6,5,10000,0.7685,0.6958,0.6525,0.8378,0.7336,0.4424,2.0514,0.2072,0.8631,0.4208
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_1_8_nodes_full_data.csv,3,6,5,10000,0.6348,0.5991,0.5792,0.7244,0.6438,0.2316,1.4537,0.0994,0.7419,0.5104
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_2_8_nodes_full_data.csv,3,6,5,10000,0.7415,0.6472,0.648,0.6444,0.6462,0.0309,0.9397,0.3608,0.4818,0.5126
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_3_8_nodes_full_data.csv,3,6,5,10000,0.7265,0.682,0.83,0.4578,0.5901,0.1895,0.4893,0.4485,0.1815,0.371
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_4_8_nodes_full_data.csv,3,6,5,10000,0.6392,0.6166,0.5946,0.7329,0.6565,0.1355,0.802,0.1585,0.5487,0.6842
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_5_8_nodes_full_data.csv,3,6,5,10000,0.9279,0.8386,0.9875,0.6858,0.8094,0.4065,0.2622,0.0195,0.1445,0.551
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_6_8_nodes_full_data.csv,3,6,5,10000,0.6321,0.5542,0.5365,0.7971,0.6413,0.0172,1.0234,0.0555,0.7514,0.7343
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_7_8_nodes_full_data.csv,3,6,5,10000,0.8008,0.7111,0.7124,0.708,0.7102,0.1115,1.2527,0.2,0.5529,0.4413
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_8_8_nodes_full_data.csv,3,6,5,10000,0.9042,0.8093,0.7666,0.8896,0.8235,0.3344,1.8093,0.0652,0.7477,0.4132
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_9_8_nodes_full_data.csv,3,6,5,10000,0.909,0.821,0.8675,0.7578,0.8089,0.1247,1.3331,0.1936,0.4992,0.3745
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_0_8_nodes_full_data.csv,3,6,10,10000,0.4478,0.4879,0.4938,0.9676,0.6539,0.0174,1.0179,0.021,0.9884,0.971
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_1_8_nodes_full_data.csv,3,6,10,10000,0.8013,0.7552,0.7598,0.7464,0.7531,0.273,0.5645,0.1981,0.3539,0.6269
