model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1000_BIASED_ALL.csv,9000,4,1741,7259,0.3136,0.0634,0.477,0.0212,0.3349
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1000_FAIR_ALL.csv,9000,4,7445,1555,0.0369,1.0384,0.0316,0.9981,0.9612
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed100_BIASED_ALL.csv,9000,4,1837,7163,0.3267,0.0681,0.3907,0.0239,0.3506
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed100_FAIR_ALL.csv,9000,4,7318,1682,0.0287,1.0296,0.0255,0.9982,0.9695
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1100_BIASED_ALL.csv,9000,4,7299,1701,0.3759,18.0435,0.4855,0.398,0.0221
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1100_FAIR_ALL.csv,9000,4,7533,1467,0.0405,1.0422,0.0343,1.0,0.9595
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1200_BIASED_ALL.csv,9000,4,1779,7221,0.3153,0.0571,0.4115,0.0191,0.3345
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1200_FAIR_ALL.csv,9000,4,1692,7308,0.0421,0.9579,0.0345,0.9579,1.0
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1300_BIASED_ALL.csv,9000,4,1786,7214,0.3196,0.0656,0.4187,0.0225,0.3421
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1300_FAIR_ALL.csv,9000,4,7334,1666,0.029,1.0299,0.0248,0.9994,0.9704
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1400_BIASED_ALL.csv,9000,4,1773,7227,0.3061,0.069,0.4103,0.0227,0.3288
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1400_FAIR_ALL.csv,9000,4,7384,1616,0.0382,1.0398,0.036,0.9994,0.9611
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1500_BIASED_ALL.csv,9000,4,7322,1678,0.2818,10.8257,0.2509,0.3105,0.0287
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1500_FAIR_ALL.csv,9000,4,7435,1565,0.0421,1.0439,0.039,1.0,0.9579
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1600_BIASED_ALL.csv,9000,4,7204,1796,0.3435,14.092,0.3551,0.3697,0.0262
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1600_FAIR_ALL.csv,9000,4,7417,1583,0.0443,1.0463,0.0402,0.9994,0.9551
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1700_BIASED_ALL.csv,9000,4,7068,1932,0.3217,15.9573,0.3912,0.3432,0.0215
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1700_FAIR_ALL.csv,9000,4,7424,1576,0.0419,1.0437,0.0367,1.0,0.9581
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1800_BIASED_ALL.csv,9000,4,7136,1864,0.3621,15.3558,0.4308,0.3873,0.0252
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1800_FAIR_ALL.csv,9000,4,1715,7285,0.036,0.964,0.0317,0.964,1.0
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1900_BIASED_ALL.csv,9000,4,1748,7252,0.3636,0.0708,0.4645,0.0277,0.3913
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1900_FAIR_ALL.csv,9000,4,1602,7398,0.043,0.957,0.0393,0.957,1.0
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed2000_BIASED_ALL.csv,9000,4,1859,7141,0.2971,0.0778,0.3948,0.0251,0.3222
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed2000_FAIR_ALL.csv,9000,4,7373,1627,0.0366,1.038,0.0343,1.0,0.9634
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed200_BIASED_ALL.csv,9000,4,7288,1712,0.3178,13.655,0.4819,0.3429,0.0251
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed200_FAIR_ALL.csv,9000,4,1613,7387,0.0353,0.9646,0.0315,0.9634,0.9988
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed300_BIASED_ALL.csv,9000,4,7280,1720,0.2668,8.8953,0.2469,0.3006,0.0338
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed300_FAIR_ALL.csv,9000,4,7382,1618,0.0347,1.036,0.0305,0.9988,0.9641
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed400_BIASED_ALL.csv,9000,4,7184,1816,0.3567,15.6429,0.4211,0.3811,0.0244
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed400_FAIR_ALL.csv,9000,4,7346,1654,0.0476,1.0502,0.0392,0.997,0.9494
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed500_BIASED_ALL.csv,9000,4,7085,1915,0.2844,10.1575,0.241,0.3154,0.0311
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed500_FAIR_ALL.csv,9000,4,1530,7470,0.0311,0.9689,0.0276,0.9689,1.0
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed600_BIASED_ALL.csv,9000,4,1771,7229,0.2499,0.0818,0.3038,0.0223,0.2722
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed600_FAIR_ALL.csv,9000,4,1685,7315,0.0387,0.9612,0.0368,0.9583,0.997
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed700_BIASED_ALL.csv,9000,4,7310,1690,0.2793,6.8342,0.2354,0.3272,0.0479
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed700_FAIR_ALL.csv,9000,4,1452,7548,0.0547,0.9453,0.0505,0.9446,0.9993
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed800_BIASED_ALL.csv,9000,4,1813,7187,0.347,0.0582,0.4949,0.0214,0.3685
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed800_FAIR_ALL.csv,9000,4,7425,1575,0.0428,1.0447,0.0384,0.9987,0.956
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed900_BIASED_ALL.csv,9000,4,1927,7073,0.3864,0.0343,0.5767,0.0137,0.4001
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed900_FAIR_ALL.csv,9000,4,1601,7399,0.0361,0.9639,0.0333,0.9639,1.0
XGBoost,HR_N10000_HighBias_Thresh2.5_Seed1000_BIASED_ALL.csv,9000,4,566,8434,0.3459,0.0977,0.2573,0.0375,0.3834
XGBoost,HR_N10000_HighBias_Thresh2.5_Seed1000_FAIR_ALL.csv,9000,4,559,8441,0.0472,0.9528,0.044,0.9528,1.0
XGBoost,HR_N10000_HighBias_Thresh2.5_Seed100_BIASED_ALL.csv,9000,4,8427,573,0.2734,6.9544,0.1394,0.3194,0.0459
XGBoost,HR_N10000_HighBias_Thresh2.5_Seed100_FAIR_ALL.csv,9000,4,8481,519,0.0361,1.0374,0.0337,1.0,0.9639
XGBoost,HR_N10000_HighBias_Thresh2.5_Seed1100_BIASED_ALL.csv,9000,4,585,8415,0.3668,0.1205,0.301,0.0503,0.4171
XGBoost,HR_N10000_HighBias_Thresh2.5_Seed1100_FAIR_ALL.csv,9000,4,550,8450,0.0369,0.9631,0.0329,0.9631,1.0
XGBoost,HR_N10000_HighBias_Thresh2.5_Seed1200_BIASED_ALL.csv,9000,4,692,8308,0.3114,0.1131,0.2466,0.0397,0.3512
XGBoost,HR_N10000_HighBias_Thresh2.5_Seed1200_FAIR_ALL.csv,9000,4,8379,621,0.0329,1.0341,0.0267,1.0,0.9671
XGBoost,HR_N10000_HighBias_Thresh2.5_Seed1300_BIASED_ALL.csv,9000,4,605,8395,0.324,0.1209,0.2666,0.0446,0.3686
