model_name,name_dataset,bias_level,threshold,data_type,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1000_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,10000,0.9417,0.9347,0.7164,0.5821,0.6423,0.1925,8.6414,0.1282,0.2177,0.0252
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1000_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9417,0.9347,0.7164,0.5821,0.6423,0.1925,8.6414,0.1282,0.2177,0.0252
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1000_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,10000,0.659,0.8954,0.918,0.9724,0.9444,0.0023,0.9977,0.0005,0.966,0.9682
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,10000,0.9422,0.9286,0.6515,0.5966,0.6229,0.2151,9.4368,0.2616,0.2405,0.0255
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed100_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9422,0.9286,0.6515,0.5966,0.6229,0.2151,9.4368,0.2616,0.2405,0.0255
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,10000,0.659,0.8992,0.9174,0.9779,0.9467,0.0048,0.9951,0.0047,0.9716,0.9763
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,10000,0.9449,0.9312,0.7017,0.6144,0.6552,0.2179,8.9636,0.2891,0.2453,0.0274
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1100_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9449,0.9312,0.7017,0.6144,0.6552,0.2179,8.9636,0.2891,0.2453,0.0274
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,10000,0.6519,0.903,0.9265,0.9718,0.9486,0.0066,0.9932,0.0056,0.9615,0.9681
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1200_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,10000,0.9453,0.9358,0.7026,0.5886,0.6405,0.1898,8.7588,0.3284,0.2142,0.0245
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1200_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9453,0.9358,0.7026,0.5886,0.6405,0.1898,8.7588,0.3284,0.2142,0.0245
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1200_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,10000,0.709,0.9029,0.9256,0.9726,0.9485,0.0016,1.0016,0.0007,0.9669,0.9653
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1300_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,10000,0.9444,0.9327,0.6766,0.595,0.6332,0.2096,9.7918,0.2863,0.2334,0.0238
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1300_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9444,0.9327,0.6766,0.595,0.6332,0.2096,9.7918,0.2863,0.2334,0.0238
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1300_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,10000,0.6984,0.906,0.9229,0.9796,0.9504,0.007,1.0072,0.0066,0.9807,0.9737
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1400_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,10000,0.9328,0.9281,0.6841,0.5542,0.6123,0.1883,8.3599,0.2487,0.2138,0.0256
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1400_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9328,0.9281,0.6841,0.5542,0.6123,0.1883,8.3599,0.2487,0.2138,0.0256
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1400_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,10000,0.6606,0.8938,0.9183,0.9704,0.9436,0.0018,0.9981,0.003,0.9667,0.9685
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1500_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,10000,0.9428,0.9308,0.6867,0.5603,0.6171,0.1943,9.2993,0.2549,0.2177,0.0234
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1500_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9428,0.9308,0.6867,0.5603,0.6171,0.1943,9.2993,0.2549,0.2177,0.0234
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1500_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,10000,0.6869,0.8912,0.9172,0.9684,0.9421,0.0016,1.0017,0.0008,0.9664,0.9647
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1600_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,10000,0.942,0.9286,0.6635,0.6139,0.6377,0.2179,8.2849,0.2833,0.2478,0.0299
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1600_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.942,0.9286,0.6635,0.6139,0.6377,0.2179,8.2849,0.2833,0.2478,0.0299
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1600_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,10000,0.6538,0.8892,0.9163,0.9669,0.9409,0.0125,1.013,0.0124,0.9716,0.9592
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1700_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,10000,0.9464,0.9318,0.6847,0.6098,0.6451,0.2189,10.0337,0.2731,0.2431,0.0242
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1700_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9464,0.9318,0.6847,0.6098,0.6451,0.2189,10.0337,0.2731,0.2431,0.0242
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1700_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,10000,0.6677,0.8969,0.9214,0.9703,0.9452,0.0075,1.0078,0.0052,0.9707,0.9632
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1800_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,10000,0.9459,0.9284,0.6475,0.6418,0.6446,0.2306,8.6769,0.2857,0.2606,0.03
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1800_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9459,0.9284,0.6475,0.6418,0.6446,0.2306,8.6769,0.2857,0.2606,0.03
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1800_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,10000,0.6473,0.8999,0.9207,0.9748,0.947,0.0084,1.0087,0.0052,0.9767,0.9684
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1900_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,10000,0.9421,0.9246,0.6475,0.6096,0.6279,0.2205,7.9591,0.2115,0.2522,0.0317
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1900_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9421,0.9246,0.6475,0.6096,0.6279,0.2205,7.9591,0.2115,0.2522,0.0317
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed1900_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,10000,0.6686,0.8972,0.9238,0.9682,0.9455,0.0047,0.9951,0.0052,0.9614,0.9661
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed2000_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,10000,0.9391,0.9311,0.6928,0.5859,0.6349,0.1895,7.6213,0.1383,0.2181,0.0286
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed2000_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9391,0.9311,0.6928,0.5859,0.6349,0.1895,7.6213,0.1383,0.2181,0.0286
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed2000_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,10000,0.6288,0.8971,0.92,0.9724,0.9455,0.0332,1.0346,0.0305,0.9931,0.9599
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed200_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,10000,0.9328,0.9254,0.6714,0.5529,0.6065,0.1877,7.8253,0.1336,0.2152,0.0275
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed200_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9328,0.9254,0.6714,0.5529,0.6065,0.1877,7.8253,0.1336,0.2152,0.0275
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed200_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,10000,0.6663,0.8991,0.9212,0.9734,0.9466,0.0042,0.9956,0.0047,0.9668,0.9711
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed300_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,10000,0.9376,0.9229,0.654,0.5371,0.5898,0.2073,10.4834,0.1623,0.2291,0.0219
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed300_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9376,0.9229,0.654,0.5371,0.5898,0.2073,10.4834,0.1623,0.2291,0.0219
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed300_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,10000,0.6496,0.8996,0.9209,0.9742,0.9468,0.0012,0.9987,0.0025,0.9695,0.9707
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed400_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,10000,0.9436,0.9282,0.6574,0.6202,0.6383,0.1987,6.3254,0.1281,0.236,0.0373
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed400_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,10000,0.9436,0.9282,0.6574,0.6202,0.6383,0.1987,6.3254,0.1281,0.236,0.0373
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed400_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,10000,0.6528,0.8924,0.9206,0.9656,0.9425,0.0071,0.9926,0.0059,0.9531,0.9602
XGBoost,HR_N10000_HighBias_Thresh1.0_Seed500_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,10000,0.9326,0.9224,0.6335,0.5686,0.5993,0.2254,10.0936,0.2592,0.2502,0.0248
