model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_0_8_nodes_full_data.csv,9000,5,4323,4677,0.4158,2.4793,0.0269,0.6968,0.2811
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_1_8_nodes_full_data.csv,9000,5,4794,4206,0.678,0.1719,0.4829,0.1408,0.8187
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_2_8_nodes_full_data.csv,9000,5,2304,6696,0.671,inf,0.978,0.671,0.0
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_3_8_nodes_full_data.csv,9000,5,4917,4083,0.73,0.1154,0.1319,0.0953,0.8253
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_4_8_nodes_full_data.csv,9000,5,4503,4497,0.6112,0.2062,0.4611,0.1588,0.7699
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_5_8_nodes_full_data.csv,9000,5,5922,3078,0.7213,0.0107,0.1563,0.0078,0.7291
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_6_8_nodes_full_data.csv,9000,5,4524,4476,0.1545,1.3641,0.2081,0.5786,0.4242
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_7_8_nodes_full_data.csv,9000,5,4645,4355,0.6507,4.9358,0.2811,0.8161,0.1653
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_8_8_nodes_full_data.csv,9000,5,4675,4325,0.4925,2.8705,0.0647,0.7558,0.2633
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_9_8_nodes_full_data.csv,9000,5,2860,6140,0.1132,1.2762,0.0273,0.523,0.4098
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_0_8_nodes_full_data.csv,9000,10,4289,4711,0.1433,0.7514,0.0889,0.4332,0.5766
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_1_8_nodes_full_data.csv,9000,10,5735,3265,0.7262,0.0778,0.2962,0.0613,0.7874
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_2_8_nodes_full_data.csv,9000,10,3946,5054,0.5086,3.3805,0.1575,0.7222,0.2136
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_3_8_nodes_full_data.csv,9000,10,3367,5633,0.7109,0.2338,0.2667,0.2169,0.9278
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_4_8_nodes_full_data.csv,9000,10,4332,4668,0.8528,0.0905,0.17,0.0848,0.9377
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_5_8_nodes_full_data.csv,9000,10,4403,4597,0.7254,0.1445,0.6188,0.1225,0.8478
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_6_8_nodes_full_data.csv,9000,10,3895,5105,0.4113,0.4343,0.1862,0.3158,0.7271
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_7_8_nodes_full_data.csv,9000,10,3657,5343,0.6833,0.2534,0.1672,0.2319,0.9152
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_8_8_nodes_full_data.csv,9000,10,3781,5219,0.5037,3.5947,0.566,0.6978,0.1941
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_9_8_nodes_full_data.csv,9000,10,5292,3708,0.6704,0.1277,0.1773,0.0982,0.7685
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_0_8_nodes_full_data.csv,9000,20,5203,3797,0.1171,1.243,0.0939,0.5992,0.482
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_1_8_nodes_full_data.csv,9000,20,6449,2551,0.5702,2.8732,0.5334,0.8746,0.3044
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_2_8_nodes_full_data.csv,9000,20,3910,5090,0.3174,2.1545,0.3929,0.5923,0.2749
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_3_8_nodes_full_data.csv,9000,20,4130,4870,0.3518,0.4846,0.1788,0.3308,0.6826
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_4_8_nodes_full_data.csv,9000,20,3244,5756,0.7722,0.2249,0.1079,0.2241,0.9963
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_5_8_nodes_full_data.csv,9000,20,6029,2971,0.7181,0.0229,0.2291,0.0168,0.7349
