model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_0_8_nodes_full_data.csv,3,6,0,10000,0.9126,0.8258,0.8212,0.8329,0.827,0.1056,0.8115,0.061,0.4544,0.56
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_1_8_nodes_full_data.csv,3,6,0,10000,0.7166,0.661,0.6834,0.6,0.639,0.138,1.3726,0.178,0.5083,0.3703
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_2_8_nodes_full_data.csv,3,6,0,10000,0.9479,0.8857,0.8775,0.8964,0.8869,0.0235,0.955,0.0005,0.499,0.5225
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_3_8_nodes_full_data.csv,3,6,0,10000,0.9134,0.8322,0.8387,0.8227,0.8306,0.1364,0.7559,0.0329,0.4224,0.5588
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_4_8_nodes_full_data.csv,3,6,0,10000,0.9882,0.9398,0.938,0.9418,0.9399,0.3753,2.1948,0.0753,0.6895,0.3141
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_5_8_nodes_full_data.csv,3,6,0,10000,0.9319,0.8808,0.8731,0.8911,0.882,0.0131,1.026,0.026,0.5169,0.5038
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_6_8_nodes_full_data.csv,3,6,0,10000,0.9071,0.8198,0.8316,0.802,0.8165,0.1925,0.6672,0.1331,0.3858,0.5783
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_7_8_nodes_full_data.csv,3,6,0,10000,0.9858,0.9359,0.9278,0.9453,0.9365,0.4529,2.6021,0.0261,0.7355,0.2827
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_8_8_nodes_full_data.csv,3,6,0,10000,0.8814,0.8147,0.8307,0.7904,0.8101,0.5486,0.2679,0.4949,0.2008,0.7493
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_9_8_nodes_full_data.csv,3,6,0,10000,0.9119,0.83,0.8225,0.8416,0.8319,0.2431,0.616,0.165,0.39,0.6331
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_0_8_nodes_full_data.csv,3,6,5,10000,0.8371,0.7682,0.7698,0.7653,0.7676,0.7607,7.5186,0.7435,0.8774,0.1167
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_1_8_nodes_full_data.csv,3,6,5,10000,0.9133,0.8294,0.8282,0.8313,0.8298,0.7225,6.0453,0.5419,0.8657,0.1432
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_2_8_nodes_full_data.csv,3,6,5,10000,0.9981,0.9788,0.9795,0.978,0.9788,0.5273,3.2353,0.0465,0.7632,0.2359
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_3_8_nodes_full_data.csv,3,6,5,10000,0.9945,0.9597,0.9651,0.9538,0.9594,0.7106,0.1652,0.1363,0.1406,0.8512
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_4_8_nodes_full_data.csv,3,6,5,10000,0.938,0.877,0.9058,0.8416,0.8725,0.0414,1.0934,0.0351,0.4852,0.4438
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_5_8_nodes_full_data.csv,3,6,5,10000,0.9872,0.9427,0.9588,0.9251,0.9416,0.6137,0.2233,0.18,0.1764,0.7901
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_6_8_nodes_full_data.csv,3,6,5,10000,0.5785,0.5528,0.5527,0.5538,0.5532,0.1478,1.3462,0.1661,0.5747,0.4269
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_7_8_nodes_full_data.csv,3,6,5,10000,0.9763,0.9211,0.9385,0.9013,0.9195,0.5896,4.1625,0.2482,0.7761,0.1864
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_8_8_nodes_full_data.csv,3,6,5,10000,0.9568,0.8942,0.8942,0.8942,0.8942,0.4258,2.4815,0.1003,0.7132,0.2874
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_9_8_nodes_full_data.csv,3,6,5,10000,0.9509,0.8819,0.8921,0.8689,0.8803,0.0569,0.8896,0.0013,0.4585,0.5154
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_0_8_nodes_full_data.csv,3,6,10,10000,0.6044,0.5718,0.5716,0.5733,0.5724,0.0469,0.9107,0.0525,0.478,0.5249
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_1_8_nodes_full_data.csv,3,6,10,10000,0.9535,0.8716,0.8545,0.8956,0.8746,0.4471,0.4009,0.1154,0.2991,0.7462
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_2_8_nodes_full_data.csv,3,6,10,10000,0.8952,0.8234,0.8239,0.8227,0.8233,0.2265,0.6297,0.0585,0.3852,0.6117
