model_name,name_dataset,bias_level,threshold,data_type,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
CFFair_Oracle,HR_N1000_HighBias_Thresh1.0_Seed1000_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.9566,0.945,0.7778,0.6667,0.7179,0.0729,0.416700005531311,0.1429,0.0521,0.125
CFFair_Oracle,HR_N1000_HighBias_Thresh1.0_Seed1000_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.8007,0.905,0.9184,0.9836,0.9499,0.0169,0.9829000234603882,0.0297,0.9722,0.9891
CFFair_Oracle,HR_N1000_HighBias_Thresh1.0_Seed100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.9503,0.94,0.7857,0.55,0.6471,0.1346,0.0,0.6111,0.0,0.1346
CFFair_Oracle,HR_N1000_HighBias_Thresh1.0_Seed100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.7906,0.925,0.9293,0.9946,0.9608,0.0012,1.0011999607086182,0.0114,0.9906,0.9894
CFFair_Oracle,HR_N1000_HighBias_Thresh1.0_Seed1100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.9713,0.95,0.7895,0.7143,0.75,0.0758,0.4347000122070312,0.1442,0.0583,0.134
CFFair_Oracle,HR_N1000_HighBias_Thresh1.0_Seed1100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.805,0.915,0.9196,0.9946,0.9556,0.0103,0.9897000193595886,0.011,0.9897,1.0
CFFair_Oracle,HR_N1000_HighBias_Thresh1.0_Seed1200_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.9489,0.935,0.7647,0.5909,0.6667,0.0801,0.3470000028610229,0.1042,0.0426,0.1226
CFFair_Oracle,HR_N1000_HighBias_Thresh1.0_Seed1200_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.7316,0.895,0.899,0.9944,0.9443,0.0177,1.0180000066757202,0.0097,1.0,0.9823
CFFair_Oracle,HR_N1000_HighBias_Thresh1.0_Seed1300_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.9678,0.935,0.7857,0.5238,0.6286,0.0428,0.5338000059127808,0.4333,0.049,0.0918
CFFair_Oracle,HR_N1000_HighBias_Thresh1.0_Seed1300_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.7728,0.91,0.9192,0.9891,0.9529,0.0189,1.0191999673843384,0.0211,1.0,0.9811
