model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_0_8_nodes_full_data.csv,3,6,5,10000,0.9893,0.939,0.9649,0.9111,0.9372,0.5747,4.1113,0.1135,0.7594,0.1847
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_1_8_nodes_full_data.csv,3,6,5,10000,0.9868,0.961,0.9546,0.968,0.9613,0.7057,5.5045,0.152,0.8624,0.1567
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_2_8_nodes_full_data.csv,3,6,5,10000,0.9943,0.9558,0.939,0.9749,0.9566,0.4992,2.8497,0.029,0.769,0.2699
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_3_8_nodes_full_data.csv,3,6,5,10000,0.9837,0.9239,0.8914,0.9653,0.9269,0.6378,0.2601,0.0275,0.2242,0.862
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_4_8_nodes_full_data.csv,3,6,5,10000,0.9028,0.8406,0.8565,0.8182,0.8369,0.133,1.3234,0.1134,0.544,0.4111
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_5_8_nodes_full_data.csv,3,6,5,10000,0.9825,0.9214,0.9391,0.9013,0.9198,0.5983,0.2328,0.2306,0.1815,0.7799
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_6_8_nodes_full_data.csv,3,6,5,10000,0.7815,0.7014,0.7128,0.6747,0.6932,0.3257,2.0512,0.3277,0.6356,0.3099
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_7_8_nodes_full_data.csv,3,6,5,10000,0.9324,0.858,0.8484,0.8718,0.8599,0.6597,4.5634,0.5237,0.8448,0.1851
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_8_8_nodes_full_data.csv,3,6,5,10000,0.9452,0.8634,0.8272,0.9189,0.8706,0.5208,2.7632,0.1566,0.8162,0.2954
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_9_8_nodes_full_data.csv,3,6,5,10000,0.8324,0.7566,0.7877,0.7024,0.7426,0.0681,0.8581,0.0371,0.4118,0.4799
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_0_8_nodes_full_data.csv,3,6,10,10000,0.9769,0.9141,0.8984,0.9338,0.9158,0.1252,0.7849,0.0697,0.4568,0.582
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_1_8_nodes_full_data.csv,3,6,10,10000,0.9934,0.9577,0.9472,0.9693,0.9582,0.4763,0.3635,0.0645,0.2721,0.7484
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_2_8_nodes_full_data.csv,3,6,10,10000,0.9832,0.9238,0.9301,0.9164,0.9232,0.3188,0.5103,0.1063,0.3321,0.6509
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_3_8_nodes_full_data.csv,3,6,10,10000,0.9546,0.8774,0.9345,0.8118,0.8688,0.1734,1.4991,0.0799,0.5208,0.3474
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_4_8_nodes_full_data.csv,3,6,10,10000,0.9909,0.9521,0.961,0.9424,0.9516,0.1391,1.3306,0.0275,0.5599,0.4208
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_5_8_nodes_full_data.csv,3,6,10,10000,0.9909,0.9458,0.9665,0.9236,0.9445,0.7106,6.8502,0.3016,0.832,0.1215
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_6_8_nodes_full_data.csv,3,6,10,10000,0.9247,0.8479,0.8816,0.8038,0.8409,0.3591,2.2999,0.265,0.6354,0.2763
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_7_8_nodes_full_data.csv,3,6,10,10000,0.9725,0.907,0.9564,0.8529,0.9017,0.0805,1.1986,0.0162,0.486,0.4054
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_8_8_nodes_full_data.csv,3,6,10,10000,0.983,0.9347,0.9291,0.9411,0.9351,0.0682,1.1444,0.0095,0.5404,0.4722
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_9_8_nodes_full_data.csv,3,6,10,10000,0.9612,0.9021,0.8967,0.9089,0.9028,0.318,0.5221,0.1067,0.3473,0.6653
CFFair_Oracle,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_0_8_nodes_full_data.csv,3,6,20,10000,0.9569,0.8887,0.8817,0.8978,0.8897,0.1452,0.7502,0.0422,0.4361,0.5813
