model_name,name_dataset,bias_level,threshold,data_type,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1000_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.9018,0.93,0.7692,0.4762,0.5882,0.0302,1.5573,0.425,0.0845,0.0543
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1000_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.9018,0.93,0.7692,0.4762,0.5882,0.0302,1.5573,0.425,0.0845,0.0543
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1000_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.7695,0.915,0.915,1.0,0.9556,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.9061,0.93,0.7143,0.5,0.5882,0.1171,4.3017,0.0,0.1525,0.0355
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed100_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.9061,0.93,0.7143,0.5,0.5882,0.1171,4.3017,0.0,0.1525,0.0355
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.7369,0.925,0.925,1.0,0.961,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.9199,0.915,0.6429,0.4286,0.5143,0.0957,3.2644,0.2778,0.1379,0.0423
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1100_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.9199,0.915,0.6429,0.4286,0.5143,0.0957,3.2644,0.2778,0.1379,0.0423
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.8336,0.92,0.92,1.0,0.9583,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1200_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.8486,0.9,0.5625,0.4091,0.4737,0.1208,3.7978,0.45,0.1639,0.0432
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1200_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.8486,0.9,0.5625,0.4091,0.4737,0.1208,3.7978,0.45,0.1639,0.0432
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1200_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.7358,0.895,0.895,1.0,0.9446,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1300_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.9417,0.94,0.9091,0.4762,0.625,0.0295,1.6542,0.3571,0.0746,0.0451
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1300_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.9417,0.94,0.9091,0.4762,0.625,0.0295,1.6542,0.3571,0.0746,0.0451
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1300_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.7048,0.92,0.92,1.0,0.9583,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1400_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.8855,0.92,0.7692,0.4348,0.5556,0.0056,1.0881,0.6071,0.069,0.0634
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1400_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.8855,0.92,0.7692,0.4348,0.5556,0.0056,1.0881,0.6071,0.069,0.0634
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1400_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.6525,0.93,0.93,1.0,0.9637,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1500_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.8394,0.895,0.5556,0.2273,0.3226,0.0017,1.0385,0.4824,0.0462,0.0444
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1500_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.8394,0.895,0.5556,0.2273,0.3226,0.0017,1.0385,0.4824,0.0462,0.0444
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1500_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.7999,0.905,0.905,1.0,0.9501,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1600_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.8311,0.935,0.9,0.4286,0.5806,0.0645,2.9216,0.7059,0.098,0.0336
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1600_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.8311,0.935,0.9,0.4286,0.5806,0.0645,2.9216,0.7059,0.098,0.0336
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1600_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.6895,0.915,0.915,1.0,0.9556,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1700_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.9364,0.935,0.75,0.3529,0.48,0.0327,0.3414,0.4306,0.0169,0.0496
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1700_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.9364,0.935,0.75,0.3529,0.48,0.0327,0.3414,0.4306,0.0169,0.0496
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1700_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.7887,0.92,0.92,1.0,0.9583,0.0,1.0,0.0,1.0,1.0
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1800_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.9883,0.935,0.8889,0.4,0.5517,0.0415,2.2189,0.0,0.0755,0.034
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1800_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.9883,0.935,0.8889,0.4,0.5517,0.0415,2.2189,0.0,0.0755,0.034
FairPFN,HR_N1000_HighBias_Thresh1.0_Seed1800_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.6865,0.91,0.91,1.0,0.9529,0.0,1.0,0.0,1.0,1.0
