model_name,name_dataset,bias_level,threshold,data_type,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1000_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,1000,0.9356,0.915,0.6,0.5714,0.5854,0.2162,10.2958,0.4875,0.2394,0.0233
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1000_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.9356,0.915,0.6,0.5714,0.5854,0.2162,10.2958,0.4875,0.2394,0.0233
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1000_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,1000,0.6879,0.885,0.9124,0.9672,0.939,0.0163,1.0169,0.0189,0.9818,0.9655
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,1000,0.8944,0.935,0.7333,0.55,0.6286,0.2062,15.5339,0.375,0.2203,0.0142
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed100_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.8944,0.935,0.7333,0.55,0.6286,0.2062,15.5339,0.375,0.2203,0.0142
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,1000,0.5865,0.915,0.9286,0.9838,0.9554,0.0509,0.9487,0.0344,0.9423,0.9932
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,1000,0.9298,0.935,0.7222,0.619,0.6667,0.2618,19.5862,0.3333,0.2759,0.0141
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1100_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.9298,0.935,0.7222,0.619,0.6667,0.2618,19.5862,0.3333,0.2759,0.0141
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,1000,0.7441,0.91,0.9235,0.9837,0.9526,0.0034,1.0035,0.0041,0.9825,0.979
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1200_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,1000,0.917,0.925,0.6842,0.5909,0.6341,0.2643,19.3689,0.65,0.2787,0.0144
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1200_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.917,0.925,0.6842,0.5909,0.6341,0.2643,19.3689,0.65,0.2787,0.0144
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1200_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,1000,0.6457,0.87,0.9005,0.9609,0.9297,0.0003,1.0004,0.0153,0.9552,0.9549
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1300_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,1000,0.9463,0.93,0.6522,0.7143,0.6818,0.2535,9.4291,0.2143,0.2836,0.0301
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1300_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.9463,0.93,0.6522,0.7143,0.6818,0.2535,9.4291,0.2143,0.2836,0.0301
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1300_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,1000,0.502,0.91,0.9278,0.9783,0.9524,0.0455,1.0476,0.0333,1.0,0.9545
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1400_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,1000,0.9472,0.905,0.5714,0.6957,0.6275,0.3128,7.3448,0.3839,0.3621,0.0493
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1400_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.9472,0.905,0.5714,0.6957,0.6275,0.3128,7.3448,0.3839,0.3621,0.0493
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1400_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,1000,0.5764,0.915,0.9378,0.9731,0.9551,0.0204,0.979,0.0382,0.9508,0.9712
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1500_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,1000,0.9122,0.915,0.619,0.5909,0.6047,0.1863,5.1923,0.0118,0.2308,0.0444
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1500_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.9122,0.915,0.619,0.5909,0.6047,0.1863,5.1923,0.0118,0.2308,0.0444
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1500_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,1000,0.6249,0.86,0.9091,0.9392,0.9239,0.0227,0.9759,0.0172,0.9194,0.942
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1600_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,1,6,4,1000,0.9444,0.925,0.7143,0.4762,0.5714,0.2219,17.5294,0.0294,0.2353,0.0134
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1600_BIASED_FAIRNESS.csv,HighBias,1.0,BIASED_FAIRNESS,1,6,0,1000,0.9444,0.925,0.7143,0.4762,0.5714,0.2219,17.5294,0.0294,0.2353,0.0134
XGBoost,HR_N1000_HighBias_Thresh1.0_Seed1600_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,1,6,4,1000,0.6509,0.895,0.9133,0.9781,0.9446,0.002,1.0021,0.0026,0.9815,0.9795
