model_name,name_dataset,bias_level,threshold,data_type,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0,seed,regime,DIR_dist,Statistical_Parity_Diff_(ATE)_clip,Equal_Opportunity_Diff_clip,DIR_dist_clip,DOFS,DOFS_predictive,DOFS_fairness
CFFair,HR_N1000_HighBias_Thresh1.0_Seed1000_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.9566,0.945,0.7778,0.6667,0.7179,0.0729,0.416700005531311,0.1429,0.0521,0.125,1000,Semi-Synthetic (HR),0.583299994468689,0.0729,0.1429,0.583299994468689,0.7436426097729831,0.7877211015805975,0.6872851205136895
CFFair,HR_N1000_HighBias_Thresh1.0_Seed1000_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.8007,0.905,0.9184,0.9836,0.9499,0.0169,0.9829000234603882,0.0297,0.9722,0.9891,1000,Semi-Synthetic (HR),0.017099976539611816,0.0169,0.0297,0.017099976539611816,0.9157550740861499,0.8943952415743049,0.9779573077310004
CFFair,HR_N1000_HighBias_Thresh1.0_Seed100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.9503,0.94,0.7857,0.55,0.6471,0.1346,0.0,0.6111,0.0,0.1346,100,Semi-Synthetic (HR),1.0,0.1346,0.6111,1.0,0.6012446750073408,0.7416994801213965,0.4457632367296159
CFFair,HR_N1000_HighBias_Thresh1.0_Seed100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.7906,0.925,0.9293,0.9946,0.9608,0.0012,1.0011999607086182,0.0114,0.9906,0.9894,100,Semi-Synthetic (HR),0.001198522528675361,0.0012,0.0114,0.001198522528675361,0.9189930985985999,0.8970719184629916,0.9933594884139427
CFFair,HR_N1000_HighBias_Thresh1.0_Seed1100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.9713,0.95,0.7895,0.7143,0.75,0.0758,0.4347000122070312,0.1442,0.0583,0.134,1100,Semi-Synthetic (HR),0.5652999877929688,0.0758,0.1442,0.5652999877929688,0.7587017210418067,0.8112418015896157,0.6937162179065941
CFFair,HR_N1000_HighBias_Thresh1.0_Seed1100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.805,0.915,0.9196,0.9946,0.9556,0.0103,0.9897000193595886,0.011,0.9897,1.0,1100,Semi-Synthetic (HR),0.010299980640411377,0.0103,0.011,0.010299980640411377,0.920116188305418,0.8987604569083412,0.9894615605038988
CFFair,HR_N1000_HighBias_Thresh1.0_Seed1200_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.9489,0.935,0.7647,0.5909,0.6667,0.0801,0.3470000028610229,0.1042,0.0426,0.1226,1200,Semi-Synthetic (HR),0.652999997138977,0.0801,0.1042,0.652999997138977,0.7147016758965096,0.7526190517433482,0.6663124068839809
CFFair,HR_N1000_HighBias_Thresh1.0_Seed1200_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.7316,0.895,0.899,0.9944,0.9443,0.0177,1.0180000066757202,0.0097,1.0,0.9823,1200,Semi-Synthetic (HR),0.01768173532188788,0.0177,0.0097,0.01768173532188788,0.8941870980239103,0.865982584894515,0.9845151220970787
CFFair,HR_N1000_HighBias_Thresh1.0_Seed1300_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,1000,0.9678,0.935,0.7857,0.5238,0.6286,0.0428,0.5338000059127808,0.4333,0.049,0.0918,1300,Semi-Synthetic (HR),0.46619999408721924,0.0428,0.4333,0.46619999408721924,0.7032268476663951,0.7318432815363344,0.6591894526474326
CFFair,HR_N1000_HighBias_Thresh1.0_Seed1300_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,1000,0.7728,0.91,0.9192,0.9891,0.9529,0.0189,1.0191999673843384,0.0211,1.0,0.9811,1300,Semi-Synthetic (HR),0.018838273154200502,0.0189,0.0211,0.018838273154200502,0.9094780015139854,0.8861679732479576,0.9803596165823186
