model_name,name_dataset,bias_level,threshold,data_type,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0,seed,regime,DIR_dist,Statistical_Parity_Diff_(ATE)_clip,Equal_Opportunity_Diff_clip,DIR_dist_clip,DOFS,DOFS_predictive,DOFS_fairness
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1000_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.9459,0.9344,0.7072,0.5965,0.6471,0.0063,0.929099977016449,0.2403,0.0819,0.0882,1000,Semi-Synthetic (HR),0.07090002298355103,0.0063,0.2403,0.07090002298355103,0.7784441424781191,0.7387964837145172,0.8614410416370618
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1000_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.692,0.9129,0.9147,0.9977,0.9544,0.0002,1.0002000331878662,0.0017,0.9964,0.9962,1000,Semi-Synthetic (HR),0.00019999318259233956,0.0002,0.0017,0.00019999318259233956,0.8881562068397344,0.8575970181531706,0.9990053066923534
CFFair,HR_N10000_HighBias_Thresh1.0_Seed100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.9367,0.9296,0.6744,0.5562,0.6096,0.0021,0.9751999974250792,0.192,0.0805,0.0826,100,Semi-Synthetic (HR),0.024800002574920765,0.0021,0.192,0.024800002574920765,0.7676387898525907,0.7134080459944158,0.8927958257630875
CFFair,HR_N10000_HighBias_Thresh1.0_Seed100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7032,0.9102,0.9153,0.9938,0.9529,0.0016,0.9983000159263612,0.0013,0.9922,0.9938,100,Semi-Synthetic (HR),0.001699984073638805,0.0016,0.0013,0.001699984073638805,0.8909419803837475,0.8610770538134793,0.9984572954977631
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1100_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.9363,0.9256,0.671,0.5883,0.6269,0.0015,1.0160000324249268,0.2534,0.094,0.0925,1100,Semi-Synthetic (HR),0.015748062907772642,0.0015,0.2534,0.015748062907772642,0.7690741665133072,0.7235802244265453,0.8621898312706555
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1100_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7266,0.9198,0.9228,0.9963,0.9581,0.0005,0.9994999766349792,0.0002,0.9942,0.9947,1100,Semi-Synthetic (HR),0.000500023365020752,0.0005,0.0002,0.000500023365020752,0.899572632361584,0.8721328722325439,0.9995757370517058
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1200_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.9414,0.9341,0.6932,0.5783,0.6305,0.0037,1.0461000204086304,0.2926,0.0829,0.0793,1200,Semi-Synthetic (HR),0.04406846334887049,0.0037,0.2926,0.04406846334887049,0.7656520689942538,0.7276458806255954,0.8398095429527024
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1200_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7542,0.9168,0.9244,0.9904,0.9563,0.0064,1.006500005722046,0.0054,0.988,0.9816,1200,Semi-Synthetic (HR),0.006458028499843782,0.0064,0.0054,0.006458028499843782,0.9068412943628906,0.8815740742718322,0.9938947623932258
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1300_BIASED_ALL.csv,HighBias,1.0,BIASED_ALL,2,6,4,10000,0.9355,0.9291,0.772,0.3891,0.5174,0.0117,0.7876999974250793,0.2124,0.0433,0.055,1300,Semi-Synthetic (HR),0.21230000257492065,0.0117,0.2124,0.21230000257492065,0.7192235484425205,0.6701159952598766,0.8320718516488702
CFFair,HR_N10000_HighBias_Thresh1.0_Seed1300_FAIR_ALL.csv,HighBias,1.0,FAIR_ALL,2,6,4,10000,0.7335,0.9191,0.9204,0.9983,0.9578,0.0005,0.9994999766349792,0.0,0.9969,0.9974,1300,Semi-Synthetic (HR),0.000500023365020752,0.0005,0.0,0.000500023365020752,0.901278627941961,0.8742801103226145,0.9995917727650794
