model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0,sample_size_label,base_nodes,u_frac,seed,total_nodes,nonlinear_pattern,regime,DIR_dist,Statistical_Parity_Diff_(ATE)_clip,Equal_Opportunity_Diff_clip,DIR_dist_clip,DOFS,DOFS_predictive,DOFS_fairness,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_0_8_nodes_full_data.csv,3,6,0,10000,0.9211,0.8358,0.8545,0.8093,0.8313,0.0326,0.9334,0.0171,0.4573,0.4899,Large,10,0.0,0,8,Linear_ReLU_50%,Synthetic (SF),0.06659999999999999,0.0326,0.0171,0.06659999999999999,0.877362820389528,0.8464757346405742,0.956301009700453,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_1_8_nodes_full_data.csv,3,6,0,10000,0.7304,0.684,0.7413,0.5653,0.6415,0.0702,1.2026,0.1019,0.4166,0.3464,Large,10,0.0,1,8,Linear_ReLU_50%,Synthetic (SF),0.1684683186429402,0.0702,0.1019,0.1684683186429402,0.7355017068302419,0.6693293971248062,0.8802872640482704,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_2_8_nodes_full_data.csv,3,6,0,10000,0.9554,0.8937,0.8911,0.8969,0.894,0.0342,0.9343,0.0165,0.4861,0.5203,Large,10,0.0,2,8,Linear_ReLU_50%,Synthetic (SF),0.06569999999999998,0.0342,0.0165,0.06569999999999998,0.919483794563844,0.9033727336210134,0.9564161697116048,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_3_8_nodes_full_data.csv,3,6,0,10000,0.9115,0.831,0.8251,0.84,0.8325,0.0016,0.9969,0.1095,0.5082,0.5098,Large,10,0.0,3,8,Linear_ReLU_50%,Synthetic (SF),0.0030999999999999917,0.0016,0.1095,0.0030999999999999917,0.8740203264962261,0.8452808924836106,0.9383816168286568,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_4_8_nodes_full_data.csv,3,6,0,10000,0.9574,0.8823,0.8872,0.876,0.8816,0.1929,1.4858,0.096,0.59,0.3971,Large,10,0.0,4,8,Linear_ReLU_50%,Synthetic (SF),0.3269619060438821,0.1929,0.096,0.3269619060438821,0.8414734109610534,0.8930216937755234,0.7797415021868416,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_5_8_nodes_full_data.csv,3,6,0,10000,0.9381,0.8849,0.878,0.894,0.8859,0.0342,1.0695,0.0532,0.5262,0.492,Large,10,0.0,5,8,Linear_ReLU_50%,Synthetic (SF),0.06498363721365119,0.0342,0.0532,0.06498363721365119,0.9108172722095226,0.894225616875122,0.9477321509487169,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_6_8_nodes_full_data.csv,3,6,0,10000,0.9043,0.8207,0.8752,0.748,0.8066,0.0717,0.8451,0.0038,0.3914,0.4632,Large,10,0.0,6,8,Linear_ReLU_50%,Synthetic (SF),0.15490000000000004,0.0717,0.0038,0.15490000000000004,0.850348348375572,0.8241827907289291,0.9037229796383137,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_7_8_nodes_full_data.csv,3,6,0,10000,0.9098,0.8111,0.8413,0.7669,0.8024,0.1208,1.3056,0.2864,0.5161,0.3953,Large,10,0.0,7,8,Linear_ReLU_50%,Synthetic (SF),0.23406862745098045,0.1208,0.2864,0.23406862745098045,0.8042109063573507,0.8211995422274666,0.7784338189873982,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_8_8_nodes_full_data.csv,3,6,0,10000,0.7827,0.715,0.7195,0.7047,0.712,0.1292,0.7669,0.0325,0.4249,0.5541,Large,10,0.0,8,8,Linear_ReLU_50%,Synthetic (SF),0.23309999999999997,0.1292,0.0325,0.23309999999999997,0.7680605737588381,0.7258653525112512,0.8491039451321973,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p0_seed_9_8_nodes_full_data.csv,3,6,0,10000,0.8914,0.8008,0.806,0.7922,0.7991,0.0278,0.945,0.0522,0.4776,0.5053,Large,10,0.0,9,8,Linear_ReLU_50%,Synthetic (SF),0.05500000000000005,0.0278,0.0522,0.05500000000000005,0.8535688082599195,0.8150199527290352,0.953450843293007,,,
