model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0,sample_size_label,base_nodes,u_frac,seed,total_nodes,nonlinear_pattern,regime,DIR_dist,Statistical_Parity_Diff_(ATE)_clip,Equal_Opportunity_Diff_clip,DIR_dist_clip,DOFS,DOFS_predictive,DOFS_fairness
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_0_8_nodes_full_data.csv,3,6,5,10000,0.9893,0.939,0.9649,0.9111,0.9372,0.5747,4.1113,0.1135,0.7594,0.1847,Large,10,0.5,0,8,Linear_ReLU_50%,Synthetic (SF),0.7567679322841924,0.5747,0.1135,0.7567679322841924,0.708789739292631,0.9422321744290365,0.5141818901939998
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_1_8_nodes_full_data.csv,3,6,5,10000,0.9868,0.961,0.9546,0.968,0.9613,0.7057,5.5045,0.152,0.8624,0.1567,Large,10,0.5,1,8,Linear_ReLU_50%,Synthetic (SF),0.8183304568989009,0.7057,0.152,0.8183304568989009,0.6820487278751077,0.9646303141131859,0.45630083133902927
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_2_8_nodes_full_data.csv,3,6,5,10000,0.9943,0.9558,0.939,0.9749,0.9566,0.4992,2.8497,0.029,0.769,0.2699,Large,10,0.5,2,8,Linear_ReLU_50%,Synthetic (SF),0.649085868687932,0.4992,0.029,0.649085868687932,0.7476653577396168,0.959647832810685,0.5834190372188992
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_3_8_nodes_full_data.csv,3,6,5,10000,0.9837,0.9239,0.8914,0.9653,0.9269,0.6378,0.2601,0.0275,0.2242,0.862,Large,10,0.5,3,8,Linear_ReLU_50%,Synthetic (SF),0.7399,0.6378,0.0275,0.7399,0.7042115840350092,0.9307449886660545,0.5226220041767288
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_4_8_nodes_full_data.csv,3,6,5,10000,0.9028,0.8406,0.8565,0.8182,0.8369,0.133,1.3234,0.1134,0.544,0.4111,Large,10,0.5,4,8,Linear_ReLU_50%,Synthetic (SF),0.24437056067704388,0.133,0.1134,0.24437056067704388,0.8408639295216719,0.8487605094799451,0.82857214635144
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_5_8_nodes_full_data.csv,3,6,5,10000,0.9825,0.9214,0.9391,0.9013,0.9198,0.5983,0.2328,0.2306,0.1815,0.7799,Large,10,0.5,5,8,Linear_ReLU_50%,Synthetic (SF),0.7672,0.5983,0.2306,0.7672,0.6916380286949575,0.9278041652007432,0.47333733769053465
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_6_8_nodes_full_data.csv,3,6,5,10000,0.7815,0.7014,0.7128,0.6747,0.6932,0.3257,2.0512,0.3277,0.6356,0.3099,Large,10,0.5,6,8,Linear_ReLU_50%,Synthetic (SF),0.5124804992199689,0.3257,0.3277,0.5124804992199689,0.6699929161049557,0.7113418502675968,0.6078955442834643
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_7_8_nodes_full_data.csv,3,6,5,10000,0.9324,0.858,0.8484,0.8718,0.8599,0.6597,4.5634,0.5237,0.8448,0.1851,Large,10,0.5,7,8,Linear_ReLU_50%,Synthetic (SF),0.7808651444098698,0.6597,0.5237,0.7808651444098698,0.6341530210640552,0.8710790681657085,0.3524140879969408
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_8_8_nodes_full_data.csv,3,6,5,10000,0.9452,0.8634,0.8272,0.9189,0.8706,0.5208,2.7632,0.1566,0.8162,0.2954,Large,10,0.5,8,8,Linear_ReLU_50%,Synthetic (SF),0.6381007527504343,0.5208,0.1566,0.6381007527504343,0.7170989082889115,0.8786720296839079,0.5525499592226397
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_9_8_nodes_full_data.csv,3,6,5,10000,0.8324,0.7566,0.7877,0.7024,0.7426,0.0681,0.8581,0.0371,0.4118,0.4799,Large,10,0.5,9,8,Linear_ReLU_50%,Synthetic (SF),0.14190000000000003,0.0681,0.0371,0.14190000000000003,0.8067669499731361,0.7615783571137006,0.9077490115994626
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_0_8_nodes_full_data.csv,3,6,10,10000,0.9769,0.9141,0.8984,0.9338,0.9158,0.1252,0.7849,0.0697,0.4568,0.582,Large,10,1.0,0,8,Linear_ReLU_50%,Synthetic (SF),0.21509999999999996,0.1252,0.0697,0.21509999999999996,0.8917883883000473,0.9233237666721763,0.8529303128461749
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_1_8_nodes_full_data.csv,3,6,10,10000,0.9934,0.9577,0.9472,0.9693,0.9582,0.4763,0.3635,0.0645,0.2721,0.7484,Large,10,1.0,1,8,Linear_ReLU_50%,Synthetic (SF),0.6365000000000001,0.4763,0.0645,0.6365000000000001,0.7523784343052665,0.9618971363861815,0.5866646056748592
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_2_8_nodes_full_data.csv,3,6,10,10000,0.9832,0.9238,0.9301,0.9164,0.9232,0.3188,0.5103,0.1063,0.3321,0.6509,Large,10,1.0,2,8,Linear_ReLU_50%,Synthetic (SF),0.4897,0.3188,0.1063,0.4897,0.7983147330903089,0.9312434045478056,0.6751123881211486
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_3_8_nodes_full_data.csv,3,6,10,10000,0.9546,0.8774,0.9345,0.8118,0.8688,0.1734,1.4991,0.0799,0.5208,0.3474,Large,10,1.0,3,8,Linear_ReLU_50%,Synthetic (SF),0.3329330931892469,0.1734,0.0799,0.3329330931892469,0.8382418381212856,0.8798386306012534,0.7854807751701646
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_4_8_nodes_full_data.csv,3,6,10,10000,0.9909,0.9521,0.961,0.9424,0.9516,0.1391,1.3306,0.0275,0.5599,0.4208,Large,10,1.0,4,8,Linear_ReLU_50%,Synthetic (SF),0.2484593416503833,0.1391,0.0275,0.2484593416503833,0.8965006733196741,0.9564280561909009,0.8398831754385825
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_5_8_nodes_full_data.csv,3,6,10,10000,0.9909,0.9458,0.9665,0.9236,0.9445,0.7106,6.8502,0.3016,0.832,0.1215,Large,10,1.0,5,8,Linear_ReLU_50%,Synthetic (SF),0.8540188607631893,0.7106,0.3016,0.8540188607631893,0.6623183165378033,0.9491790711933774,0.40077591184449696
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_6_8_nodes_full_data.csv,3,6,10,10000,0.9247,0.8479,0.8816,0.8038,0.8409,0.3591,2.2999,0.265,0.6354,0.2763,Large,10,1.0,6,8,Linear_ReLU_50%,Synthetic (SF),0.5651984868907344,0.3591,0.265,0.5651984868907344,0.7356953786178189,0.8549492561769285,0.5972001188917009
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_7_8_nodes_full_data.csv,3,6,10,10000,0.9725,0.907,0.9564,0.8529,0.9017,0.0805,1.1986,0.0162,0.486,0.4054,Large,10,1.0,7,8,Linear_ReLU_50%,Synthetic (SF),0.16569330886033717,0.0805,0.0162,0.16569330886033717,0.9035021649182366,0.9087284500745177,0.8954661171593036
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_8_8_nodes_full_data.csv,3,6,10,10000,0.983,0.9347,0.9291,0.9411,0.9351,0.0682,1.1444,0.0095,0.5404,0.4722,Large,10,1.0,8,8,Linear_ReLU_50%,Synthetic (SF),0.12617965746242576,0.0682,0.0095,0.12617965746242576,0.9317859577793761,0.9414527035983681,0.9183353401733642
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_9_8_nodes_full_data.csv,3,6,10,10000,0.9612,0.9021,0.8967,0.9089,0.9028,0.318,0.5221,0.1067,0.3473,0.6653,Large,10,1.0,9,8,Linear_ReLU_50%,Synthetic (SF),0.4779,0.318,0.1067,0.4779,0.7949657085008432,0.9114227695607268,0.6797404520006877
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_0_8_nodes_full_data.csv,3,6,20,10000,0.9569,0.8887,0.8817,0.8978,0.8897,0.1452,0.7502,0.0422,0.4361,0.5813,Large,10,2.0,0,8,Linear_ReLU_50%,Synthetic (SF),0.24980000000000002,0.1452,0.0422,0.24980000000000002,0.8717713852206839,0.8995767247296759,0.8358534431563079
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_1_8_nodes_full_data.csv,3,6,20,10000,0.9219,0.8263,0.7974,0.8749,0.8344,0.4531,0.4151,0.3174,0.3215,0.7747,Large,10,2.0,1,8,Linear_ReLU_50%,Synthetic (SF),0.5849,0.4531,0.3174,0.5849,0.7091207805672047,0.8459451943193451,0.5459864726516301
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_2_8_nodes_full_data.csv,3,6,20,10000,0.7598,0.6997,0.7476,0.6029,0.6675,0.3411,0.4051,0.3691,0.2323,0.5734,Large,10,2.0,2,8,Linear_ReLU_50%,Synthetic (SF),0.5949,0.3411,0.3691,0.5949,0.639926817416852,0.6925574721166008,0.5617272701419195
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_3_8_nodes_full_data.csv,3,6,20,10000,0.8955,0.8118,0.8788,0.7233,0.7935,0.2667,1.9585,0.2455,0.5449,0.2782,Large,10,2.0,3,8,Linear_ReLU_50%,Synthetic (SF),0.4894051570079142,0.2667,0.2455,0.4894051570079142,0.7459901683062509,0.8125368714115292,0.6575638421060455
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_4_8_nodes_full_data.csv,3,6,20,10000,0.9928,0.9582,0.9625,0.9536,0.958,0.1671,0.7115,0.0039,0.4121,0.5791,Large,10,2.0,4,8,Linear_ReLU_50%,Synthetic (SF),0.2885,0.1671,0.0039,0.2885,0.8838480742617473,0.9623658690008379,0.816197398871651
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_5_8_nodes_full_data.csv,3,6,20,10000,0.9935,0.955,0.9517,0.9587,0.9552,0.1661,1.3943,0.0155,0.5872,0.4212,Large,10,2.0,5,8,Linear_ReLU_50%,Synthetic (SF),0.2827942336656387,0.1661,0.0155,0.2827942336656387,0.88463115433947,0.9598483396720309,0.8180461243030687
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_6_8_nodes_full_data.csv,3,6,20,10000,0.9714,0.9093,0.8985,0.9229,0.9105,0.3453,2.013,0.0708,0.6862,0.3409,Large,10,2.0,6,8,Linear_ReLU_50%,Synthetic (SF),0.5032290114257327,0.3453,0.0708,0.5032290114257327,0.7897701559206007,0.9187540267560963,0.6687691272627388
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_7_8_nodes_full_data.csv,3,6,20,10000,0.9897,0.9461,0.9549,0.9364,0.9456,0.1316,1.3098,0.0212,0.5561,0.4246,Large,10,2.0,7,8,Linear_ReLU_50%,Synthetic (SF),0.23652466025347385,0.1316,0.0212,0.23652466025347385,0.899384104656106,0.951095369244196,0.8480226013509854
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_8_8_nodes_full_data.csv,3,6,20,10000,0.8514,0.765,0.738,0.8218,0.7776,0.0657,0.8886,0.0291,0.5239,0.5896,Large,10,2.0,8,8,Linear_ReLU_50%,Synthetic (SF),0.11140000000000005,0.0657,0.0291,0.11140000000000005,0.8288503671008782,0.7878995107946826,0.9241024134900592
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_9_8_nodes_full_data.csv,3,6,20,10000,0.9741,0.9146,0.9197,0.9084,0.914,0.3855,2.2785,0.1044,0.6871,0.3016,Large,10,2.0,9,8,Linear_ReLU_50%,Synthetic (SF),0.5611147684880404,0.3855,0.1044,0.5611147684880404,0.7701419221156312,0.9226088176444548,0.62975128555543
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_0_18_nodes_full_data.csv,3,16,10,20000,0.9696,0.9061,0.9279,0.8806,0.9037,0.5336,3.5698,0.2796,0.7412,0.2076,Large,20,0.5,0,18,Linear_ReLU_50%,Synthetic (SF),0.7198722617513587,0.5336,0.2796,0.7198722617513587,0.7004723605588792,0.9127893490921221,0.49024677569613856
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_1_18_nodes_full_data.csv,3,16,10,20000,0.9897,0.946,0.9426,0.9498,0.9462,0.4967,0.3393,0.0517,0.2551,0.7519,Large,20,0.5,1,18,Linear_ReLU_50%,Synthetic (SF),0.6607000000000001,0.4967,0.0517,0.6607000000000001,0.742951629649512,0.9517287425223662,0.5761799494261559
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_2_18_nodes_full_data.csv,3,16,10,20000,0.9958,0.9663,0.9602,0.9728,0.9665,0.1849,1.4462,0.0117,0.5991,0.4143,Large,20,0.5,2,18,Linear_ReLU_50%,Synthetic (SF),0.30853270640298713,0.1849,0.0117,0.30853270640298713,0.877227271428286,0.9697528159361128,0.8017871733782626
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_3_18_nodes_full_data.csv,3,16,10,20000,0.9784,0.9283,0.9487,0.9056,0.9266,0.5985,0.2289,0.2258,0.1777,0.7762,Large,20,0.5,3,18,Linear_ReLU_50%,Synthetic (SF),0.7711,0.5985,0.2258,0.7711,0.6926140455713934,0.9331939921203677,0.4736717591777506
